id,name,FIPS
Baden-Württemberg,Baden-Württemberg,1
Bayern,Bavaria (Freistaat Bayern),2
Berlin,Berlin,3
Brandenburg,Brandenburg,4
Bremen,Bremen (Freie Hansestadt Bremen),5
Hamburg,Hamburg (Freie und Hansestadt Hamburg),6
Hessen,Hesse (Hessen),7
Niedersachsen,Lower Saxony (Niedersachsen),8
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,9
Nordrhein-Westfalen,North Rhine- Westphalia (Nordrhein-Westfalen),10
Rheinland-Pfalz,Rhineland-Palatinate (Rheinland-Pfalz),11
Saarland,Saarland,12
Sachsen,Saxony (Freistaat Sachsen),13
Sachsen-Anhalt,Saxony-Anhalt (Sachsen-Anhalt),14
Schleswig-Holstein,Schleswig-Holstein,15
Thüringen,Thuringia (Freistaat Thüringen),16
