Year	State	County	FIPS	Commodity	type	Revenue
2004	AK	Kenai (Pre)	02132	Oil & Gas	Other Revenues	80
2004	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	45838.26
2004	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	71047.76
2004	AK	Kenai (Pre)	02132	Gas	Royalties	895.46
2004	AK	Kenai (Pre)	02132	Gas	Royalties	89206.06
2004	AK	Kenai (Pre)	02132	Gas	Royalties	2045789.06
2004	AK	Kenai (Pre)	02132	Oil	Royalties	1851.13
2004	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	8560.85
2004	AK	Kenai (Post)	02133	Gas	Other Roy Vals	736.28
2004	AK	Kenai (Post)	02133	Gas	Royalties	16658.38
2004	AK	Tyonek	02283	Gas	Royalties	70518.6
2005	AK	Kenai (Pre)	02132	Oil & Gas	Other Revenues	-2.77
2005	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	48469.03
2005	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	17542.04
2005	AK	Kenai (Pre)	02132	Gas	Royalties	924.56
2005	AK	Kenai (Pre)	02132	Gas	Royalties	-21247.69
2005	AK	Kenai (Pre)	02132	Gas	Royalties	2527324.91
2005	AK	Kenai (Pre)	02132	Oil	Royalties	3179.72
2005	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	12016.2
2005	AK	Tyonek	02283	Gas	Royalties	-16796.59
2006	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	30288.28
2006	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	1684.9
2006	AK	Kenai (Pre)	02132	Gas	Royalties	381.91
2006	AK	Kenai (Pre)	02132	Gas	Royalties	54449.18
2006	AK	Kenai (Pre)	02132	Gas	Royalties	2922854.06
2006	AK	Kenai (Pre)	02132	Oil	Royalties	3617.02
2006	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	78027.39
2006	AK	Kenai (Post)	02133	Gas	Royalties	1182.05
2006	AK	Tyonek	02283	Gas	Royalties	43042.81
2007	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	79166.08
2007	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	12141.06
2007	AK	Kenai (Pre)	02132	Gas	Royalties	94.95
2007	AK	Kenai (Pre)	02132	Gas	Royalties	48335.46
2007	AK	Kenai (Pre)	02132	Gas	Royalties	3416907.14
2007	AK	Kenai (Pre)	02132	Oil	Royalties	3104.35
2007	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	49681.52
2007	AK	Tyonek	02283	Gas	Royalties	38209.84
2008	AK	Harrison Bay	02103	Oil	Royalties	79698.34
2008	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	12088.22
2008	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	-9020.05
2008	AK	Kenai (Pre)	02132	Gas	Royalties	110.78
2008	AK	Kenai (Pre)	02132	Gas	Royalties	26641.8
2008	AK	Kenai (Pre)	02132	Gas	Royalties	3042244.64
2008	AK	Kenai (Pre)	02132	Oil	Royalties	3926.91
2008	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	59271.91
2008	AK	Tyonek	02283	Gas	Royalties	21060.7
2009	AK	Harrison Bay	02103	Oil & Gas	Other Revenues	142880
2009	AK	Harrison Bay	02103	Oil	Royalties	11178.08
2009	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	197900.59
2009	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	-91344.37
2009	AK	Kenai (Pre)	02132	Gas	Royalties	10.57
2009	AK	Kenai (Pre)	02132	Gas	Royalties	62308.62
2009	AK	Kenai (Pre)	02132	Gas	Royalties	4260937.75
2009	AK	Kenai (Pre)	02132	Oil	Royalties	1767.28
2009	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	91909.99
2009	AK	Tyonek	02283	Gas	Royalties	49255.8
2010	AK	Harrison Bay	02103	Oil & Gas	Other Revenues	98535
2010	AK	Harrison Bay	02103	Oil	Royalties	244483.88
2010	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	-3630.45
2010	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	55597.51
2010	AK	Kenai (Pre)	02132	Gas	Royalties	1.46
2010	AK	Kenai (Pre)	02132	Gas	Royalties	2874720.76
2010	AK	Kenai (Pre)	02132	Oil	Royalties	3179.05
2010	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	45532.99
2010	AK	Kenai (Post)	02133	Oil & Gas	Other Roy Vals	5563.22
2011	AK	Harrison Bay	02103	Oil & Gas	Other Revenues	98535
2011	AK	Harrison Bay	02103	Oil	Royalties	27456.28
2011	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	-11616.04
2011	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	852.98
2011	AK	Kenai (Pre)	02132	Gas	Royalties	197.32
2011	AK	Kenai (Pre)	02132	Gas	Royalties	2187237.27
2011	AK	Kenai (Pre)	02132	Oil	Royalties	4099.6
2011	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	118929.37
2012	AK	Harrison Bay	02103	Oil & Gas	Other Revenues	98535
2012	AK	Harrison Bay	02103	Oil	Royalties	34960.25
2012	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	-7972.97
2012	AK	Kenai (Pre)	02132	Oil & Gas	Other Roy Vals	-29001.33
2012	AK	Kenai (Pre)	02132	Gas	Royalties	-197.32
2012	AK	Kenai (Pre)	02132	Gas	Royalties	-189.31
2012	AK	Kenai (Pre)	02132	Gas	Royalties	1270866.54
2012	AK	Kenai (Pre)	02132	Oil	Royalties	314.12
2012	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	128073.15
2012	AK	Kenai (Post)	02133	Oil & Gas	Other Roy Vals	-98
2013	AK	Harrison Bay	02103	Oil & Gas	Other Revenues	98535
2013	AK	Harrison Bay	02103	Oil	Royalties	49189.68
2013	AK	Kenai (Pre)	02132	Gas	Other Roy Vals	-147.46
2013	AK	Kenai (Pre)	02132	Gas	Royalties	722543.54
2013	AK	Kenai (Pre)	02132	Oil	Royalties	5139.59
2013	AK	Kenai (Post)	02133	Oil & Gas	Other Revenues	83867.71
2013	AK	Kenai (Post)	02133	Gas	Other Roy Vals	-1063.95
2013	AK	Kenai (Post)	02133	Gas	Royalties	-23889.83
