Year	State	County	FIPS	Commodity	type	Revenue
2004	AL	Baldwin	01003	Oil & Gas	Other Revenues	-48.81
2004	AL	Baldwin	01003	Oil & Gas	Other Roy Vals	621
2004	AL	Baldwin	01003	Gas	Royalties	896.61
2004	AL	Baldwin	01003	Gas	Royalties	0.01
2004	AL	Baldwin	01003	Gas	Royalties	19946.39
2004	AL	Baldwin	01003	Oil	Royalties	2.66
2004	AL	Baldwin	01003	Oil	Royalties	39.94
2004	AL	Baldwin	01003	Other	Royalties	221.41
2004	AL	Covington	01039	Oil	Royalties	708785.77
2004	AL	Escambia	01053	Oil	Royalties	97533.34
2004	AL	Fayette	01057	Gas	Royalties	1878.72
2004	AL	Lamar	01075	Gas	Royalties	2662.04
2004	AL	Lamar	01075	Oil	Royalties	5253
2004	AL	Mobile	01097	Oil & Gas	Other Revenues	-0.35
2004	AL	Mobile	01097	Oil & Gas	Other Roy Vals	3880
2004	AL	Mobile	01097	Gas	Royalties	2137.46
2004	AL	Mobile	01097	Gas	Royalties	0.18
2004	AL	Mobile	01097	Gas	Royalties	47169.93
2004	AL	Mobile	01097	Oil	Royalties	1.07
2004	AL	Mobile	01097	Oil	Royalties	11817.54
2004	AL	Mobile	01097	Oil	Royalties	51.43
2004	AL	Mobile	01097	Other	Royalties	476.63
2004	AL	Tuscaloosa	01125	Oil & Gas	Other Roy Vals	14750
2004	AL	Tuscaloosa	01125	Gas	Royalties	6080.7
2004	AL	Tuscaloosa	01125	Gas	Royalties	45098.73
2004	AL	Tuscaloosa	01125	Gas	Royalties	395876.46
2004	AL	Mobile/Water	01297	Oil & Gas	Other Roy Vals	150
2004	AL	Mobile/Water	01297	Gas	Royalties	0.13
2004	AL	Mobile/Water	01297	Gas	Royalties	2695.99
2004	AL	Mobile/Water	01297	Oil	Royalties	0.84
2004	AL	Mobile/Water	01297	Other	Royalties	6.09
2005	AL	Baldwin	01003	Oil & Gas	Other Revenues	-9.48
2005	AL	Baldwin	01003	Oil & Gas	Other Roy Vals	-1933.89
2005	AL	Baldwin	01003	Gas	Royalties	18721.16
2005	AL	Baldwin	01003	Oil	Royalties	24.7
2005	AL	Baldwin	01003	Other	Royalties	117.46
2005	AL	Covington	01039	Oil	Royalties	726883.87
2005	AL	Escambia	01053	Oil	Royalties	130973.58
2005	AL	Fayette	01057	Gas	Royalties	3385.05
2005	AL	Lamar	01075	Gas	Royalties	1723.57
2005	AL	Lamar	01075	Oil	Royalties	5724.66
2005	AL	Mobile	01097	Oil & Gas	Other Revenues	80.17
2005	AL	Mobile	01097	Oil & Gas	Other Roy Vals	4881.73
2005	AL	Mobile	01097	Gas	Royalties	91642.27
2005	AL	Mobile	01097	Oil	Royalties	13694.3
2005	AL	Mobile	01097	Oil	Royalties	59.34
2005	AL	Mobile	01097	Other	Royalties	410.79
2005	AL	Tuscaloosa	01125	Oil & Gas	Other Roy Vals	13200
2005	AL	Tuscaloosa	01125	Gas	Royalties	95720.07
2005	AL	Tuscaloosa	01125	Gas	Royalties	90227.32
2005	AL	Tuscaloosa	01125	Gas	Royalties	493536.78
2005	AL	Mobile/Water	01297	Oil & Gas	Other Roy Vals	250
2005	AL	Mobile/Water	01297	Gas	Royalties	4.69
2005	AL	Mobile/Water	01297	Gas	Royalties	3696.77
2005	AL	Mobile/Water	01297	Oil	Royalties	4.19
2005	AL	Mobile/Water	01297	Other	Royalties	5.21
2006	AL	Baldwin	01003	Oil & Gas	Other Revenues	-11533.41
2006	AL	Baldwin	01003	Oil & Gas	Other Roy Vals	-172.1
2006	AL	Baldwin	01003	Gas	Royalties	-1218.89
2006	AL	Baldwin	01003	Gas	Royalties	-20.12
2006	AL	Baldwin	01003	Gas	Royalties	-68190.94
2006	AL	Baldwin	01003	Oil	Royalties	-53.76
2006	AL	Baldwin	01003	Oil	Royalties	-14.16
2006	AL	Baldwin	01003	Oil	Royalties	5.07
2006	AL	Baldwin	01003	Other	Royalties	-383.69
2006	AL	Covington	01039	Oil	Royalties	488925.32
2006	AL	Escambia	01053	Oil	Royalties	131810.24
2006	AL	Fayette	01057	Gas	Royalties	2227.28
2006	AL	Lamar	01075	Gas	Royalties	4659.16
2006	AL	Lamar	01075	Oil	Royalties	243.33
2006	AL	Lamar	01075	Oil	Royalties	10278.21
2006	AL	Mobile	01097	Oil & Gas	Other Revenues	16108.47
2006	AL	Mobile	01097	Oil & Gas	Other Roy Vals	808.64
2006	AL	Mobile	01097	Gas	Royalties	1787.39
2006	AL	Mobile	01097	Gas	Royalties	20.22
2006	AL	Mobile	01097	Gas	Royalties	255575.34
2006	AL	Mobile	01097	Oil	Royalties	54.46
2006	AL	Mobile	01097	Oil	Royalties	16954.74
2006	AL	Mobile	01097	Oil	Royalties	19.51
