Year	State	County	FIPS	Commodity	type	Revenue
2004	AR	Columbia	05027	Gas	Royalties	4933.74
2004	AR	Columbia	05027	Oil	Royalties	243.1
2004	AR	Crawford	05033	Oil & Gas	Other Revenues	285.25
2004	AR	Crawford	05033	Oil & Gas	Other Roy Vals	-4661.33
2004	AR	Crawford	05033	Gas	Royalties	104551.96
2004	AR	Franklin	05047	Oil & Gas	Other Revenues	4134.28
2004	AR	Franklin	05047	Oil & Gas	Other Roy Vals	-3790.83
2004	AR	Franklin	05047	Gas	Royalties	178220.9
2004	AR	Garland	05051	Hardrock	Other Revenues	480
2004	AR	Johnson	05071	Oil & Gas	Other Revenues	92.53
2004	AR	Johnson	05071	Oil & Gas	Other Roy Vals	1525
2004	AR	Johnson	05071	Gas	Royalties	292.98
2004	AR	Johnson	05071	Gas	Royalties	618869.04
2004	AR	Logan	05083	Oil & Gas	Other Roy Vals	39473.04
2004	AR	Logan	05083	Gas	Royalties	237944.76
2004	AR	Montgomery	05097	Hardrock	Other Revenues	960
2004	AR	Pope	05115	Oil & Gas	Other Roy Vals	400
2004	AR	Pope	05115	Gas	Royalties	9514.1
2004	AR	Sebastian	05131	Oil & Gas	Other Revenues	465.27
2004	AR	Sebastian	05131	Oil & Gas	Other Roy Vals	-27331.55
2004	AR	Sebastian	05131	Gas	Royalties	4097.62
2004	AR	Sebastian	05131	Gas	Royalties	1989207.39
2004	AR	Washington	05143	Oil & Gas	Other Revenues	160
2004	AR	Yell	05149	Oil & Gas	Other Roy Vals	88590.12
2004	AR	Yell	05149	Gas	Royalties	737072.99
2005	AR	Columbia	05027	Gas	Royalties	5801.98
2005	AR	Columbia	05027	Oil	Royalties	251.75
2005	AR	Conway	05029	Gas	Royalties	28699.33
2005	AR	Crawford	05033	Oil & Gas	Other Revenues	501.06
2005	AR	Crawford	05033	Oil & Gas	Other Roy Vals	500
2005	AR	Crawford	05033	Gas	Royalties	134695.24
2005	AR	Franklin	05047	Oil & Gas	Other Revenues	7434.3
2005	AR	Franklin	05047	Oil & Gas	Other Roy Vals	950
2005	AR	Franklin	05047	Gas	Royalties	190344.37
2005	AR	Johnson	05071	Gas	Royalties	368.37
2005	AR	Johnson	05071	Gas	Royalties	746763.87
2005	AR	Logan	05083	Oil & Gas	Other Revenues	80
2005	AR	Logan	05083	Oil & Gas	Other Roy Vals	45143.48
2005	AR	Logan	05083	Gas	Royalties	889549.41
2005	AR	Montgomery	05097	Hardrock	Other Revenues	480
2005	AR	Pope	05115	Oil & Gas	Other Roy Vals	29
2005	AR	Pope	05115	Gas	Royalties	11828.45
2005	AR	Sebastian	05131	Oil & Gas	Other Revenues	-113.47
2005	AR	Sebastian	05131	Oil & Gas	Other Roy Vals	8630.5
2005	AR	Sebastian	05131	Gas	Royalties	4594.4
2005	AR	Sebastian	05131	Gas	Royalties	3627838.98
2005	AR	Washington	05143	Oil & Gas	Other Revenues	160
2005	AR	Yell	05149	Oil & Gas	Other Revenues	-137.3
2005	AR	Yell	05149	Oil & Gas	Other Roy Vals	51226.3
2005	AR	Yell	05149	Gas	Royalties	1956420.95
2006	AR	Columbia	05027	Gas	Royalties	4569.36
2006	AR	Columbia	05027	Oil	Royalties	243.75
2006	AR	Conway	05029	Gas	Royalties	17249.24
2006	AR	Crawford	05033	Oil & Gas	Other Revenues	1637.37
2006	AR	Crawford	05033	Oil & Gas	Other Roy Vals	2300
2006	AR	Crawford	05033	Gas	Royalties	124562.72
2006	AR	Franklin	05047	Oil & Gas	Other Revenues	6439.65
2006	AR	Franklin	05047	Oil & Gas	Other Roy Vals	2000
2006	AR	Franklin	05047	Gas	Royalties	162113.81
2006	AR	Garland	05051	Hardrock	Other Revenues	480
2006	AR	Johnson	05071	Gas	Royalties	599942.85
2006	AR	Logan	05083	Oil & Gas	Other Revenues	5270.67
2006	AR	Logan	05083	Oil & Gas	Other Roy Vals	-65742.23
2006	AR	Logan	05083	Gas	Royalties	927094.14
2006	AR	Pope	05115	Gas	Royalties	11940.65
2006	AR	Sebastian	05131	Oil & Gas	Other Revenues	606.45
2006	AR	Sebastian	05131	Oil & Gas	Other Roy Vals	57832.45
2006	AR	Sebastian	05131	Gas	Royalties	1600.15
2006	AR	Sebastian	05131	Gas	Royalties	4162351.97
