Year	State	County	FIPS	Commodity	type	Revenue
2004	CO	Arapahoe	08005	Oil & Gas	Other Revenues	160
2004	CO	Arapahoe	08005	Oil	Royalties	87.87
2004	CO	Arapahoe	08005	Oil	Royalties	435.7
2004	CO	Archuleta	08007	Oil & Gas	Other Roy Vals	325.99
2004	CO	Archuleta	08007	Gas	Royalties	9826.87
2004	CO	Archuleta	08007	Gas	Royalties	135238.58
2004	CO	Baca	08009	Oil & Gas	Other Revenues	14718.53
2004	CO	Baca	08009	Oil & Gas	Other Roy Vals	150
2004	CO	Baca	08009	Gas	Royalties	31746.27
2004	CO	Baca	08009	Oil	Royalties	158792.62
2004	CO	Bent	08011	Gas	Royalties	22794.16
2004	CO	Bent	08011	Oil	Royalties	29.4
2004	CO	Bent	08011	Oil	Royalties	10.73
2004	CO	Broomfield	08014	Gas	Royalties	230.11
2004	CO	Broomfield	08014	Oil	Royalties	121.04
2004	CO	Cheyenne	08017	Oil & Gas	Other Revenues	76.5
2004	CO	Cheyenne	08017	Gas	Royalties	10292.06
2004	CO	Cheyenne	08017	Oil	Royalties	66462.6
2004	CO	Delta	08029	Oil & Gas	Other Revenues	2280
2004	CO	Delta	08029	Gas	Royalties	9430.23
2004	CO	Delta	08029	Oil	Royalties	12.77
2004	CO	Dolores	08033	Oil & Gas	Other Revenues	41763.86
2004	CO	Dolores	08033	Oil & Gas	Other Roy Vals	30967.44
2004	CO	Dolores	08033	Gas	Royalties	16624.77
2004	CO	Dolores	08033	Gas	Royalties	77469.12
2004	CO	Dolores	08033	Gas	Royalties	118746.55
2004	CO	Dolores	08033	Oil	Royalties	2127.66
2004	CO	Dolores	08033	Oil	Royalties	231163.35
2004	CO	Dolores	08033	Other	Royalties	952516.85
2004	CO	Garfield	08045	Oil & Gas	Other Revenues	52664.11
2004	CO	Garfield	08045	Oil & Gas	Other Roy Vals	2165160.69
2004	CO	Garfield	08045	Coal	Royalties	3102.81
2004	CO	Garfield	08045	Gas	Royalties	225303.75
2004	CO	Garfield	08045	Gas	Royalties	2694.15
2004	CO	Garfield	08045	Gas	Royalties	110343.45
2004	CO	Garfield	08045	Gas	Royalties	34398559.39
2004	CO	Garfield	08045	Oil	Royalties	957037.27
2004	CO	Garfield	08045	Oil	Royalties	44134.91
2004	CO	Gunnison	08051	Oil & Gas	Other Revenues	11215.97
2004	CO	Gunnison	08051	Coal	Royalties	-2173166.12
2004	CO	Gunnison	08051	Gas	Royalties	3344.36
2004	CO	Gunnison	08051	Gas	Royalties	35366.08
2004	CO	Gunnison	08051	Oil	Royalties	696.78
2004	CO	Gunnison	08051	Solids	Royalties	-5557222.32
2004	CO	Huerfano	08055	Oil & Gas	Other Revenues	160
2004	CO	Huerfano	08055	Other	Royalties	516898.25
2004	CO	Jackson	08057	Oil & Gas	Other Revenues	450.67
2004	CO	Jackson	08057	Oil	Royalties	245826.36
2004	CO	Jackson	08057	Other	Royalties	31970.45
2004	CO	Kiowa	08061	Oil & Gas	Other Roy Vals	-75
2004	CO	Kiowa	08061	Gas	Royalties	16564.45
2004	CO	Kiowa	08061	Oil	Royalties	173.4
2004	CO	Kiowa	08061	Oil	Royalties	25616.5
2004	CO	La Plata	08067	Oil & Gas	Other Revenues	-480
2004	CO	La Plata	08067	Oil & Gas	Other Roy Vals	72634.47
2004	CO	La Plata	08067	Coal	Royalties	-9019.74
2004	CO	La Plata	08067	Gas	Royalties	3483203.51
2004	CO	La Plata	08067	Gas	Royalties	1228.72
2004	CO	La Plata	08067	Gas	Royalties	5875.84
2004	CO	La Plata	08067	Gas	Royalties	2491195.09
2004	CO	Larimer	08069	Oil	Royalties	6721.91
2004	CO	Las Animas	08071	Oil & Gas	Other Roy Vals	75193
2004	CO	Las Animas	08071	Gas	Royalties	59020.81
2004	CO	Las Animas	08071	Gas	Royalties	1888209.11
2004	CO	Logan	08075	Oil	Royalties	9675.8
2004	CO	Mesa	08077	Oil & Gas	Other Revenues	57192.27
2004	CO	Mesa	08077	Oil & Gas	Other Roy Vals	299507.11
2004	CO	Mesa	08077	Gas	Royalties	6721.43
2004	CO	Mesa	08077	Gas	Royalties	161671.56
2004	CO	Mesa	08077	Gas	Royalties	1698839.13
2004	CO	Mesa	08077	Oil	Royalties	1512.33
2004	CO	Mesa	08077	Oil	Royalties	6965.67
2004	CO	Moffat	08081	Oil & Gas	Other Revenues	17368.16
2004	CO	Moffat	08081	Oil & Gas	Other Roy Vals	331036.45
2004	CO	Moffat	08081	Coal	Royalties	-2100588.06
2004	CO	Moffat	08081	Gas	Royalties	110962.86
2004	CO	Moffat	08081	Gas	Royalties	1829736.59
2004	CO	Moffat	08081	Gas	Royalties	7732933.16
2004	CO	Moffat	08081	Oil	Royalties	167608.69
2004	CO	Moffat	08081	Oil	Royalties	747935.66
2004	CO	Moffat	08081	Solids	Royalties	-846126.56
2004	CO	Montezuma	08083	Oil & Gas	Other Revenues	1504.44
2004	CO	Montezuma	08083	Oil & Gas	Other Roy Vals	179556.81
2004	CO	Montezuma	08083	Gas	Royalties	222495.69
2004	CO	Montezuma	08083	Gas	Royalties	585803.32
2004	CO	Montezuma	08083	Gas	Royalties	16893.14
2004	CO	Montezuma	08083	Oil	Royalties	5467.28
2004	CO	Montezuma	08083	Oil	Royalties	895429.91
2004	CO	Montezuma	08083	Other	Royalties	11623220.43
2004	CO	Morgan	08087	Oil & Gas	Other Revenues	354
2004	CO	Morgan	08087	Oil	Royalties	1856.57
2004	CO	Pitkin	08097	Oil & Gas	Other Revenues	26458.23
2004	CO	Prowers	08099	Gas	Royalties	5027.51
2004	CO	Rio Blanco	08103	Oil & Gas	Other Revenues	61595.14
2004	CO	Rio Blanco	08103	Sodium	Other Revenues	102491
2004	CO	Rio Blanco	08103	Oil & Gas	Other Roy Vals	954014.51
2004	CO	Rio Blanco	08103	Coal	Royalties	59676.28
2004	CO	Rio Blanco	08103	Gas	Royalties	431.38
2004	CO	Rio Blanco	08103	Gas	Royalties	1709743.98
2004	CO	Rio Blanco	08103	Gas	Royalties	11338060.41
2004	CO	Rio Blanco	08103	Gas	Royalties	4830552.82
2004	CO	Rio Blanco	08103	Oil	Royalties	764515.29
