Year	State	FIPS	Commodity	type	Revenue
2004	MD	24023	Oil & Gas	Other Revenues	10279.77
2004	MD	24023	Oil & Gas	Other Roy Vals	-730.5
2005	MD	24023	Oil & Gas	Other Revenues	10055.21
2006	MD	24023	Oil & Gas	Other Revenues	7159.59
2007	MD	24023	Oil & Gas	Other Revenues	11540.91
2008	MD	24023	Oil & Gas	Other Revenues	10386.29
2009	MD	24023	Oil & Gas	Other Revenues	8922.15
2010	MD	24023	Oil & Gas	Other Revenues	7864.01
2011	MD	24023	Oil & Gas	Other Revenues	9549.32
2012	MD	24023	Oil & Gas	Other Revenues	5697.43
2013	MD	24023	Oil & Gas	Other Revenues	7035.88
