Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	MI	Alcona	26001	Oil & Gas		Rents	9674
2004	MI	Alcona	26001	Gas (mcf)	Processed (Residue) Gas	Royalties	4832.59
2004	MI	Allegan	26005	Oil (bbl)	Oil	Royalties	533.51
2004	MI	Antrim	26009	Oil & Gas		Bonus	5600
2004	MI	Antrim	26009	Oil & Gas		Rents	120
2004	MI	Baraga	26013	Hardrock		Rents	480.13
2004	MI	Benzie	26019	Oil & Gas		Rents	300
2004	MI	Clare	26035	Oil & Gas		Other Revenues	814.46
2004	MI	Clare	26035	Oil & Gas		Rents	160
2004	MI	Clare	26035	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	69724.51
2004	MI	Clare	26035	Oil (bbl)	Condensate	Royalties	589.05
2004	MI	Clare	26035	Oil (bbl)	Oil	Royalties	8180.65
2004	MI	Crawford	26039	Oil & Gas		Rents	9732
2004	MI	Crawford	26039	Gas (mcf)	Processed (Residue) Gas	Royalties	31814.68
2004	MI	Crawford	26039	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	26625.82
2004	MI	Grand Trvse	26055	Gas (mcf)	Processed (Residue) Gas	Royalties	12930.37
2004	MI	Houghton	26061	Hardrock		Rents	-773.63
2004	MI	Kalkaska	26079	Oil & Gas		Other Roy Vals	-308
2004	MI	Kalkaska	26079	Oil & Gas		Rents	3057
2004	MI	Kalkaska	26079	Gas (mcf)	Processed (Residue) Gas	Royalties	17236.93
2004	MI	Kalkaska	26079	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	816.78
2004	MI	Kalkaska	26079	NGL (gal)	Gas Plant Products	Royalties	4885.93
2004	MI	Kalkaska	26079	Oil (bbl)	Oil	Royalties	15275.79
2004	MI	Lake	26085	Gas (mcf)	Processed (Residue) Gas	Royalties	42534.63
2004	MI	Lake	26085	NGL (gal)	Gas Plant Products	Royalties	2013.78
2004	MI	Lake	26085	Oil (bbl)	Oil	Royalties	628.87
2004	MI	Manistee	26101	Oil & Gas		Rents	60
2004	MI	Mason	26105	Oil & Gas		Rents	1497.5
2004	MI	Montmorency	26119	Oil & Gas		Other Roy Vals	375
2004	MI	Montmorency	26119	Oil & Gas		Rents	86
2004	MI	Montmorency	26119	Gas (mcf)	Processed (Residue) Gas	Royalties	63768.63
2004	MI	Montmorency	26119	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	519191.77
2004	MI	Newaygo	26123	Oil & Gas		Rents	7582.5
2004	MI	Oceana	26127	Oil & Gas		Rents	6643
2004	MI	Ogemaw	26129	Oil & Gas		Rents	200
2004	MI	Ogemaw	26129	Gas (mcf)	Processed (Residue) Gas	Royalties	27684.8
2004	MI	Ogemaw	26129	NGL (gal)	Gas Plant Products	Royalties	631.44
2004	MI	Ogemaw	26129	Oil (bbl)	Oil	Royalties	1251.84
2004	MI	Osceola	26133	Oil & Gas		Rents	80
2004	MI	Oscoda	26135	Oil & Gas		Rents	5633
2004	MI	Oscoda	26135	Gas (mcf)	Processed (Residue) Gas	Royalties	687398.97
2004	MI	Oscoda	26135	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	9439.01
2004	MI	Oscoda	26135	NGL (gal)	Gas Plant Products	Royalties	16607.3
2004	MI	Oscoda	26135	Oil (bbl)	Oil	Royalties	36477.51
2004	MI	Otsego	26137	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	10454.56
2004	MI	Roscommon	26143	Gas (mcf)	Processed (Residue) Gas	Royalties	9382.79
2004	MI	Roscommon	26143	Oil (bbl)	Oil	Royalties	32946.08
2005	MI	Alcona	26001	Oil & Gas		Rents	9674
2005	MI	Alcona	26001	Gas (mcf)	Processed (Residue) Gas	Royalties	15968.05
2005	MI	Allegan	26005	Oil (bbl)	Oil	Royalties	1129.42
2005	MI	Antrim	26009	Oil & Gas		Rents	120
2005	MI	Baraga	26013	Hardrock		Rents	480.13
2005	MI	Benzie	26019	Oil & Gas		Rents	300
2005	MI	Clare	26035	Oil & Gas		Other Revenues	654.46
2005	MI	Clare	26035	Oil & Gas		Rents	80
2005	MI	Clare	26035	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	92962.3
2005	MI	Clare	26035	Oil (bbl)	Condensate	Royalties	673
2005	MI	Clare	26035	Oil (bbl)	Oil	Royalties	10231.74
2005	MI	Crawford	26039	Oil & Gas		Rents	5436
2005	MI	Crawford	26039	Gas (mcf)	Processed (Residue) Gas	Royalties	26342.17
2005	MI	Crawford	26039	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	35821.01
2005	MI	Grand Trvse	26055	Gas (mcf)	Processed (Residue) Gas	Royalties	9154.7
2005	MI	Grand Trvse	26055	NGL (gal)	Gas Plant Products	Royalties	5458.3
2005	MI	Houghton	26061	Hardrock		Rents	485.37
2005	MI	Kalkaska	26079	Oil & Gas		Rents	2041.96
2005	MI	Kalkaska	26079	Gas (mcf)	Processed (Residue) Gas	Royalties	24122.59
2005	MI	Kalkaska	26079	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	6.9
2005	MI	Kalkaska	26079	NGL (gal)	Gas Plant Products	Royalties	9586.32
2005	MI	Kalkaska	26079	Oil (bbl)	Oil	Royalties	27429.46
2005	MI	Lake	26085	Gas (mcf)	Processed (Residue) Gas	Royalties	166239.34
2005	MI	Lake	26085	NGL (gal)	Gas Plant Products	Royalties	11577.56
2005	MI	Lake	26085	Oil (bbl)	Oil	Royalties	3421.72
2005	MI	Manistee	26101	Oil & Gas		Rents	60
2005	MI	Mason	26105	Oil & Gas		Rents	1647.5
2005	MI	Montmorency	26119	Oil & Gas		Other Roy Vals	4050
2005	MI	Montmorency	26119	Oil & Gas		Rents	86
2005	MI	Montmorency	26119	Gas (mcf)	Processed (Residue) Gas	Royalties	82123.78
2005	MI	Montmorency	26119	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	604188.91
2005	MI	Newaygo	26123	Oil & Gas		Rents	7469.5
2005	MI	Oceana	26127	Oil & Gas		Rents	7458
2005	MI	Ogemaw	26129	Oil & Gas		Rents	200
2005	MI	Ogemaw	26129	Gas (mcf)	Processed (Residue) Gas	Royalties	33833.33
2005	MI	Ogemaw	26129	NGL (gal)	Gas Plant Products	Royalties	1253.65
2005	MI	Ogemaw	26129	Oil (bbl)	Oil	Royalties	1626.8
