Year	State	FIPS	Commodity	type	Revenue
2004	ND	38007	Oil & Gas	Other Revenues	5172.64
2004	ND	38007	Oil & Gas	Other Roy Vals	226914.39
2004	ND	38007	Gas	Royalties	126563.78
2004	ND	38007	Gas	Royalties	68580.05
2004	ND	38007	Gas	Royalties	935327.47
2004	ND	38007	Oil	Royalties	88973.97
2004	ND	38007	Oil	Royalties	2076.68
2004	ND	38007	Oil	Royalties	9268712.76
2004	ND	38009	Oil	Royalties	108788.56
2004	ND	38011	Oil & Gas	Other Roy Vals	12850
2004	ND	38011	Gas	Royalties	52381.86
2004	ND	38011	Gas	Royalties	64438.31
2004	ND	38011	Gas	Royalties	1129919.55
2004	ND	38011	Oil	Royalties	8665.42
2004	ND	38011	Oil	Royalties	5756934.16
2004	ND	38013	Gas	Royalties	1031.82
2004	ND	38013	Gas	Royalties	4185.17
2004	ND	38013	Oil	Royalties	7789.22
2004	ND	38023	Oil & Gas	Other Revenues	6.73
2004	ND	38023	Gas	Royalties	-0.09
2004	ND	38023	Oil	Royalties	11.74
2004	ND	38025	Oil & Gas	Other Roy Vals	36925
2004	ND	38025	Gas	Royalties	6735.32
2004	ND	38025	Gas	Royalties	7412.84
2004	ND	38025	Gas	Royalties	17868.25
2004	ND	38025	Oil	Royalties	388108.77
2004	ND	38033	Oil & Gas	Other Roy Vals	20150
2004	ND	38033	Gas	Royalties	21.28
2004	ND	38033	Gas	Royalties	16687.67
2004	ND	38033	Gas	Royalties	65134.56
2004	ND	38033	Oil	Royalties	1166747.15
2004	ND	38053	Oil & Gas	Other Revenues	7751.02
2004	ND	38053	Oil & Gas	Other Roy Vals	262554.88
2004	ND	38053	Gas	Royalties	117036.48
2004	ND	38053	Gas	Royalties	690883.83
2004	ND	38053	Gas	Royalties	371536.78
2004	ND	38053	Oil	Royalties	44453.58
2004	ND	38053	Oil	Royalties	18475.63
2004	ND	38053	Oil	Royalties	4367116.43
2004	ND	38053	Other	Royalties	3830.68
2004	ND	38053	Other	Royalties	222.48
2004	ND	38057	Coal	Royalties	-2
2004	ND	38065	Coal	Royalties	21959.37
2004	ND	38075	Oil	Royalties	99418.71
2004	ND	38087	Gas	Royalties	3952.45
2004	ND	38087	Oil	Royalties	1257.5
2004	ND	38087	Oil	Royalties	176165.71
2004	ND	38089	Oil & Gas	Other Roy Vals	8330
2004	ND	38089	Gas	Royalties	105244.7
2004	ND	38089	Oil	Royalties	42
2004	ND	38089	Oil	Royalties	1250168.22
2004	ND	38105	Oil & Gas	Other Revenues	599.1
2004	ND	38105	Oil & Gas	Other Roy Vals	495
2004	ND	38105	Gas	Royalties	9974.08
2004	ND	38105	Gas	Royalties	34440.15
2004	ND	38105	Gas	Royalties	864.55
2004	ND	38105	Oil	Royalties	20.13
2004	ND	38105	Oil	Royalties	47690.2
2004	ND	38105	Other	Royalties	0.04
2004	ND	38105	Other	Royalties	76.22
2005	ND	38007	Oil & Gas	Other Revenues	3528.29
2005	ND	38007	Oil & Gas	Other Roy Vals	199940.84
2005	ND	38007	Gas	Royalties	108804.35
2005	ND	38007	Gas	Royalties	79162.95
2005	ND	38007	Gas	Royalties	1174546.73
2005	ND	38007	Oil	Royalties	79717.93
2005	ND	38007	Oil	Royalties	2122.94
2005	ND	38007	Oil	Royalties	13081251.74
2005	ND	38009	Oil	Royalties	219494.54
2005	ND	38011	Oil & Gas	Other Roy Vals	-15530
2005	ND	38011	Gas	Royalties	82265.57
2005	ND	38011	Gas	Royalties	79706
2005	ND	38011	Gas	Royalties	1997483.67
2005	ND	38011	Oil	Royalties	11828.04
2005	ND	38011	Oil	Royalties	11571141.76
2005	ND	38013	Gas	Royalties	2513.91
2005	ND	38013	Gas	Royalties	4572.68
2005	ND	38013	Oil	Royalties	10969.51
2005	ND	38023	Oil & Gas	Other Revenues	15
2005	ND	38023	Gas	Royalties	0.8
2005	ND	38023	Oil	Royalties	15.3
2005	ND	38025	Oil & Gas	Other Roy Vals	-6375
2005	ND	38025	Gas	Royalties	9733.83
2005	ND	38025	Gas	Royalties	7045.82
2005	ND	38025	Gas	Royalties	20200.93
2005	ND	38025	Oil	Royalties	518878.79
2005	ND	38033	Oil & Gas	Other Roy Vals	57450
2005	ND	38033	Gas	Royalties	-3.35
2005	ND	38033	Gas	Royalties	4054.86
2005	ND	38033	Gas	Royalties	81423.5
2005	ND	38033	Oil	Royalties	1721383.68
2005	ND	38053	Oil & Gas	Other Revenues	4024.15
2005	ND	38053	Oil & Gas	Other Roy Vals	60590.84
2005	ND	38053	Gas	Royalties	265675.05
2005	ND	38053	Gas	Royalties	953867.96
2005	ND	38053	Gas	Royalties	601177.75
2005	ND	38053	Oil	Royalties	43675.56
2005	ND	38053	Oil	Royalties	20608.51
2005	ND	38053	Oil	Royalties	6684064.32
2005	ND	38053	Other	Royalties	2621.35
2005	ND	38053	Other	Royalties	23.5
2005	ND	38075	Oil	Royalties	123909.12
2005	ND	38087	Gas	Royalties	4367.2
2005	ND	38087	Oil	Royalties	1726.24
2005	ND	38087	Oil	Royalties	416468.93
2005	ND	38089	Oil & Gas	Other Roy Vals	480
