Year	State	FIPS	Commodity	type	Revenue
2004	NE	31033	Oil & Gas	Other Revenues	15111.06
2004	NE	31033	Oil	Royalties	117725.63
2004	NE	31049	Oil & Gas	Other Revenues	123.18
2004	NE	31057	Oil	Royalties	1870.72
2004	NE	31087	Oil	Royalties	25689.57
2004	NE	31105	Oil	Royalties	1673.33
2004	NE	31145	Oil	Royalties	271.42
2005	NE	31033	Oil & Gas	Other Revenues	20843.48
2005	NE	31033	Oil	Royalties	167561.17
2005	NE	31049	Oil & Gas	Other Revenues	157.23
2005	NE	31057	Oil	Royalties	2239.56
2005	NE	31087	Oil	Royalties	36193.49
2005	NE	31105	Oil	Royalties	3389.06
2005	NE	31145	Oil	Royalties	307.71
2006	NE	31033	Oil & Gas	Other Revenues	22166.9
2006	NE	31033	Oil	Royalties	233614.36
2006	NE	31049	Oil	Other Revenues	-6
2006	NE	31049	Oil & Gas	Other Revenues	230.5
2006	NE	31057	Oil	Royalties	2494.4
2006	NE	31087	Oil	Royalties	40894.06
2006	NE	31105	Oil	Royalties	3506.38
2006	NE	31145	Oil	Royalties	430.49
2007	NE	31033	Oil & Gas	Other Revenues	25732.66
2007	NE	31033	Oil	Royalties	462779.87
2007	NE	31049	Oil & Gas	Other Revenues	81.44
2007	NE	31049	Gas	Royalties	123992.24
2007	NE	31057	Oil	Royalties	2358.54
2007	NE	31087	Oil	Royalties	39365.39
2007	NE	31105	Oil	Royalties	3081.24
2007	NE	31145	Oil	Royalties	381.62
2008	NE	31033	Oil & Gas	Other Revenues	40609.66
2008	NE	31033	Oil	Royalties	562620.4
2008	NE	31049	Oil & Gas	Other Revenues	16.27
2008	NE	31049	Gas	Royalties	11101.25
2008	NE	31049	Gas	Royalties	8118.31
2008	NE	31057	Oil	Royalties	5483.3
2008	NE	31087	Oil	Royalties	59120.5
2008	NE	31105	Oil & Gas	Other Revenues	61
2008	NE	31105	Oil	Royalties	3945.62
2008	NE	31145	Oil	Royalties	723.24
2009	NE	31033	Oil & Gas	Other Revenues	14298.14
2009	NE	31033	Oil	Royalties	204956.57
2009	NE	31049	Gas	Royalties	8173.16
2009	NE	31057	Oil	Royalties	2928.13
2009	NE	31087	Oil	Royalties	27509.98
2009	NE	31105	Oil & Gas	Other Revenues	61
2009	NE	31105	Oil	Royalties	1768.4
2009	NE	31145	Oil	Royalties	668.3
2010	NE	31033	Oil & Gas	Other Revenues	38029.9
2010	NE	31033	Oil	Royalties	260136.26
2010	NE	31049	Gas	Royalties	0.06
2010	NE	31049	Gas	Royalties	232556.54
2010	NE	31057	Oil	Royalties	4110.55
2010	NE	31087	Oil	Royalties	36339.98
2010	NE	31105	Oil	Royalties	1843.83
2010	NE	31145	Oil	Royalties	332.46
2011	NE	31033	Oil & Gas	Other Revenues	36879.22
2011	NE	31033	Oil	Royalties	301210.13
2011	NE	31057	Oil	Royalties	4314.45
2011	NE	31087	Oil	Royalties	42044.9
2011	NE	31105	Oil	Royalties	1947.72
2011	NE	31145	Oil	Royalties	366.24
2012	NE	31033	Oil & Gas	Other Revenues	35903.88
2012	NE	31033	Oil	Royalties	214949.57
2012	NE	31049	Gas	Royalties	10081.24
2012	NE	31057	Oil	Royalties	3823.24
2012	NE	31087	Oil	Royalties	45043.35
2012	NE	31105	Oil	Royalties	2157.56
2012	NE	31145	Oil	Royalties	277.95
2013	NE	31033	Oil & Gas	Other Revenues	38437.31
2013	NE	31033	Oil	Royalties	248099.73
2013	NE	31049	Gas	Royalties	5288.38
2013	NE	31057	Oil	Royalties	1767.8
2013	NE	31087	Oil	Royalties	40392.56
2013	NE	31105	Oil	Royalties	2410.94
2013	NE	31145	Oil	Royalties	267.01
