Year	State	FIPS	Commodity	type	Revenue
2004	OH	39009	Gas	Royalties	10437.63
2004	OH	39009	Oil	Royalties	686.11
2004	OH	39073	Oil & Gas	Other Revenues	3069.18
2004	OH	39073	Gas	Royalties	4255.29
2004	OH	39073	Oil	Royalties	40187.15
2004	OH	39087	Oil & Gas	Other Revenues	121.34
2004	OH	39087	Oil & Gas	Other Roy Vals	800
2004	OH	39087	Gas	Royalties	11657.03
2004	OH	39087	Gas	Royalties	8785.71
2004	OH	39089	Oil	Royalties	911
2004	OH	39099	Gas	Royalties	56866.45
2004	OH	39099	Oil	Royalties	3330.72
2004	OH	39111	Gas	Royalties	-597.56
2004	OH	39111	Oil	Royalties	13913.72
2004	OH	39119	Oil	Royalties	133.67
2004	OH	39127	Gas	Royalties	718.55
2004	OH	39127	Oil	Royalties	3599.38
2004	OH	39133	Gas	Royalties	148734.46
2004	OH	39133	Oil	Royalties	16854.47
2004	OH	39151	Gas	Royalties	23037.68
2004	OH	39151	Oil	Royalties	123.45
2004	OH	39155	Gas	Royalties	133391.29
2004	OH	39155	Oil	Royalties	3896.85
2004	OH	39167	Gas	Royalties	22504.87
2004	OH	39167	Oil	Royalties	12294.69
2005	OH	39009	Gas	Royalties	8282.24
2005	OH	39009	Oil	Royalties	3458.88
2005	OH	39073	Gas	Royalties	2166.1
2005	OH	39073	Oil	Royalties	22125.82
2005	OH	39087	Gas	Royalties	7378.74
2005	OH	39087	Gas	Royalties	11414.59
2005	OH	39099	Gas	Royalties	59151.78
2005	OH	39099	Oil	Royalties	4322.91
2005	OH	39111	Gas	Royalties	22039.25
2005	OH	39111	Oil	Royalties	17447.69
2005	OH	39119	Gas	Royalties	4797.73
2005	OH	39119	Oil	Royalties	273.27
2005	OH	39127	Gas	Royalties	2571.99
2005	OH	39127	Oil	Royalties	18307.34
2005	OH	39133	Gas	Royalties	189830.34
2005	OH	39133	Oil	Royalties	19239.02
2005	OH	39151	Gas	Royalties	28805.53
2005	OH	39151	Oil	Royalties	227.84
2005	OH	39155	Gas	Royalties	144354.75
2005	OH	39155	Oil	Royalties	4483.97
2005	OH	39167	Oil & Gas	Other Revenues	4.03
2005	OH	39167	Oil & Gas	Other Roy Vals	775
2005	OH	39167	Gas	Royalties	61297.45
2005	OH	39167	Oil	Royalties	34656.24
2006	OH	39009	Gas	Royalties	18449.01
2006	OH	39009	Oil	Royalties	6110.72
2006	OH	39073	Gas	Royalties	1767.55
2006	OH	39073	Oil	Royalties	31295
2006	OH	39087	Gas	Royalties	6177.74
2006	OH	39087	Gas	Royalties	10653.94
2006	OH	39099	Oil & Gas	Other Roy Vals	4082.49
2006	OH	39099	Gas	Royalties	79412.05
2006	OH	39099	Oil	Royalties	28596.31
2006	OH	39111	Gas	Royalties	28501.53
2006	OH	39111	Oil	Royalties	15441.28
2006	OH	39119	Gas	Royalties	5044.28
2006	OH	39119	Oil	Royalties	277.56
2006	OH	39127	Gas	Royalties	4233.47
2006	OH	39127	Oil	Royalties	20247.86
2006	OH	39133	Oil & Gas	Other Roy Vals	16244.42
2006	OH	39133	Gas	Royalties	208691.15
2006	OH	39133	Oil	Royalties	57115.44
2006	OH	39151	Oil & Gas	Other Roy Vals	2673.09
2006	OH	39151	Gas	Royalties	29373.17
2006	OH	39151	Oil	Royalties	2306.98
2006	OH	39155	Gas	Royalties	128358.67
2006	OH	39155	Oil	Royalties	2921.1
2006	OH	39167	Oil & Gas	Other Revenues	50.62
2006	OH	39167	Oil & Gas	Other Roy Vals	1750
2006	OH	39167	Gas	Royalties	75468.39
2006	OH	39167	Oil	Royalties	26792.23
2007	OH	39009	Gas	Royalties	26027.2
2007	OH	39009	Oil	Royalties	3062.68
2007	OH	39073	Gas	Royalties	4167.57
2007	OH	39073	Oil	Royalties	36074.64
2007	OH	39087	Gas	Royalties	3343.26
2007	OH	39087	Gas	Royalties	5895.7
2007	OH	39099	Gas	Royalties	79724.68
2007	OH	39099	Oil	Royalties	33481.22
2007	OH	39111	Oil & Gas	Other Revenues	400
2007	OH	39111	Gas	Royalties	19545.87
2007	OH	39111	Oil	Royalties	27399.45
2007	OH	39119	Gas	Royalties	3152.56
2007	OH	39119	Oil	Royalties	360.66
2007	OH	39127	Gas	Royalties	3758.66
2007	OH	39127	Oil	Royalties	23466.24
2007	OH	39133	Gas	Royalties	199849.91
2007	OH	39133	Oil	Royalties	67301.14
2007	OH	39151	Gas	Royalties	28835.97
2007	OH	39151	Oil	Royalties	2778.51
2007	OH	39155	Gas	Royalties	183081.19
2007	OH	39155	Oil	Royalties	5163.62
2007	OH	39167	Oil & Gas	Other Revenues	648.03
2007	OH	39167	Oil & Gas	Other Roy Vals	-420
2007	OH	39167	Gas	Royalties	55999.5
2007	OH	39167	Oil	Royalties	34051.97
2008	OH	39009	Gas	Royalties	18793.11
2008	OH	39009	Oil	Royalties	4809.99
2008	OH	39073	Gas	Royalties	4204.36
2008	OH	39073	Oil	Royalties	60717.65
2008	OH	39087	Oil & Gas	Other Roy Vals	-1350
2008	OH	39087	Gas	Royalties	1121.87
2008	OH	39087	Gas	Royalties	4155.52
2008	OH	39099	Gas	Royalties	87737.96
2008	OH	39099	Oil	Royalties	44898.06
2008	OH	39111	Oil & Gas	Other Revenues	809.34
2008	OH	39111	Gas	Royalties	31348.6
2008	OH	39111	Oil	Royalties	45874.52
2008	OH	39119	Gas	Royalties	5813.71
2008	OH	39119	Oil	Royalties	6759.32
2008	OH	39127	Gas	Royalties	3591.57
2008	OH	39127	Oil	Royalties	37747.3
2008	OH	39133	Gas	Royalties	226821.09
2008	OH	39133	Oil	Royalties	97457.23
2008	OH	39151	Gas	Royalties	36271.27
2008	OH	39151	Oil	Royalties	4955.82
