Year	State	FIPS	Commodity	type	Revenue
2004	UT	49001	Geothermal	Royalties	212597.65
2004	UT	49003	Hardrock	Other Revenues	1920
2004	UT	49007	Oil & Gas	Other Revenues	11872.68
2004	UT	49007	Oil & Gas	Other Roy Vals	481577.91
2004	UT	49007	Coal	Royalties	-317589.49
2004	UT	49007	Gas	Royalties	2580032.1
2004	UT	49007	Gas	Royalties	28903.18
2004	UT	49007	Gas	Royalties	12449786.26
2004	UT	49007	Oil	Royalties	1145.29
2004	UT	49007	Oil	Royalties	15105.74
2004	UT	49007	Solids	Royalties	416.41
2004	UT	49009	Oil & Gas	Other Revenues	494853.78
2004	UT	49009	Phosphate	Other Revenues	9737
2004	UT	49009	Oil & Gas	Other Roy Vals	1526.48
2004	UT	49009	Gas	Royalties	4729.79
2004	UT	49009	Gas	Royalties	569005.46
2004	UT	49009	Oil	Royalties	3673.84
2004	UT	49013	Oil & Gas	Other Revenues	14350.47
2004	UT	49013	Oil & Gas	Other Roy Vals	1284.03
2004	UT	49013	Gas	Royalties	240336.9
2004	UT	49013	Gas	Royalties	-600.06
2004	UT	49013	Gas	Royalties	1429632.91
2004	UT	49013	Oil	Royalties	1163.39
2004	UT	49013	Oil	Royalties	5550265.36
2004	UT	49015	Oil & Gas	Other Revenues	12996.29
2004	UT	49015	Oil & Gas	Other Roy Vals	231139.43
2004	UT	49015	Gas	Royalties	228538.48
2004	UT	49015	Gas	Royalties	2135632.99
2004	UT	49015	Oil	Royalties	6096.35
2004	UT	49017	Hardrock	Other Revenues	240
2004	UT	49017	Oil & Gas	Other Revenues	3960
2004	UT	49017	Oil & Gas	Other Roy Vals	90000
2004	UT	49017	Oil	Royalties	758575.92
2004	UT	49019	Oil & Gas	Other Revenues	16208.15
2004	UT	49019	Potassium	Other Revenues	400
2004	UT	49019	Oil & Gas	Other Roy Vals	4095
2004	UT	49019	Gas	Royalties	4886.62
2004	UT	49019	Gas	Royalties	170061.39
2004	UT	49019	Gas	Royalties	2488246.97
2004	UT	49019	Oil	Royalties	4570.34
2004	UT	49019	Oil	Royalties	366585.03
2004	UT	49023	Gas	Royalties	49.51
2004	UT	49023	Gas	Royalties	2240.53
2004	UT	49023	Gas	Royalties	5727.31
2004	UT	49031	Clay	Other Revenues	-396.7
2004	UT	49031	Solids	Royalties	-0.1
2004	UT	49031	Solids	Royalties	-897.46
2004	UT	49037	Oil & Gas	Other Revenues	20321.04
2004	UT	49037	Oil & Gas	Other Roy Vals	-15356.1
2004	UT	49037	Gas	Royalties	944856.31
2004	UT	49037	Gas	Royalties	2281784.27
2004	UT	49037	Gas	Royalties	202340.89
2004	UT	49037	Oil	Royalties	177563.69
2004	UT	49037	Oil	Royalties	2173.32
2004	UT	49037	Oil	Royalties	1122752.77
2004	UT	49043	Oil & Gas	Other Revenues	1951
