Year	State	FIPS	Commodity	type	Revenue
2004	VA	51051	Oil & Gas	Other Revenues	3715.92
2004	VA	51051	Gas	Royalties	31151.35
2004	VA	51091	Gas	Royalties	63.58
2004	VA	51195	Oil & Gas	Other Revenues	5114
2004	VA	51195	Gas	Royalties	143.07
2005	VA	51051	Oil & Gas	Other Revenues	402
2005	VA	51051	Gas	Royalties	536234.46
2005	VA	51091	Gas	Royalties	305.25
2005	VA	51195	Oil & Gas	Other Revenues	4963.22
2005	VA	51195	Gas	Royalties	36185.25
2006	VA	51051	Oil & Gas	Other Revenues	402
2006	VA	51051	Gas	Royalties	220075.55
2006	VA	51091	Gas	Royalties	631.14
2006	VA	51195	Oil & Gas	Other Revenues	4523.61
2006	VA	51195	Gas	Royalties	121968.42
2007	VA	51051	Gas	Royalties	270713.38
2007	VA	51091	Oil & Gas	Other Roy Vals	57
2007	VA	51091	Gas	Royalties	106.52
2007	VA	51195	Oil & Gas	Other Revenues	4881.43
2007	VA	51195	Gas	Royalties	90535.03
2008	VA	51051	Gas	Royalties	232929.86
2008	VA	51091	Oil & Gas	Other Roy Vals	-43
2008	VA	51091	Gas	Royalties	43.22
2008	VA	51195	Oil & Gas	Other Revenues	4665.33
2008	VA	51195	Gas	Royalties	193383.19
2009	VA	51051	Gas	Royalties	85312.68
2009	VA	51071	Hardrock	Other Revenues	-2662.5
2009	VA	51195	Oil & Gas	Other Revenues	432.2
2009	VA	51195	Gas	Royalties	-57390.97
2010	VA	51051	Gas	Royalties	76606.16
2010	VA	51091	Oil & Gas	Other Roy Vals	-14
2010	VA	51195	Oil & Gas	Other Revenues	1140.1
2010	VA	51195	Gas	Royalties	35002.89
2011	VA	51051	Oil & Gas	Other Revenues	10160
2011	VA	51051	Gas	Royalties	63574.16
2011	VA	51195	Gas	Royalties	16.01
2011	VA	51195	Gas	Royalties	-116520.82
2012	VA	51051	Gas	Royalties	35955.56
2012	VA	51195	Oil & Gas	Other Revenues	4919.5
2012	VA	51195	Gas	Royalties	3220.61
2013	VA	51051	Oil & Gas	Other Revenues	10160
2013	VA	51051	Gas	Royalties	46967.7
2013	VA	51195	Oil & Gas	Other Revenues	216.1
2013	VA	51195	Gas	Royalties	8448.8
2013	VA	51195	Oil	Royalties	91.93
