Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	WY	Albany	56001	Oil & Gas		Other Revenues	603
2004	WY	Albany	56001	Oil & Gas		Rents	17418.5
2004	WY	Albany	56001	Gas (mcf)	Fuel Gas	Royalties	2504.16
2004	WY	Albany	56001	Oil (bbl)	Oil	Royalties	169221.85
2004	WY	Big Horn	56003	Oil & Gas		Bonus	818210
2004	WY	Big Horn	56003	Oil & Gas		Other Revenues	7152
2004	WY	Big Horn	56003	Oil & Gas		Other Roy Vals	82804.76
2004	WY	Big Horn	56003	Oil & Gas		Rents	597175.36
2004	WY	Big Horn	56003	Gas (mcf)	Processed (Residue) Gas	Royalties	913849.27
2004	WY	Big Horn	56003	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	850964.66
2004	WY	Big Horn	56003	NGL (gal)	Gas Plant Products	Royalties	298944.1
2004	WY	Big Horn	56003	Oil (bbl)	Condensate	Royalties	101596.42
2004	WY	Big Horn	56003	Oil (bbl)	Oil	Royalties	2904967.69
2004	WY	Campbell	56005	Coal		Bonus	135296821.89
2004	WY	Campbell	56005	Oil & Gas		Bonus	771571.84
2004	WY	Campbell	56005	Coal		Other Revenues	-1041304.42
2004	WY	Campbell	56005	Oil & Gas		Other Revenues	77286.31
2004	WY	Campbell	56005	Gas (mcf)	Coal Bed Methane	Other Roy Vals	473631.91
2004	WY	Campbell	56005	Gas (mcf)	Unprocessed (Wet) Gas	Other Roy Vals	972.63
2004	WY	Campbell	56005	Oil & Gas		Other Roy Vals	2063863.89
2004	WY	Campbell	56005	Coal		Rents	318451.1
2004	WY	Campbell	56005	Oil & Gas		Rents	1277629.73
2004	WY	Campbell	56005	Coal (ton)	Coal	Royalties	-0.02
2004	WY	Campbell	56005	Coal (ton)	Coal-Subbituminous-Raw	Royalties	-99999.98
2004	WY	Campbell	56005	Gas (mcf)	Coal Bed Methane	Royalties	26207744.74
2004	WY	Campbell	56005	Gas (mcf)	Processed (Residue) Gas	Royalties	3084882.65
2004	WY	Campbell	56005	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	21590088.27
2004	WY	Campbell	56005	NGL (gal)	Gas Plant Products	Royalties	210132.94
2004	WY	Campbell	56005	Oil (bbl)	Condensate	Royalties	34101.01
2004	WY	Campbell	56005	Oil (bbl)	Oil	Royalties	17542741.11
2004	WY	Carbon	56007	Oil & Gas		Bonus	2088022
2004	WY	Carbon	56007	Oil & Gas		Other Revenues	43377.13
2004	WY	Carbon	56007	Oil & Gas		Other Roy Vals	1237556.19
2004	WY	Carbon	56007	Coal		Rents	55152
2004	WY	Carbon	56007	Oil & Gas		Rents	1304767.56
2004	WY	Carbon	56007	Gas (mcf)	Fuel Gas	Royalties	1643.65
