Gross domestic product (GDP) by state (millions of current dollars)						
Levels						
Bureau of Economic Analysis						
Mining						
						
Fips	Area	2004	2005	2006	2007	2008
00000	United States	167613	226702	273482	314127	401816
01000	Alabama	1978	2751	2907	3449	4081
02000	Alaska	7259	10413	13793	16460	20243
04000	Arizona	1884	3159	4417	4973	5174
05000	Arkansas	557	760	1101	1816	2830
06000	California	9136	12752	17650	21381	27324
08000	Colorado	5729	9581	10970	11295	16196
09000	Connecticut	109	120	148	161	123
10000	Delaware	5	2	1	(L)	1
11000	District of Columbia	5	0	0	0	0
12000	Florida	863	1131	1280	1531	1930
13000	Georgia	1323	1338	1434	1507	1294
15000	Hawaii	40	42	64	94	98
16000	Idaho	203	593	547	576	857
17000	Illinois	1407	1642	1892	2057	2232
18000	Indiana	845	909	1055	1176	1245
19000	Iowa	227	282	332	329	374
20000	Kansas	1227	1572	1914	2074	2563
21000	Kentucky	2840	3654	4452	4811	5542
22000	Louisiana	14530	16771	20464	21143	25991
23000	Maine	9	9	10	12	18
24000	Maryland	250	303	365	396	341
25000	Massachusetts	154	143	162	249	142
26000	Michigan	741	899	1191	1164	1216
27000	Minnesota	769	1008	1249	1112	1369
28000	Mississippi	959	975	1306	1704	2200
29000	Missouri	670	1187	974	1113	1108
30000	Montana	1031	1459	1808	2082	2327
31000	Nebraska	108	135	133	214	169
32000	Nevada	1782	2216	3313	3493	4275
33000	New Hampshire	52	64	86	108	108
34000	New Jersey	253	316	290	325	254
35000	New Mexico	5229	7148	7932	8674	10195
36000	New York	571	678	875	978	1135
37000	North Carolina	687	812	902	1111	970
38000	North Dakota	497	665	936	1138	1738
39000	Ohio	1947	2355	2706	2997	3486
40000	Oklahoma	10636	15258	18632	21589	28182
41000	Oregon	227	284	321	398	327
42000	Pennsylvania	2803	3565	4242	5239	5979
44000	Rhode Island	28	28	28	32	39
45000	South Carolina	266	278	347	269	287
46000	South Dakota	85	99	101	124	146
47000	Tennessee	629	817	994	1164	1174
48000	Texas	73409	99803	116161	137046	182891
49000	Utah	1511	2390	3123	3575	4101
50000	Vermont	89	124	149	146	154
51000	Virginia	1534	1748	2319	2289	2877
53000	Washington	331	576	816	764	583
54000	West Virginia	3678	4798	5657	6632	8096
55000	Wisconsin	390	404	505	476	484
56000	Wyoming	6122	8688	11430	12678	17345
91000	New England	440	487	583	708	583
92000	Mideast	3887	4864	5774	6940	7711
93000	Great Lakes	5330	6208	7349	7871	8663
94000	Plains	3585	4948	5639	6103	7467
95000	Southeast	29843	35833	43161	47426	57273
96000	Southwest	91158	125367	147143	172281	226442
97000	Rocky Mountain	14595	22711	27878	30207	40828
98000	Far West	18775	26284	35956	42591	52849
Legend / Footnotes:						
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).						
(L) Less than $500,000 in nominal or real GDP by state.						
  Last updated: June 11, 2014 - advance statisticss for 2013 and revised statistics for 1997-2012.						
