Historic Coal Production Data: 2006
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration

Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Basin	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2006	103295	Seymour Mine	Alabama	Bibb	Appalachia Southern	Permanently abandoned	Surface	Indepedent Producer Operator	Mine only	Capcon Inc	"133 Rossburg Drive, Calera, AL 35040"		"18,519"	3	"3,579"
2006	103117	"Mine #2, #3, #4"	Alabama	Cullman	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Twin Pines Coal Company Inc	"P.O. Box 621, Jasper, AL 35502"		"633,860"	88	"226,478"
2006	103246	Bear Creek	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Birmingham Coal & Coke Co., In"	"2477 Valleydale Rd S #b3, Birmingham, AL 35244"		"189,984"	20	"63,589"
2006	102933	Mine No 1 & Mine No 2	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Cahaba Resources Llc	"P.O. Box 122, Vance, AL 35490"		"59,454"	16	"37,360"
2006	103006	Bledsoe #1	Alabama	Jackson	Appalachia Southern	Permanently abandoned	Underground	Indepedent Producer Operator	Mine only	A L Select Inc	"573 Co Rd 85, Stevenson, AL 35772"		"5,908"	3	"3,990"
2006	103206	Mine No 1	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Gtm Mining Corporation	"15693 Alabama Highway 71, Pisgah, AL 35765"		"48,191"	18	"43,380"
2006	103301	Pit Number 2	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	D&e Mining Llc	"20297 Alabama Hwy 71, Flat Rock, AL 35966"		"47,819"	22	"31,124"
2006	100329	Concord Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	"Oak Grove Resources, Llc"	"8800 Oak Grove Mine Road, Adger, AL 35006"	United Mine Workers of America	0	38	"88,553"
2006	100742	Short Creek 8750	Alabama	Jefferson	Appalachia Southern	Temporarily closed	Surface	Indepedent Producer Operator	Preparation Plant	"Drummond Company, Inc."	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	0	9	"15,172"
2006	100851	Oak Grove Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine only	"Oak Grove Resources, Llc"	"8800 Oak Grove Mine Rd, Adger, AL 35006"	Utility Workers of America	"1,415,173"	324	"747,681"
2006	101037	Knob Strip Mine	Alabama	Jefferson	Appalachia Southern	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	"Drummond Company, Inc."	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"53,363"	31	"49,532"
2006	102354	Lindbergh	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	C & H Mining Company Inc	"3699 Industrial Parkway, Jasper, AL 35502"		"355,849"	46	"117,391"
2006	102760	Merritt Rogers Mine	Alabama	Jefferson	Appalachia Southern	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	M S & R Equipment Company Inc	"2361 Cumberland Lake Dr, Pinson, AL 35126"		"2,564"	2	"1,133"
2006	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine and Preparation Plant	"Drummond Company, Inc."	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	0	1	"3,146"
2006	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	"Active, men working, not producing"	Underground	Indepedent Producer Operator	Mine and Preparation Plant	"Drummond Company, Inc."	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"818,287"	531	"1,294,052"
2006	103150	Littleton Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Twin Pines Coal Company Inc	"P.O. Box 621, Jasper, AL 35502"		"155,175"	29	"73,350"
2006	103178	Alabama Fuel Products	Alabama	Jefferson	Appalachia Southern	Active	Surface	Operating Subsidiary	Preparation Plant	"Alabama Coal Recovery, Llc"	"8260 Birmingport Rd, Mulga, AL 35118"		0	66	"121,456"
2006	103178	Alabama Fuel Products	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	"Alabama Coal Recovery, Llc"	"8260 Birmingport Rd, Mulga, AL 35118"		0	1	"2,479"
2006	103180	Sloan Mountain Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	M S & R Equipment Company Inc	"2361 Cumberland Drive, Pinson, AL 35126"		"242,896"	42	"87,797"
2006	103182	Fishtrap	Alabama	Jefferson	Appalachia Southern	Active	Surface	Contractor	Mine only	"Black Warrior Minerals, Inc."	"4788 Highway 78, Cordova, AL 35550"		"107,250"	21	"59,330"
2006	103271	Praco Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Cherokee Mining Llc	"74 Industrial Pkwy, Jasper, AL 35501"		"282,795"	54	"127,548"
2006	103278	Jwr #3	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Covol Engineered Fuels Lc	"5290 Mud Creek Rd, Adger, AL 35006"		"34,901"	9	"19,611"
2006	103278	Jwr #3	Alabama	Jefferson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Covol Engineered Fuels Lc	"5290 Mud Creek Rd, Adger, AL 35006"		0	9	"25,673"
