Year	US		FL	NY	PA	VA	WV		IL	IN	KS	KY	MI	MO	NE	ND	OH	OK	SD	TN		AL	AR	LA	MS	NM	TX	gulf		CO	MT	UT	WY		AK			AZ	CA	NV	pacific alaska
Production	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl	bbl
2004	1991394	7225	2904	170	2396	19	1735	160340	10984	1755	33879	2548	5951	88	2506	31152	5783	63977	1357	361	1109290	7443	6747	83272	19242	64517	392714	535355	113934	22532	24718	14744	51940	600605	332441	8225	324216	54	240138	463	27509
2005	1892095	6970	2585	202	2460	26	1696	160628	10207	1727	33620	2535	5734	86	2408	35675	5658	61262	1394	324	1027420	7861	6175	75199	17695	60963	392601	466926	124457	23227	32787	16673	51770	572620	315387	7110	308277	50	230230	447	26507
2006	1856606	7004	2360	312	2589	17	1726	169535	10325	1773	35668	2340	5828	87	2313	39943	5439	64236	1389	192	1028414	7539	5948	73621	17356	59452	392481	472017	131689	24494	36294	17927	52974	519964	270481	6237	264244	55	223015	426	25987
2007	1853243	7256	2078	379	2788	19	1992	174795	9608	1727	36590	2666	5646	80	2335	45122	5155	63951	1632	284	1029273	7171	6031	76979	20672	59179	391270	467971	134731	26172	34907	19535	54116	507189	263595	5488	258107	43	218518	408	24624
2008	1830416	7481	1953	387	2999	16	2126	199679	9448	1859	39663	2645	6271	99	2394	62780	5113	67357	1713	338	997722	7696	6079	72353	22104	60156	406007	423326	136610	29928	31596	22041	53045	488924	249874	4770	245104	52	214533	436	24029
2009	1954241	5508	696	333	2967	11	1501	214728	9097	1803	39466	2609	6223	106	2239	79728	4877	66637	1676	268	1135801	7189	5755	68824	23232	61156	399344	570302	132660	30350	27835	22943	51533	465544	235491	2751	232740	46	207262	438	22306
2010	1998583	7248	1777	381	3236	12	1842	250421	9067	1835	40468	2519	6943	146	2331	113064	4769	67418	1604	257	1162912	7155	5733	67280	24080	65373	426666	566626	136874	32976	25332	24674	53891	441128	218904	3766	215138	40	200050	426	21708
2011	2057608	8017	2023	375	3463	11	2146	297666	9158	1987	41507	2326	7012	118	2544	153015	4654	73423	1625	296	1188254	8373	5877	68965	24246	71249	528844	480701	144585	39430	24155	26331	54670	419086	204829	3691	201138	37	193996	408	19817
2012	2370114	9383	2135	362	4304	9	2573	406834	8908	2350	43743	3198	7426	175	3025	243236	5109	87538	1756	371	1382191	9525	6536	70643	24593	85334	722130	463429	164028	49435	26495	30268	57830	407677	192368	4034	188334	52	197211	368	17679
2013	2720782	15307	2174	313	5246	9	7564	510821	9539	2399	46845	2893	7706	199	2808	313823	7962	114486	1829	334	1596077	10391	6640	71815	24345	101451	923561	457874	192743	65257	29288	34912	63285	405834	187954	5424	182530	60	198928	334	18559
