Company	Revenue Type	Commodity	Revenue
70 & 148 LLC	BLM - Permit Fees	Oil & Gas	$1,870.00
70 & 148 LLC	ONRR/BLM - Rents	Oil & Gas	$310,220.00
A & G COAL CORP                                             	OSMRE - AML Fees including Audits and Late Charges 	Coal	$119,617.76
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	$290.00
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	$18,631.60
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	$55,520.80
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	$935,018.79
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$3,954.50
ADVENTURE EXPLORATION PARTNERS II LLC	BLM - Permit Fees	Oil & Gas	$6,755.00
ADVENTURE EXPLORATION PARTNERS II LLC	ONRR/BLM - Bonus	Oil & Gas	$2,556,000.00
ADVENTURE EXPLORATION PARTNERS II LLC	ONRR/BLM - Rents	Oil & Gas	$4,598.50
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	$169,085.00
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$2,004.69
AERA ENERGY LLC	ONRR - Royalties	Gas	$49,926.21
AERA ENERGY LLC	ONRR - Royalties	Oil	$38,137,065.01
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$11,358.00
AGC SODA CORP	ONRR - Royalties	Other Commodities	$1,849,208.69
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	$180,799.00
AGRI PROPERTIES LLP	BLM - Permit Fees	Oil & Gas	$450.00
AGRI PROPERTIES LLP	ONRR/BLM - Bonus	Oil & Gas	$1,232,000.00
AGRI PROPERTIES LLP	ONRR/BLM - Rents	Oil & Gas	$156.00
ALAMO-PALACE MP 59 LLC	BLM - Permit Fees	Oil & Gas	$39,000.00
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	$6,263.01
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	$6,045,914.35
ALLIED VNC INC	BLM - Permit Fees	Locatable Minerals	$201,344.00
ALPHA NATURAL RESOURCES INC	BLM - Permit Fees	Mineral Materials	$50,749.38
ALPHA NATURAL RESOURCES INC	ONRR - Royalties	Coal	$29,672,103.26
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Bonus	Coal	$42,129,612.00
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Rents	Coal	$38,796.00
ALPHA NATURAL RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$18,991,420.29
