Land Category	Calendar Year	St	County Name	FIPS	Volume Type	Commodity	Product	Sales Volumes
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	  359,139.39 
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	  36,816,022.75 
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	NGL (gal)	Gas Plant Products (gal)	  3,256,192.40 
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	Oil (bbl)	Oil (bbl)	  209,355.36 
Fed Onshore	2004	AK	North Slope Borough	02185	Royalties	Oil (bbl)	Oil (bbl)	  2,961.31 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	  32,021.10 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	NGL (gal)	Gas Plant Products (gal)	  1.53 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	  654.57 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Other Products	Sulfur (lton)	  63.95 
Fed Onshore	2004	AL	Bibb	01007	Royalties	Other Products	Clay (ton)	  36,709.00 
Fed Onshore	2004	AL	Covington	01039	Royalties	Oil (bbl)	Oil (bbl)	  229,228.10 
Fed Onshore	2004	AL	Escambia	01053	Royalties	Oil (bbl)	Oil (bbl)	  22,690.33 
Fed Onshore	2004	AL	Fayette	01057	Royalties	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	  3,313.66 
Fed Onshore	2004	AL	Jefferson	01073	Royalties	Coal (ton)	Coal (ton)	  829.00 
Fed Onshore	2004	AL	Lamar	01075	Royalties	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	  5,982.00 
Fed Onshore	2004	AL	Lamar	01075	Royalties	Oil (bbl)	Oil (bbl)	  1,677.08 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Gas (mcf)	Fuel Gas (mcf)	  (0.01)
Fed Onshore	2004	AL	Mobile	01097	Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	  79,540.88 
Fed Onshore	2004	AL	Mobile	01097	Royalties	NGL (gal)	Gas Plant Products (gal)	  3.81 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Oil (bbl)	Oil (bbl)	  5,389.24 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	  1,704.36 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Other Products	Sulfur (lton)	  158.85 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	  2,702.08 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	  0.01 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	NGL (gal)	Gas Plant Products (gal)	  0.58 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Oil (bbl)	Condensate (bbl)	  0.46 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Other Products	Sulfur (lton)	  1.07 
Fed Onshore	2004	AL	Tuscaloosa	01125	Royalties	Gas (mcf)	Coal Bed Methane (mcf)	  124,495.76 
Fed Onshore	2004	AL	Tuscaloosa	01125	Royalties	Gas (mcf)	Processed (Residue) Gas (mcf)	  73,142.20 
