Land Category	CY	St	County Name	FIPS	Revenue Type	Commodity	Product	 Royalty/Revenue
Fed Onshore	2004	AK	Bristol Bay Borough	02060	Bonus	Oil & Gas		" $(1,851,000.00)"
Fed Onshore	2004	AK	Bristol Bay Borough	02185	Rents	Oil & Gas		" $213,831.00 "
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Other Revenues	Oil & Gas		" $275,984.90 "
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Rents	Oil & Gas		" $7,942.54 "
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	Gas (mcf)	Processed (Residue) Gas	" $159,656.28 "
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $10,468,685.88 "
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	NGL (gal)	Gas Plant Products	" $371,339.82 "
Fed Onshore	2004	AK	Kenai Peninsula Borough	02122	Royalties	Oil (bbl)	Oil	" $944,070.81 "
Fed Onshore	2004	AK	North Slope Borough	02185	Bonus	Oil & Gas		" $55,755,491.00 "
Fed Onshore	2004	AK	North Slope Borough	02185	Rents	Coal		" $2,560.00 "
Fed Onshore	2004	AK	North Slope Borough	02185	Rents	Oil & Gas		" $8,672,697.00 "
Fed Onshore	2004	AL	Baldwin	01003	Other Revenues	Oil & Gas		 $572.19 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Gas (mcf)	Fuel Gas	 $896.61 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Gas (mcf)	Processed (Residue) Gas	" $19,946.39 "
Fed Onshore	2004	AL	Baldwin	01003	Royalties	NGL (gal)	Gas Plant Products	 $0.01 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Oil (bbl)	Drip or Scrubber Condensate	 $2.66 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Oil (bbl)	Other Liquid Hydrocarbons	 $39.94 
Fed Onshore	2004	AL	Baldwin	01003	Royalties	Other Products	Sulfur	 $221.41 
Fed Onshore	2004	AL	Bibb	01007	Other Revenues	Hardrock		 $123.00 
Fed Onshore	2004	AL	Bibb	01007	Royalties	Other Products	Clay	" $11,440.80 "
Fed Onshore	2004	AL	Conecuh	01035	Bonus	Oil & Gas		 $688.00 
Fed Onshore	2004	AL	Conecuh	01035	Rents	Oil & Gas		 $186.00 
Fed Onshore	2004	AL	Covington	01039	Bonus	Oil & Gas		" $75,896.00 "
Fed Onshore	2004	AL	Covington	01039	Rents	Oil & Gas		" $14,589.00 "
Fed Onshore	2004	AL	Covington	01039	Royalties	Oil (bbl)	Oil	" $708,785.77 "
Fed Onshore	2004	AL	Escambia	01053	Rents	Oil & Gas		" $14,325.50 "
Fed Onshore	2004	AL	Escambia	01053	Royalties	Oil (bbl)	Oil	" $97,533.34 "
Fed Onshore	2004	AL	Fayette	01057	Bonus	Oil & Gas		" $9,800.00 "
Fed Onshore	2004	AL	Fayette	01057	Rents	Oil & Gas		" $1,080.00 "
Fed Onshore	2004	AL	Fayette	01057	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $1,878.72 "
Fed Onshore	2004	AL	Jefferson	01073	Rents	Coal		" $4,830.00 "
Fed Onshore	2004	AL	Jefferson	01073	Royalties	Coal (ton)	Coal	" $3,338.77 "
Fed Onshore	2004	AL	Lamar	01075	Rents	Oil & Gas		 $444.50 
Fed Onshore	2004	AL	Lamar	01075	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $2,662.04 "
Fed Onshore	2004	AL	Lamar	01075	Royalties	Oil (bbl)	Oil	" $5,253.00 "
Fed Onshore	2004	AL	Mobile	01097	Other Revenues	Oil & Gas		" $3,879.65 "
Fed Onshore	2004	AL	Mobile	01097	Rents	Oil & Gas		 $82.00 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Gas (mcf)	Fuel Gas	" $2,137.46 "
Fed Onshore	2004	AL	Mobile	01097	Royalties	Gas (mcf)	Processed (Residue) Gas	" $47,169.93 "
Fed Onshore	2004	AL	Mobile	01097	Royalties	NGL (gal)	Gas Plant Products	 $0.18 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Oil (bbl)	Drip or Scrubber Condensate	 $1.07 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Oil (bbl)	Oil	" $11,817.54 "
Fed Onshore	2004	AL	Mobile	01097	Royalties	Oil (bbl)	Other Liquid Hydrocarbons	 $51.43 
Fed Onshore	2004	AL	Mobile	01097	Royalties	Other Products	Sulfur	 $476.63 
Fed Onshore	2004	AL	Mobile/Water	01097	Other Revenues	Oil & Gas		 $150.00 
Fed Onshore	2004	AL	Mobile/Water	01297	Rents	Oil & Gas		 $5.00 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Gas (mcf)	Processed (Residue) Gas	" $2,695.99 "
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	NGL (gal)	Gas Plant Products	 $0.13 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Oil (bbl)	Condensate	 $0.84 
Fed Onshore	2004	AL	Mobile/Water	01297	Royalties	Other Products	Sulfur	 $6.09 
Fed Onshore	2004	AL	Shelby	01117	Rents	Coal		 $(3.48)
Fed Onshore	2004	AL	Tuscaloosa	01125	Bonus	Oil & Gas		" $78,294.00 "
Fed Onshore	2004	AL	Tuscaloosa	01125	Other Revenues	Oil & Gas		" $14,750.00 "
Fed Onshore	2004	AL	Tuscaloosa	01125	Rents	Oil & Gas		" $2,161.50 "
Fed Onshore	2004	AL	Tuscaloosa	01125	Royalties	Gas (mcf)	Coal Bed Methane	" $6,080.70 "
Fed Onshore	2004	AL	Tuscaloosa	01125	Royalties	Gas (mcf)	Processed (Residue) Gas	" $45,098.73 "
Fed Onshore	2004	AL	Tuscaloosa	01125	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $395,876.46 "
Fed Onshore	2004	AR	Columbia	05027	Royalties	Gas (mcf)	Processed (Residue) Gas	" $4,933.74 "
Fed Onshore	2004	AR	Columbia	05027	Royalties	Oil (bbl)	Oil	 $243.10 
Fed Onshore	2004	AR	Conway	05029	Bonus	Oil & Gas		" $2,751.00 "
Fed Onshore	2004	AR	Conway	05029	Rents	Oil & Gas		" $9,933.00 "
Fed Onshore	2004	AR	Crawford	05033	Bonus	Oil & Gas		" $12,544.00 "
Fed Onshore	2004	AR	Crawford	05033	Other Revenues	Oil & Gas		" $(4,376.08)"
Fed Onshore	2004	AR	Crawford	05033	Rents	Oil & Gas		" $5,531.50 "
Fed Onshore	2004	AR	Crawford	05033	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $104,551.96 "
Fed Onshore	2004	AR	Faulkner	05045	Rents	Oil & Gas		 $240.00 
Fed Onshore	2004	AR	Franklin	05047	Bonus	Oil & Gas		" $14,457.00 "
Fed Onshore	2004	AR	Franklin	05047	Other Revenues	Oil & Gas		 $343.45 
Fed Onshore	2004	AR	Franklin	05047	Rents	Oil & Gas		" $14,621.55 "
Fed Onshore	2004	AR	Franklin	05047	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $178,220.90 "
Fed Onshore	2004	AR	Garland	05051	Other Revenues	Hardrock		 $480.00 
Fed Onshore	2004	AR	Garland	05051	Rents	Hardrock		 $(240.00)
Fed Onshore	2004	AR	Johnson	05071	Bonus	Oil & Gas		" $138,487.21 "
Fed Onshore	2004	AR	Johnson	05071	Other Revenues	Oil & Gas		" $1,617.53 "
Fed Onshore	2004	AR	Johnson	05071	Rents	Oil & Gas		" $159,663.77 "
Fed Onshore	2004	AR	Johnson	05071	Royalties	Gas (mcf)	Processed (Residue) Gas	 $292.98 
Fed Onshore	2004	AR	Johnson	05071	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $618,869.04 "
Fed Onshore	2004	AR	Logan	05083	Bonus	Oil & Gas		" $46,800.00 "
Fed Onshore	2004	AR	Logan	05083	Other Revenues	Oil & Gas		" $39,473.04 "
Fed Onshore	2004	AR	Logan	05083	Rents	Oil & Gas		" $107,673.94 "
Fed Onshore	2004	AR	Logan	05083	Royalties	Gas (mcf)	Unprocessed (Wet) Gas	" $237,944.76 "
Fed Onshore	2004	AR	Montgomery	05097	Bonus	Oil & Gas		" $54,851.28 "
Fed Onshore	2004	AR	Montgomery	05097	Other Revenues	Hardrock		" $1,641.50 "
