Land Category	Calendar Year	Offshore Region	Planning Area	Offshore Area	Protraction	Revenue Type	Commodity	Product	Total
Federal Offshore	2004	Alaska	Beaufort Sea			Bonus	Oil & Gas		 $ 8,034,909.00
Federal Offshore	2004	Alaska	Beaufort Sea			Rents	Oil & Gas		 $ 1,092,381.00
Federal Offshore	2004	Alaska	Beaufort Sea			Royalties	Oil	Oil	 $ 29,343,329.28
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Amery Terrace	NG15-09	Bonus	Oil & Gas		 $ 1,063,870.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Amery Terrace	NG15-09	Rents	Oil & Gas		 $ 864,000.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Bonus	Oil & Gas		 $ 9,480,892.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Other Revenue	Oil & Gas		 $ 77,760.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Rents	Oil & Gas		 $ 14,299,200.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Other Revenue	Oil & Gas		 $ 420.04
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Rents	Oil & Gas		 $ 2,008.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Gas	Fuel Gas	 $ 48,649.92
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Gas	Processed (Residue) Gas	 $ 194,838.46
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Gas	Unprocessed (Wet) Gas	 $ (2,165.80)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	NGL	Gas Plant Products	 $ 23,912.45
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Condensate	 $ 145,549.96
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Drip or Scrubber Condensate	 $ 0.94
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Inlet Scrubber	 $ 5.22
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Oil	 $ 2,335,651.13
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Bonus	Oil & Gas		 $ 2,262,000.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Other Revenue	Oil & Gas		 $ 71,948.25
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Rents	Oil & Gas		 $ 76,849.05
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Gas	Processed (Residue) Gas	 $ 2,238,392.13
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Gas	Unprocessed (Wet) Gas	 $ 7,826,083.74
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	NGL	Gas Plant Products	 $ 20,864.86
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Oil	Condensate	 $ 874,224.54
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Oil	Drip or Scrubber Condensate	 $ 48.88
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Oil	Oil	 $ 3,730,712.92
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Bonus	Oil & Gas		 $ 370,116.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Other Revenue	Oil & Gas		 $ 475,604.73
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Rents	Oil & Gas		 $ 149,530.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Royalties	Gas	Unprocessed (Wet) Gas	 $ 3,271,415.33
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Royalties	Oil	Condensate	 $ 2,887.55
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Royalties	Oil	Oil	 $ 444.02
