year	volume	commodity	region	series_id	units
2015	32894683	Gas	US	NG.N9010US2.A	MMcf
2014	31345546	Gas	US	NG.N9010US2.A	MMcf
2013	29522551	Gas	US	NG.N9010US2.A	MMcf
2012	29542313	Gas	US	NG.N9010US2.A	MMcf
2011	28479026	Gas	US	NG.N9010US2.A	MMcf
2010	26816085	Gas	US	NG.N9010US2.A	MMcf
2009	26056893	Gas	US	NG.N9010US2.A	MMcf
2008	25636257	Gas	US	NG.N9010US2.A	MMcf
2007	24663656	Gas	US	NG.N9010US2.A	MMcf
2006	23535018	Gas	US	NG.N9010US2.A	MMcf
2014	181054	Gas	AL	NG.N9010AL2.A	MMcf
2013	196326	Gas	AL	NG.N9010AL2.A	MMcf
2012	215710	Gas	AL	NG.N9010AL2.A	MMcf
2011	218574	Gas	AL	NG.N9010AL2.A	MMcf
2010	240703	Gas	AL	NG.N9010AL2.A	MMcf
2009	255965	Gas	AL	NG.N9010AL2.A	MMcf
2008	277553	Gas	AL	NG.N9010AL2.A	MMcf
2007	289618	Gas	AL	NG.N9010AL2.A	MMcf
2006	306144	Gas	AL	NG.N9010AL2.A	MMcf
2015	3175163	Gas	AK	NG.N9010AK2.A	MMcf
2014	3168566	Gas	AK	NG.N9010AK2.A	MMcf
2013	3215358	Gas	AK	NG.N9010AK2.A	MMcf
2012	3164791	Gas	AK	NG.N9010AK2.A	MMcf
2011	3162922	Gas	AK	NG.N9010AK2.A	MMcf
2010	3197100	Gas	AK	NG.N9010AK2.A	MMcf
2009	3312386	Gas	AK	NG.N9010AK2.A	MMcf
2008	3415884	Gas	AK	NG.N9010AK2.A	MMcf
2007	3479290	Gas	AK	NG.N9010AK2.A	MMcf
2006	3205751	Gas	AK	NG.N9010AK2.A	MMcf
2014	106	Gas	AZ	NG.N9010AZ2.A	MMcf
2013	72	Gas	AZ	NG.N9010AZ2.A	MMcf
2012	117	Gas	AZ	NG.N9010AZ2.A	MMcf
2011	168	Gas	AZ	NG.N9010AZ2.A	MMcf
2010	183	Gas	AZ	NG.N9010AZ2.A	MMcf
2009	712	Gas	AZ	NG.N9010AZ2.A	MMcf
2008	523	Gas	AZ	NG.N9010AZ2.A	MMcf
2007	655	Gas	AZ	NG.N9010AZ2.A	MMcf
2006	611	Gas	AZ	NG.N9010AZ2.A	MMcf
2015	1017319	Gas	AR	NG.N9010AR2.A	MMcf
2014	1123678	Gas	AR	NG.N9010AR2.A	MMcf
2013	1139654	Gas	AR	NG.N9010AR2.A	MMcf
2012	1146168	Gas	AR	NG.N9010AR2.A	MMcf
2011	1076757	Gas	AR	NG.N9010AR2.A	MMcf
2010	927479	Gas	AR	NG.N9010AR2.A	MMcf
2009	680613	Gas	AR	NG.N9010AR2.A	MMcf
2008	447082	Gas	AR	NG.N9010AR2.A	MMcf
2007	270414	Gas	AR	NG.N9010AR2.A	MMcf
2006	270744	Gas	AR	NG.N9010AR2.A	MMcf
2015	222680	Gas	CA	NG.N9010CA2.A	MMcf
2014	252718	Gas	CA	NG.N9010CA2.A	MMcf
2013	252310	Gas	CA	NG.N9010CA2.A	MMcf
2012	246822	Gas	CA	NG.N9010CA2.A	MMcf
2011	279130	Gas	CA	NG.N9010CA2.A	MMcf
