Historic Coal Production Data: 2008
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration

Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Basin	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Production (short tons)	Average Employees	Labor Hours
2008	103295	Seymour Mine	Alabama	Bibb	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Hope Coal Company Inc	"P.O. Box 249, Maylene, AL 35114"		"105,082"	18	"39,175"
2008	103117	"Mine #2, #3, #4"	Alabama	Cullman	Appalachia Southern	"Active, men working, not producing"	Surface	Operating Subsidiary	Mine only	Twin Pines Coal Company Inc	"1874 County Road 15, Bremen, AL 35033"		"10,419"	19	"29,926"
2008	103361	Cold Springs West Mine	Alabama	Cullman	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Twin Pines Coal Company	"74 Industrial Parkway, Jasper, AL 35502"		"143,208"	20	"42,542"
2008	100759	North River # 1 Underground Mi	Alabama	Fayette	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Chevron Mining Inc	"3114 County Road 63 S, Berry, AL 35546"	United Mine Workers of America	"2,923,261"	395	"890,710"
2008	103246	Bear Creek	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Birmingham Coal & Coke Co., In"	"912 Edenton Street, Birmingham, AL 35242"		"183,137"	22	"55,403"
2008	103374	Meredyth Mine	Alabama	Franklin	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Hope Coal Company Inc	"P.O. Box 249, Maylene, AL 35114"		"113,875"	16	"35,697"
2008	102933	Mine No 2	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Gtm Energy Partners, Llc"	"440 County Road 464, Flat Rock, AL 35966"		"109,589"	24	"59,326"
2008	103206	Mine No 1	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Gtm Energy Partners Llc	"440 Co. Road 464, Flat Rock, AL 35966"		"153,797"	23	"58,897"
2008	103231	Glade Preparation Plant	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Gtm Energy Partners, Llc"	"440 Co. Road 464, Flat Rock, AL 35966"		0	17	"37,208"
2008	103301	Pit Number 2	Alabama	Jackson	Appalachia Southern	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	D&e Mining Llc	"20297 Alabama Hwy 71, Flat Rock, AL 35966"		"38,661"	15	"57,588"
2008	103384	Mine No. 3	Alabama	Jackson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Gtm Energy Partners, Llc"	"442 County Road 464, Flat Rock, AL 35966"		"28,819"	12	"12,293"
2008	100329	Concord Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Preparation Plant	Oak Grove Resources Llc	"8800 Oak Grove Mine Road, Adger, AL 35006"	United Mine Workers of America	0	41	"96,645"
2008	100851	Oak Grove Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine only	Oak Grove Resources Llc	"8800 Oak Grove Mine Rd, Adger, AL 35006"	United Mine Workers of America	"985,062"	411	"991,785"
2008	102354	Lindbergh	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	C & H Mining Company Inc	"3699 Industrial Parkway, Jasper, AL 35502"		"303,483"	47	"102,175"
2008	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	0	1	"2,118"
2008	102901	Shoal Creek Mine	Alabama	Jefferson	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Drummond Company Inc	"P.O. Box 1549, Jasper, AL 35501"	United Mine Workers of America	"2,105,589"	540	"1,350,920"
2008	103180	Sloan Mountain Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	M S & R Equipment Company Inc	"2361 Cumberland Drive, Pinson, AL 35126"		"196,868"	48	"98,151"
2008	103182	Fishtrap	Alabama	Jefferson	Appalachia Southern	Active	Surface	Contractor	Mine only	"Black Warrior Minerals, Inc."	"4788 Highway 78, Cordova, AL 35550"		"112,128"	23	"63,924"
2008	103271	Praco Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Cherokee Mining Llc	"74 Industrial Pkwy, Jasper, AL 35501"		"150,085"	26	"47,218"
2008	103278	Jwr #3	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Covol Engineered Fuels Lc	"5290 Mud Creek Rd, Adger, AL 35006"		"192,999"	24	"64,309"
2008	103285	Narley Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	Best Coal Inc	"P.O. Box 1253, Cullman, AL 35058"		"252,530"	31	"85,000"
2008	103332	Powhatan Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Job Land & Mineral Inc	"378 Old Dora Road, Sumiton, AL 35148"		"47,533"	14	"28,116"
2008	103375	Johnson Mine	Alabama	Jefferson	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Cahaba Resources Llc	"P.O. Box 122, Vance, AL 35490"		"55,398"	12	"29,813"
2008	103279	Burleson North Mine	Alabama	Marion	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"M.E. Group, Inc."	"P.O. Box 10, Delmar, AL 35551"		"49,581"	17	"23,000"
2008	102976	Piney Woods Preparation Plant	Alabama	Shelby	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Preparation Plant	"Tacoa Minerals, Llc"	"1669 Mission Hills Road, Alabaster, AL 35007"		0	9	"21,785"
2008	102976	Piney Woods Preparation Plant	Alabama	Shelby	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Preparation Plant	"Tacoa Minerals, Llc"	"1669 Mission Hills Road, Alabaster, AL 35007"		0	2	"4,238"
2008	103205	Alliance Mine No 1	Alabama	Shelby	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Hope Coal Company Inc	"1401 Doug Baker Blvd, Suite 10, Birmingham, AL 35242"		"130,022"	17	"42,103"
2008	103217	Coke Mine #1	Alabama	Shelby	Appalachia Southern	"Active, men working, not producing"	Underground	Indepedent Producer Operator	Mine only	"Shelby Mining Company, Llc"	"201 Tucker Rd, Ste 101, Helena, AL 35080"		"69,487"	71	"165,102"
2008	103245	Thompson Mine No 1	Alabama	Shelby	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Mine only	"Tacoa Minerals, Llc"	"1669 Mission Hills Road, Alabaster, AL 35007"		"17,641"	18	"27,391"
2008	103334	Segco/Toby Mine	Alabama	Shelby	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine only	"Twin Pines Coal Company, Inc."	"74 Industrial Parkway, Jasper, AL 35501"		"229,033"	47	"139,716"
2008	103360	Kodiak Plant #1	Alabama	Shelby	Appalachia Southern	"Active, men working, not producing"	Underground	Contractor	Preparation Plant	Shelby Mining Co. Llc	"201 Tucker Rd., Suite 101, Helena, AL 35080"		0	10	"26,491"
2008	103366	Thompson Surface Mine	Alabama	Shelby	Appalachia Southern	"Active, men working, not producing"	Surface	Indepedent Producer Operator	Mine only	"Tacoa Minerals, Llc"	"1669 Mission Hills Road, Alabaster, AL 35007"		"19,314"	15	"11,672"
2008	103380	Calera	Alabama	Shelby	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Preparation Plant	Conrad Yelvington Dist.	"P.O. Box 11637, Daytona Beach, FL 32120"		0	6	"11,596"
2008	103380	Calera	Alabama	Shelby	Appalachia Southern	Active	Underground	Indepedent Producer Operator	Preparation Plant	Conrad Yelvington Dist.	"P.O. Box 11637, Daytona Beach, FL 32120"		0	5	"11,596"
2008	103381	Tacoa Highwall Miner	Alabama	Shelby	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Tacoa Minerals,llc"	"1669 Mission Hills Road, Alabaster, AL 35007"		"73,251"	27	"43,386"
2008	100563	Greenfuels Processing Plant	Alabama	Tuscaloosa	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Covol Fuels No 5 Llc	"P.O. Box 457, Brookwood, AL 35444"		0	9	"16,774"
2008	101247	No 4 Mine	Alabama	Tuscaloosa	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Jim Walter Resources Inc	"14730 Lock 17 Rd, Brookwood, AL 35444"	United Mine Workers of America	"3,187,772"	497	"1,182,649"
2008	101401	No 7 Mine	Alabama	Tuscaloosa	Appalachia Southern	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Jim Walter Resources Inc	"P.O. Box 133, Brookwood, AL 35444"	United Mine Workers of America	"2,851,619"	722	"1,725,139"
2008	103172	Searles Mine No. 2	Alabama	Tuscaloosa	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Southland Resources, Inc."	"P.O. Box 770, Cottondale, AL 35453"		"478,940"	82	"219,115"
2008	103179	Fleetwood Mine No 1	Alabama	Tuscaloosa	Appalachia Southern	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	Black Warrior Minerals Inc	"P.O. Box 1190, Sumiton, AL 35148"		"101,448"	16	"43,103"
2008	103196	East Brookwood Mine	Alabama	Tuscaloosa	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	Tuscaloosa Resources Inc	"3500 35th Avenue North, Birmingham, AL 35207"		"492,630"	66	"183,480"
2008	103260	Howton Mine	Alabama	Tuscaloosa	Appalachia Southern	Active	Surface	Indepedent Producer Operator	Mine only	"Tuscaloosa Resources, Inc."	"3500 35th Ave. North, Birmingham, AL 35207"		"271,919"	38	"101,569"
2008	103303	Shannon	Alabama	Tuscaloosa	Appalachia Southern	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Rock Mountain Mining-Div/Twin	"P.O. Box 621, Jasper, AL 35502"		"335,768"	55	"167,139"
