year	volume	product	region	series_id	units
2014	1000048758	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2013	984841779	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2012	1016458418	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2011	1095627536	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2010	1084368148	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2009	1074923392	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2008	1171808669	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2007	1146635345	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2006	1162749659	Coal	US	COAL.PRODUCTION.TOT-US-TOT.A	short tons
2014	16362945	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2013	18620017	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2012	19321139	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2011	19071050	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2010	19914940	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2009	18796190	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2008	20611379	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2007	19327303	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2006	18829862	Coal	AL	COAL.PRODUCTION.TOT-AL-TOT.A	short tons
2014	1501758	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2013	1631584	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2012	2052086	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2011	2148926	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2010	2151094	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2009	1860363	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2008	1477015	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2007	1323560	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2006	1425023	Coal	AK	COAL.PRODUCTION.TOT-AK-TOT.A	short tons
2014	8050607	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2013	7602722	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2012	7493276	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2011	8110942	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2010	7752277	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2009	7474029	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2008	8024973	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2007	7982584	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2006	8216255	Coal	AZ	COAL.PRODUCTION.TOT-AZ-TOT.A	short tons
2014	93989	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2013	58578	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2012	98121	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2011	133347	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2010	32301	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2009	4638	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2008	69181	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2007	82677	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2006	22752	Coal	AR	COAL.PRODUCTION.TOT-AR-TOT.A	short tons
2014	24007495	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2013	24236286	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2012	28566094	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2011	26889632	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2010	25162526	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2009	28267207	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2008	32028460	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2007	36383903	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2006	36321783	Coal	CO	COAL.PRODUCTION.TOT-CO-TOT.A	short tons
2014	57969300	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2013	52147193	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2012	48486048	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2011	37770397	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2010	33241392	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2009	33748428	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2008	32918044	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2007	32445245	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2006	32728800	Coal	IL	COAL.PRODUCTION.TOT-IL-TOT.A	short tons
2014	39266977	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2013	39101834	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2012	36720174	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2011	37425683	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2010	34949969	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2009	35655272	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2008	35893112	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2007	35003099	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2006	35119060	Coal	IN	COAL.PRODUCTION.TOT-IN-TOT.A	short tons
2014	66366	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2013	22150	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2012	15864	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2011	37257	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2010	132691	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2009	184812	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2008	229246	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2007	420436	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2006	425997	Coal	KS	COAL.PRODUCTION.TOT-KS-TOT.A	short tons
2014	77334723	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2013	80379779	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2012	90861804	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2011	108766150	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2010	104960118	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2009	107338054	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2008	120322708	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2007	115280302	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2006	120847953	Coal	KY	COAL.PRODUCTION.TOT-KY-TOT.A	short tons
2014	2604888	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2013	2809771	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2012	3971129	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
2011	3864700	Coal	LA	COAL.PRODUCTION.TOT-LA-TOT.A	short tons
