year	volume	product	region	series_id	units
2016	32647385	Natural Gas	US	NG.N9010US2.A	MMcf
2015	32894727	Natural Gas	US	NG.N9010US2.A	MMcf
2014	31405381	Natural Gas	US	NG.N9010US2.A	MMcf
2013	29522551	Natural Gas	US	NG.N9010US2.A	MMcf
2012	29542313	Natural Gas	US	NG.N9010US2.A	MMcf
2011	28479026	Natural Gas	US	NG.N9010US2.A	MMcf
2010	26816085	Natural Gas	US	NG.N9010US2.A	MMcf
2009	26056893	Natural Gas	US	NG.N9010US2.A	MMcf
2008	25636257	Natural Gas	US	NG.N9010US2.A	MMcf
2007	24663656	Natural Gas	US	NG.N9010US2.A	MMcf
2006	23535018	Natural Gas	US	NG.N9010US2.A	MMcf
2015	168249	Natural Gas	AL	NG.N9010AL2.A	MMcf
2014	181060	Natural Gas	AL	NG.N9010AL2.A	MMcf
2013	196326	Natural Gas	AL	NG.N9010AL2.A	MMcf
2012	215710	Natural Gas	AL	NG.N9010AL2.A	MMcf
2011	218574	Natural Gas	AL	NG.N9010AL2.A	MMcf
2010	240703	Natural Gas	AL	NG.N9010AL2.A	MMcf
2009	255965	Natural Gas	AL	NG.N9010AL2.A	MMcf
2008	277553	Natural Gas	AL	NG.N9010AL2.A	MMcf
2007	289618	Natural Gas	AL	NG.N9010AL2.A	MMcf
2006	306144	Natural Gas	AL	NG.N9010AL2.A	MMcf
2016	3229946	Natural Gas	AK	NG.N9010AK2.A	MMcf
2015	3175301	Natural Gas	AK	NG.N9010AK2.A	MMcf
2014	3168545	Natural Gas	AK	NG.N9010AK2.A	MMcf
2013	3215358	Natural Gas	AK	NG.N9010AK2.A	MMcf
2012	3164791	Natural Gas	AK	NG.N9010AK2.A	MMcf
2011	3162922	Natural Gas	AK	NG.N9010AK2.A	MMcf
2010	3197100	Natural Gas	AK	NG.N9010AK2.A	MMcf
2009	3312386	Natural Gas	AK	NG.N9010AK2.A	MMcf
2008	3415884	Natural Gas	AK	NG.N9010AK2.A	MMcf
2007	3479290	Natural Gas	AK	NG.N9010AK2.A	MMcf
2006	3205751	Natural Gas	AK	NG.N9010AK2.A	MMcf
2015	95	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2014	106	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2013	72	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2012	117	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2011	168	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2010	183	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2009	712	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2008	523	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2007	655	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2006	611	Natural Gas	AZ	NG.N9010AZ2.A	MMcf
2016	826917	Natural Gas	AR	NG.N9010AR2.A	MMcf
2015	1010274	Natural Gas	AR	NG.N9010AR2.A	MMcf
2014	1122733	Natural Gas	AR	NG.N9010AR2.A	MMcf
2013	1139654	Natural Gas	AR	NG.N9010AR2.A	MMcf
2012	1146168	Natural Gas	AR	NG.N9010AR2.A	MMcf
2011	1076757	Natural Gas	AR	NG.N9010AR2.A	MMcf
2010	927479	Natural Gas	AR	NG.N9010AR2.A	MMcf
2009	680613	Natural Gas	AR	NG.N9010AR2.A	MMcf
2008	447082	Natural Gas	AR	NG.N9010AR2.A	MMcf
2007	270414	Natural Gas	AR	NG.N9010AR2.A	MMcf
2006	270744	Natural Gas	AR	NG.N9010AR2.A	MMcf
2016	211451	Natural Gas	CA	NG.N9010CA2.A	MMcf
2015	231060	Natural Gas	CA	NG.N9010CA2.A	MMcf
2014	238988	Natural Gas	CA	NG.N9010CA2.A	MMcf
2013	252310	Natural Gas	CA	NG.N9010CA2.A	MMcf
2012	246822	Natural Gas	CA	NG.N9010CA2.A	MMcf
2011	279130	Natural Gas	CA	NG.N9010CA2.A	MMcf
2010	319891	Natural Gas	CA	NG.N9010CA2.A	MMcf
2009	306263	Natural Gas	CA	NG.N9010CA2.A	MMcf
2008	333019	Natural Gas	CA	NG.N9010CA2.A	MMcf
2007	339389	Natural Gas	CA	NG.N9010CA2.A	MMcf
