year	volume	product	region	series_id	units
2016	584744	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2015	552898	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2014	509954	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2013	458078	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2012	463278	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2011	480695	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2010	566628	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2009	570309	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2008	423326	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2007	467971	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2006	472078	Crude Oil	Gulf	PET.MCRFP3FM1.A	Mbbl
2016	6140	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2015	11445	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2014	18482	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2013	18559	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2012	17678	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2011	19817	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2010	21707	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2009	22306	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2008	24029	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2007	24624	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
2006	25987	Crude Oil	Pacific	PET.MCRFP5F1.A	Mbbl
