year	volume	product	region	series_id	units
2016	3248117	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2015	3436515	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2014	3198694	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2013	2725665	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2012	2374136	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2011	2060744	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2010	1998452	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2009	1953858	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2008	1829985	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2007	1852990	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2006	1856340	Crude Oil	US	PET.MCRFPUS1.A	Mbbl
2016	8258	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2015	9696	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2014	9827	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2013	10402	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2012	9525	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2011	8373	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2010	7155	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2009	7189	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2008	7696	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2007	7171	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2006	7539	Crude Oil	AL	PET.MCRFPAL1.A	Mbbl
2016	179170	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2015	176241	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2014	181175	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2013	187954	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2012	192368	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2011	204829	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2010	218904	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2009	235491	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2008	249874	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2007	263595	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2006	270481	Crude Oil	AK	PET.MCRFPAK1.A	Mbbl
2016	8	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2015	37	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2014	56	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2013	60	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2012	52	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2011	37	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2010	40	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2009	46	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2008	52	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2007	43	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2006	55	Crude Oil	AZ	PET.MCRFPAZ1.A	Mbbl
2016	5390	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2015	6165	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2014	6845	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2013	6640	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2012	6536	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2011	5877	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2010	5733	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2009	5755	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2008	6079	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2007	6031	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2006	5948	Crude Oil	AR	PET.MCRFPAR1.A	Mbbl
2016	187565	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2015	201284	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2014	204699	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2013	199197	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2012	197346	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2011	196172	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2010	200370	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2009	207262	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2008	214533	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2007	218518	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2006	223015	Crude Oil	CA	PET.MCRFPCA1.A	Mbbl
2016	115359	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2015	126232	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2014	95787	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2013	65426	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2012	49572	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2011	39460	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2010	32982	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2009	30368	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2008	29941	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2007	26194	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2006	24501	Crude Oil	CO	PET.MCRFPCO1.A	Mbbl
2016	1934	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2015	2208	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2014	2227	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2013	2174	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2012	2135	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2011	2023	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2010	1777	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2009	696	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2008	1953	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2007	2078	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2006	2360	Crude Oil	FL	PET.MCRFPFL1.A	Mbbl
2016	8635	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2015	9522	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2014	9547	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2013	9539	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2012	9733	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2011	9158	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2010	9067	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2009	9099	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2008	9430	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2007	9609	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2006	10324	Crude Oil	IL	PET.MCRFPIL1.A	Mbbl
2016	1817	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2015	2219	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2014	2507	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2013	2399	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2012	2350	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2011	1987	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2010	1835	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2009	1803	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2008	1859	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2007	1727	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2006	1773	Crude Oil	IN	PET.MCRFPIN1.A	Mbbl
2016	37063	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2015	45481	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2014	49505	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2013	46845	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2012	43743	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2011	41507	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2010	40468	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2009	39466	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2008	39663	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2007	36590	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2006	35668	Crude Oil	KS	PET.MCRFPKS1.A	Mbbl
2016	2595	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2015	2862	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2014	3376	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2013	2893	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2012	3198	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2011	2326	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2010	2519	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2009	2609	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2008	2645	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2007	2666	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2006	2340	Crude Oil	KY	PET.MCRFPKY1.A	Mbbl
2016	56884	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
2015	62881	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
2014	68777	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
2013	71926	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
2012	70641	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
2011	68965	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
2010	67273	Crude Oil	LA	PET.MCRFPLA1.A	Mbbl
