year	volume	product	region	units	series_id
2015	190927.0091	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2014	181655.2818	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2013	167839.74544000003	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2012	140821.70287000004	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2011	120176.59863	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2010	94652.24607999998	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2009	73886.13171000002	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2008	55363.10007	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2007	34449.92739999999	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2006	26589.13699	Wind	US	MMWh	ELEC.GEN.WND-US-99.A
2015	158.23455999999996	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2014	151.95700000000002	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2013	145.289	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2012	37.39262	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2011	12.446	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2010	12.607	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2009	7.026999999999999	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2008	0.068	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2007	1.012	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2006	0.788	Wind	AK	MMWh	ELEC.GEN.WND-AK-99.A
2015	445.4528	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2014	468.115	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2013	449.764	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2012	531.6399	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2011	255.57899999999998	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2010	134.916	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2009	29.544999999999998	Wind	AZ	MMWh	ELEC.GEN.WND-AZ-99.A
2015	12228.41436	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2014	12992.49758	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2013	12822.06043	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2012	9754.22967	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2011	7751.8369999999995	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2010	6078.6320000000005	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2009	5839.81324	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2008	5384.954889999999	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2007	5584.933349999998	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2006	4882.801	Wind	CA	MMWh	ELEC.GEN.WND-CA-99.A
2015	7441.36447	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2014	7368.6140000000005	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2013	7203.72019	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2012	5968.6432700000005	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2011	5200.321830000001	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2010	3451.8510000000006	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2009	3163.8358900000003	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2008	3220.8432700000003	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2007	1291.51612	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2006	865.536	Wind	CO	MMWh	ELEC.GEN.WND-CO-99.A
2015		Wind	DE	MMWh	ELEC.GEN.WND-DE-99.A
2014	5.051	Wind	DE	MMWh	ELEC.GEN.WND-DE-99.A
2013	4.458	Wind	DE	MMWh	ELEC.GEN.WND-DE-99.A
2012	3.638	Wind	DE	MMWh	ELEC.GEN.WND-DE-99.A
2011	4.824999999999999	Wind	DE	MMWh	ELEC.GEN.WND-DE-99.A
2010	2.5559999999999996	Wind	DE	MMWh	ELEC.GEN.WND-DE-99.A
2015	601.30987	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2014	578.617	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2013	503.31	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2012	378.234	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2011	340.812	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2010	261.12	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2009	251.42700000000002	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2008	240.023	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2007	238.184	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2006	79.67399999999999	Wind	HI	MMWh	ELEC.GEN.WND-HI-99.A
2015	2456.58708	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2014	2805.8	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2013	2460.1310000000003	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2012	1890.55902	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2011	1306.6819999999998	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2010	440.746	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2009	313.41799999999995	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2008	207.472	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2007	172.267	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2006	169.617	Wind	ID	MMWh	ELEC.GEN.WND-ID-99.A
2015	10732.568879999999	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2014	10082.894	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2013	9625.229000000001	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2012	7726.80969	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2011	6213.1320000000005	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2010	4453.63401	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2009	2819.53218	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2008	2336.99569	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2007	664.4269999999999	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2006	254.571	Wind	IL	MMWh	ELEC.GEN.WND-IL-99.A
2015	4515.974479999999	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2014	3496.04169	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2013	3481.0930000000003	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2012	3210.104	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2011	3285.4110000000005	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2010	2934.0426199999997	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2009	1403.19155	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2008	238.35556	Wind	IN	MMWh	ELEC.GEN.WND-IN-99.A
2015	17877.69881	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2014	16306.75453	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2013	15568.40641	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2012	14032.490629999998	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2011	10709.176909999998	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2010	9170.3372	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2009	7420.51961	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2008	4083.787	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2007	2756.676	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2006	2317.8210000000004	Wind	IA	MMWh	ELEC.GEN.WND-IA-99.A
2015	10926.858079999998	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2014	10844.860999999999	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2013	9433.196	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2012	5195.30635	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2011	3719.9790000000003	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2010	3405.06456	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2009	2863.26655	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2008	1759.41189	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2007	1152.538	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2006	991.89	Wind	KS	MMWh	ELEC.GEN.WND-KS-99.A
2015	1272.6132999999998	Wind	ME	MMWh	ELEC.GEN.WND-ME-99.A
