Company	Revenue Type	Commodity	Revenue
A.U. MINES INC	BLM - Permit Fees	Locatable Minerals	$129,735
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	N/A	$436
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	$23,594
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	$15,056
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	$1,644,183
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$1,840
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	$28,920
AERA ENERGY LLC	ONRR - Other Revenues	N/A	-$1
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$3,243
AERA ENERGY LLC	ONRR - Royalties	Gas	$25,937
AERA ENERGY LLC	ONRR - Royalties	Oil	$10,965,993
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$7,319
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	$95,220
AETHON ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$33,246
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Gas	$2,857,917
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Oil	$1,070,357
AETHON ENERGY OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$126,390
AETHON ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	$73,320
AGC SODA CORP	ONRR - Royalties	Other Commodities	Withheld
AGNICO-EAGLE USA LTD	BLM - Permit Fees	Locatable Minerals	$119,195
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	$1,295,908
ALLEN & KIRMSE LTD	BLM - Permit Fees	Oil & Gas	$480
ALLEN & KIRMSE LTD	ONRR/BLM - Bonus	Oil & Gas	$4,279,416
ALLEN & KIRMSE LTD	ONRR/BLM - Rents	Oil & Gas	$52,128
ALLIANCE RESOURCE PARTNERS LP	OSMRE - AML Fees including Audits and Late Charges	Coal	$4,200,783
ALPHA NATURAL RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$11,173,201
ALPHA NATURAL RESOURCES INC	BLM - Permit Fees	Coal	$1,044
ALTA MESA SERVICES LP	ONRR - Other Revenues	Oil & Gas	$220
ALTA MESA SERVICES LP	ONRR - Royalties	Gas	$83,890
ALTA MESA SERVICES LP	ONRR - Royalties	Oil	$60,198
ALTA MESA SERVICES LP	ONRR/BLM - Rents	Oil & Gas	$52,547
ALTA MESA SERVICES LP	BLM - Permit Fees	Oil & Gas	$9,450
ALTERNATIVE EARTH RESOURCES INC	ONRR - Royalties	Geothermal	$133,997
ALTERNATIVE EARTH RESOURCES INC	ONRR/BLM - Rents	Geothermal	$21,101
ALTON COAL DEVELOPMENT LLC	BLM - Permit Fees	Coal	$250
ALTON COAL DEVELOPMENT LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	$124,295
ALYESKA PIPELINE SERVICE CO	BLM - Permit Fees	Mineral Materials	$191,995
AMERICAN COLLOID CO	BLM - Permit Fees	Locatable Minerals	$683,780
AMERICAN GENERAL ENERGY EXPLORATION	BLM - Permit Fees	Oil & Gas	$7,380
AMERICAN GENERAL ENERGY EXPLORATION	ONRR/BLM - Rents	Oil & Gas	$120,197
AMERICAN GILSONITE CO	ONRR - Other Revenues	Gilsonite	$5,418
AMERICAN GILSONITE CO	ONRR - Royalties	Other Commodities	Withheld
AMERICAN GILSONITE CO	ONRR/BLM - Rents	Gilsonite	$1,309
AMERICAN GILSONITE CO	BLM - Permit Fees	Gilsonite	$180
AMERIKOHL MINING INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$110,422
ANADARKO PETROLEUM CORP	ONRR - Inspection Fees	Oil & Gas	$1,686,000
ANADARKO PETROLEUM CORP	ONRR - Other Revenues	N/A	$1,326
ANADARKO PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	-$890,033
ANADARKO PETROLEUM CORP	ONRR - Royalties	Gas	$34,160,789
ANADARKO PETROLEUM CORP	ONRR - Royalties	Oil	$71,347,412
ANADARKO PETROLEUM CORP	ONRR/BLM - Bonus	Oil & Gas	$1,575,000
ANADARKO PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$11,158,566
ANADARKO PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	$16,560
ANFIELD RESOURCES INC	BLM - Permit Fees	Locatable Minerals	$255,595
ANKOR ENERGY LLC	ONRR - Inspection Fees	Oil & Gas	$503,000
ANKOR ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$225,457
ANKOR ENERGY LLC	ONRR - Royalties	Gas	$2,494,552
ANKOR ENERGY LLC	ONRR - Royalties	Oil	$12,375,713
ANKOR ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$450
ANOVA METALS USA LLC	BLM - Permit Fees	Locatable Minerals	$108,810
ANTELOPE ENERGY CO LLC	ONRR/BLM - Bonus	Oil & Gas	$1,213,873
ANTELOPE ENERGY CO LLC	ONRR/BLM - Rents	Oil & Gas	$50,437
APACHE CORP	ONRR - Inspection Fees	Oil & Gas	$30,500
APACHE CORP	ONRR - Other Revenues	Oil & Gas	$1,327,927
APACHE CORP	ONRR - Royalties	Gas	$8,764,935
APACHE CORP	ONRR - Royalties	Oil	$35,938,192
APACHE CORP	ONRR/BLM - Rents	Oil & Gas	$4,518
APACHE CORP	BLM - Permit Fees	Oil & Gas	$153,280
APEX ENERGY INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$128,695
APEX OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	$910
APEX OIL & GAS INC	ONRR - Royalties	Gas	$339,850
APEX OIL & GAS INC	ONRR - Royalties	Oil	$2,218
APEX OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	$1,713
ARCADIA OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$112
ARCADIA OPERATING LLC	ONRR - Royalties	Oil	$108,990
ARCH COAL INC	ONRR - Other Revenues	Coal	$231
ARCH COAL INC	ONRR - Other Revenues	N/A	-$5
ARCH COAL INC	ONRR - Royalties	Coal	$107,197,004
ARCH COAL INC	ONRR/BLM - Bonus	Coal	$60,000,202
ARCH COAL INC	ONRR/BLM - Rents	Coal	$201,130
ARCH COAL INC	ONRR/BLM - Rents	Oil & Gas	$37,590
ARCH COAL INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$24,425,320
ARENA ENERGY	ONRR - Civil Penalties	N/A	$80,000
ARENA ENERGY	ONRR - Inspection Fees	Oil & Gas	$2,417,500
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	$588,870
ARENA ENERGY	ONRR - Royalties	Gas	$8,000,256
ARENA ENERGY	ONRR - Royalties	Oil	$44,013,209
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	$217,000
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	$809,875
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Other Revenues	Oil & Gas	$3,606
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Royalties	Oil	$115,384
ARGENT ENERGY (US) HOLDINGS INC	ONRR/BLM - Rents	Oil & Gas	$343
ARIZONA LITHIUM CO LTD	BLM - Permit Fees	Locatable Minerals	$141,146
ARIZONA MINERALS INC	BLM - Permit Fees	Locatable Minerals	$190,133
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	$1,938,373
