Company	Revenue Type	Commodity	Revenue		
0862130 CORP	BLM - Permit Fees	Locatable Minerals	$178,046.00 		
3PL OPERATING, INC.	BLM - Permit Fees	Locatable Minerals	$1,037,181.00 		
A1 LITHIUM INC	BLM - Permit Fees	Locatable Minerals	$187,142.00 		
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	$28,830.00 		
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	$44,077.25 		
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	$445,822.29 		
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	$1,396,882.18 		
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$1,360.00 		
ADAM STELLAR - COEUR MINING	BLM - Permit Fees	Locatable Minerals	$194,990.00 		
ADAMERA MINERALS LLC	BLM - Permit Fees	Locatable Minerals	$127,116.26 		
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	$298,290.00 		
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$10,475.31 		
AERA ENERGY LLC	ONRR - Royalties	Gas	$28,743.03 		
AERA ENERGY LLC	ONRR - Royalties	Oil	$12,937,933.56 		
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$5,051.05 		
AETHON ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	$78,934.00 		
AETHON ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	$201,583.17 		
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Gas	$4,446,253.59 		
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Oil	$1,114,726.11 		
AETHON ENERGY OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	$151,183.40 		
AGC SODA CORP	ONRR - Royalties	Other Commodities	Withheld		
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	$304,124.00 		
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	($479.33)		
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	$1,204,621.62 		
ALLIANCE RESOURCE PARTNERS LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$4,431,123.95 		
ALPHA NATURAL RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$2,341,697.45 		
ALTA MESA SERVICES LP	ONRR - Other Revenues	Oil & Gas	$64,094.40 		
ALTA MESA SERVICES LP	ONRR - Royalties	Gas	$391,306.11 		
ALTA MESA SERVICES LP	ONRR - Royalties	Oil	$84,136.00 		
ALTA MESA SERVICES LP	ONRR/BLM - Bonus	Oil & Gas	$320.00 		
ALTA MESA SERVICES LP	ONRR/BLM - Rents	Oil & Gas	$40,006.00 		
ALTERNATIVE EARTH RESOURCES INC	ONRR - Royalties	Geothermal	$142,239.08 		
ALTERNATIVE EARTH RESOURCES INC	ONRR/BLM - Rents	Geothermal	$21,101.00 		
