Company	Revenue Type	Commodity	Revenue
0862130 CORP	BLM - Permit Fees	Locatable Minerals	178046
"3PL OPERATING, INC."	BLM - Permit Fees	Locatable Minerals	1037181
A1 LITHIUM INC	BLM - Permit Fees	Locatable Minerals	187142
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	28830
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	44077.25
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	445822.29
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	1396882.18
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	1360
ADAM STELLAR - COEUR MINING	BLM - Permit Fees	Locatable Minerals	194990
ADAMERA MINERALS LLC	BLM - Permit Fees	Locatable Minerals	127116.26
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	298290
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	10475.31
AERA ENERGY LLC	ONRR - Royalties	Gas	28743.03
AERA ENERGY LLC	ONRR - Royalties	Oil	12937933.56
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	5051.05
AETHON ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	78934
AETHON ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	201583.17
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Gas	4446253.59
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Oil	1114726.11
AETHON ENERGY OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	151183.4
AGC SODA CORP	ONRR - Royalties	Other Commodities	Withheld
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	304124
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	-479.33
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	1204621.62
ALLIANCE RESOURCE PARTNERS LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	4431123.95
ALPHA NATURAL RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	2341697.45
ALTA MESA SERVICES LP	ONRR - Other Revenues	Oil & Gas	64094.4
ALTA MESA SERVICES LP	ONRR - Royalties	Gas	391306.11
ALTA MESA SERVICES LP	ONRR - Royalties	Oil	84136
ALTA MESA SERVICES LP	ONRR/BLM - Bonus	Oil & Gas	320
ALTA MESA SERVICES LP	ONRR/BLM - Rents	Oil & Gas	40006
ALTERNATIVE EARTH RESOURCES INC	ONRR - Royalties	Geothermal	142239.08
ALTERNATIVE EARTH RESOURCES INC	ONRR/BLM - Rents	Geothermal	21101
ALTON COAL DEVELOPMENT LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	212883.64
ALYESKA PIPELINE SERVICE COMPANY	BLM - Permit Fees	Mineral Materials	133302.96
AMERICAN COLLOID CO	BLM - Permit Fees	Locatable Minerals	679365
AMERICAN GILSONITE COMPANY	ONRR - Other Revenues	Gilsonite	8598
AMERICAN GILSONITE COMPANY	ONRR - Royalties	Other Commodities	1057961.09
AMERICAN GILSONITE COMPANY	ONRR/BLM - Rents	Gilsonite	1840
