Company	Revenue Type	Commodity	Revenue
A & G COAL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	174392
A.U. MINES INC	BLM - Permit Fees	Locatable Minerals	129735
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	360
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	N/A	3593
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	-22219
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	109248
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	2634742
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	5680
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	223500
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	31
AERA ENERGY LLC	ONRR - Royalties	Gas	42418
AERA ENERGY LLC	ONRR - Royalties	Oil	15935883
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	6785
AETHON ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	36120
AETHON ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	4773
AETHON ENERGY OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	89656
AGC SODA CORP	ONRR - Royalties	Other Commodities	Withheld
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	168020
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	835
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	2001010
ALLEN & KIRMSE LTD	BLM - Permit Fees	Oil & Gas	3000
ALLEN & KIRMSE LTD	ONRR/BLM - Bonus	Oil & Gas	283778
ALLEN & KIRMSE LTD	ONRR/BLM - Rents	Oil & Gas	19679
ALLIANCE RESOURCE PARTNERS LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	5120365
ALPHA NATURAL RESOURCES INC	BLM - Permit Fees	Coal	130
ALPHA NATURAL RESOURCES INC	BLM - Permit Fees	Mineral Materials	93389
ALPHA NATURAL RESOURCES INC	ONRR - Royalties	Coal	26797927
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Bonus	Coal	42129612
ALPHA NATURAL RESOURCES INC	ONRR/BLM - Rents	Coal	47388
ALPHA NATURAL RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	17459344
ALTA MESA SERVICES LP	ONRR - Royalties	Gas	59269
ALTA MESA SERVICES LP	ONRR - Royalties	Oil	59763
ALTA MESA SERVICES LP	ONRR/BLM - Rents	Oil & Gas	19170
ALTERNATIVE EARTH RESOURCES INC	ONRR - Other Revenues	N/A	130
ALTERNATIVE EARTH RESOURCES INC	ONRR - Royalties	Geothermal	136229
ALTERNATIVE EARTH RESOURCES INC	ONRR/BLM - Rents	Geothermal	21741
ALTON COAL DEVELOPMENT LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	128238
AMERICAN COLLOID CO	BLM - Permit Fees	Locatable Minerals	678949
AMERICAN ENERGY CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	648003
AMERICAN ENERGY-WOODFORD	BLM - Permit Fees	Oil & Gas	155
