State	County	Year	Volume	Commodity	Product
AK	Yukon-Koyukuk County	2004	1511787		Coal (short tons)
AK	Yukon-Koyukuk County	2005	1454014		Coal (short tons)
AK	Yukon-Koyukuk County	2006	1425023		Coal (short tons)
AK	Yukon-Koyukuk County	2007	1323560		Coal (short tons)
AK	Yukon-Koyukuk County	2008	1477015		Coal (short tons)
AK	Yukon-Koyukuk County	2009	1860363		Coal (short tons)
AK	Yukon-Koyukuk County	2010	2151094		Coal (short tons)
AK	Yukon-Koyukuk County	2011	2148926		Coal (short tons)
AK	Yukon-Koyukuk County	2012	2052086		Coal (short tons)
AK	Fairbanks North Star County	2013	1631584		Coal (short tons)
