Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas (mcf)	Royalties	359139.39
2004	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	36816022.75
2004	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	3256192.4
2004	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	209355.36
2004	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	2961.31
2005	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas (mcf)	Royalties	70338.24
2005	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	31389635.16
2005	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	2348392
2005	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	223886.32
2005	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	0.01
2006	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas (mcf)	Royalties	187205.53
2006	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	29284926.71
2006	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	745260.89
2006	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	226333.35
2006	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	0.01
2007	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas (mcf)	Royalties	138141.03
2007	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	24532966.41
2007	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	213341.73
2007	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	184132.16
2007	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	0.01
2008	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas (mcf)	Royalties	117641.59
2008	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	22218464.8
2008	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	227456.03
2008	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	152275.53
2008	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	4321.21
2009	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas (mcf)	Royalties	97052.36
2009	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	20004795.06
2009	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	6408
2009	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	137340.53
2009	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	1633.99
2010	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	18094497.83
2010	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products (gal)	Royalties	3984
2010	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	160911.25
2010	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	0.01
2011	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	15187923.53
2011	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	163238.2
2011	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	0.01
2012	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	15465527.57
2012	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	211959.9
2012	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	0.01
2013	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	11481897.21
2013	AK	Kenai Peninsula Borough	02122	Oil	Oil (bbl)	Royalties	594128.39
2013	AK	North Slope Borough	02185	Oil	Oil (bbl)	Royalties	1235.53
