Year	State	County	FIPS	Volume
2009	AK	North Slope Borough	02185	2
2013	AK	North Slope Borough	02185	1
2008	AK	North Slope Borough	02185	2
2014	AK	North Slope Borough	02185	1
2009	AK	Kenai Peninsula Borough	02122	2
2008	AK	Kenai Peninsula Borough	02122	2
2010	AK	Kenai Peninsula Borough	02122	2
2011	AK	Kenai Peninsula Borough	02122	2
2007	AK	Kenai Peninsula Borough	02122	2
2012	AK	Kenai Peninsula Borough	02122	2
2006	AK	Kenai Peninsula Borough	02122	2
2005	AK	Kenai Peninsula Borough	02122	2
2014	AK	Kenai Peninsula Borough	02122	2
2013	AK	Kenai Peninsula Borough	02122	2
