Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	AK	Bristol Bay Borough	02060	Oil & Gas		Bonus	-1851000
2004	AK	Bristol Bay Borough	02185	Oil & Gas		Rents	213831
2004	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	275984.9
2004	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	7942.54
2004	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas	Royalties	159656.28
2004	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	10468685.88
2004	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	371339.82
2004	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	944070.81
2004	AK	North Slope Borough	02185	Oil & Gas		Bonus	55755491
2004	AK	North Slope Borough	02185	Coal		Rents	2560
2004	AK	North Slope Borough	02185	Oil & Gas		Rents	8672697
2005	AK	Bristol Bay Borough	02185	Oil & Gas		Rents	7680
2005	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	118179.47
2005	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	7907.12
2005	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas	Royalties	-38044.28
2005	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	11852202.75
2005	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	337028.07
2005	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	1440869.2
2005	AK	North Slope Borough	02185	Coal		Rents	7680
2005	AK	North Slope Borough	02185	Oil & Gas		Rents	8958577
2006	AK	Bristol Bay Borough	02185	Oil & Gas		Rents	5120
2006	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	52129.95
2006	AK	Kenai Peninsula Borough	02122	Oil	Oil	Other Revenues	-11.6
2006	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	5517.41
2006	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas	Royalties	97491.99
2006	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	14076454.61
2006	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	139228.34
2006	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	1810092.43
2006	AK	North Slope Borough	02185	Coal		Rents	5120
2006	AK	North Slope Borough	02185	Oil & Gas		Rents	8956162
2007	AK	Bristol Bay Borough	02185	Oil & Gas		Rents	5120
2007	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	86770.86
2007	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	18476.04
2007	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas	Royalties	86545.3
2007	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	15413944.52
2007	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	34629.51
2007	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	1587414.5
2007	AK	North Slope Borough	02185	Oil & Gas		Bonus	13763715
2007	AK	North Slope Borough	02185	Coal		Rents	5120
2007	AK	North Slope Borough	02185	Oil & Gas		Rents	11243870
2008	AK	Bristol Bay Borough	02185	Oil & Gas		Rents	26150
2008	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	48867.82
2008	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	10142.55
2008	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas	Royalties	47702.5
2008	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	14690241.72
2008	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	40379.74
2008	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	1981467.17
2008	AK	North Slope Borough	02185	Coal		Rents	5120
2008	AK	North Slope Borough	02185	Oil & Gas		Rents	11882937
2008	AK	North Slope Borough	02185	Oil	Oil	Royalties	79698.34
2009	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	-189818.03
2009	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	-8355.84
2009	AK	Kenai Peninsula Borough	02122	Gas	Processed (Residue) Gas	Royalties	111564.42
2009	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	18742280.49
2009	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	3850.75
2009	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	950186.26
2009	AK	North Slope Borough	02185	Oil & Gas		Bonus	21411357
2009	AK	North Slope Borough	02185	Oil & Gas		Other Revenues	142880
2009	AK	North Slope Borough	02185	Oil & Gas		Rents	10516572
2009	AK	North Slope Borough	02185	Oil	Oil	Royalties	11178.08
2010	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	1479502.32
2010	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	4687.3
2010	AK	Kenai Peninsula Borough	02122	Gas	Unprocessed (Wet) Gas	Royalties	12672380.86
2010	AK	Kenai Peninsula Borough	02122	NGL	Gas Plant Products	Royalties	529.03
2010	AK	Kenai Peninsula Borough	02122	Oil	Oil	Royalties	1523279.95
2010	AK	North Slope Borough	02185	Oil & Gas		Bonus	23381.92
2010	AK	North Slope Borough	02185	Oil & Gas		Other Revenues	98535
2010	AK	North Slope Borough	02185	Oil & Gas		Rents	6910419.14
2010	AK	North Slope Borough	02185	Oil	Oil	Royalties	244483.88
2011	AK	Kenai Peninsula Borough	02122	Oil & Gas		Other Revenues	-1332591.07
2011	AK	Kenai Peninsula Borough	02122	Oil & Gas		Rents	6695.88
2011	AK	Kenai Peninsula Borough	02122	Gas	Coal Bed Methane	Royalties	197.32
