State	County	Year	Volume	Commodity	Product
AL	Cullman	2004	364367		Coal (short tons)
AL	Franklin	2004	68020		Coal (short tons)
AL	Jackson	2004	1738		Coal (short tons)
AL	Jefferson	2004	71608		Coal (short tons)
AL	Marion	2004	3537		Coal (short tons)
AL	Shelby	2004	101120		Coal (short tons)
AL	Tuscaloosa	2004	12383		Coal (short tons)
AL	Walker	2004	31653		Coal (short tons)
AL	Winston	2004	76296		Coal (short tons)
AL	Bibb	2005	57800		Coal (short tons)
AL	Cullman	2005	91813		Coal (short tons)
AL	Franklin	2005	84268		Coal (short tons)
AL	Jackson	2005	25270		Coal (short tons)
AL	Jefferson	2005	167557		Coal (short tons)
AL	Marion	2005	26414		Coal (short tons)
AL	Shelby	2005	102483		Coal (short tons)
AL	Tuscaloosa	2005	194122		Coal (short tons)
AL	Walker	2005	88765		Coal (short tons)
AL	Winston	2005	133024		Coal (short tons)
AL	Bibb	2006	18519		Coal (short tons)
AL	Cullman	2006	633860		Coal (short tons)
AL	Franklin	2006	189984		Coal (short tons)
AL	Jackson	2006	47819		Coal (short tons)
AL	Jefferson	2006	19000		Coal (short tons)
AL	Marion	2006	120313		Coal (short tons)
AL	Shelby	2006	59229		Coal (short tons)
AL	Tuscaloosa	2006	31593		Coal (short tons)
AL	Walker	2006	78255		Coal (short tons)
AL	Winston	2006	318594		Coal (short tons)
AL	Bibb	2007	32670		Coal (short tons)
AL	Cullman	2007	502596		Coal (short tons)
AL	Franklin	2007	152591		Coal (short tons)
AL	Jackson	2007	19169		Coal (short tons)
AL	Jefferson	2007	21450		Coal (short tons)
AL	Marion	2007	49510		Coal (short tons)
AL	Shelby	2007	58266		Coal (short tons)
AL	Walker	2007	3000		Coal (short tons)
AL	Winston	2007	168844		Coal (short tons)
AL	Bibb	2008	105082		Coal (short tons)
AL	Cullman	2008	143208		Coal (short tons)
AL	Fayette	2008	2923261		Coal (short tons)
AL	Franklin	2008	113875		Coal (short tons)
AL	Jackson	2008	28819		Coal (short tons)
AL	Jefferson	2008	55398		Coal (short tons)
AL	Marion	2008	49581		Coal (short tons)
AL	Shelby	2008	73251		Coal (short tons)
AL	Walker	2008	12567		Coal (short tons)
AL	Winston	2008	238353		Coal (short tons)
AL	Cullman	2009	110505		Coal (short tons)
AL	Fayette	2009	2706161		Coal (short tons)
AL	Franklin	2009	62874		Coal (short tons)
AL	Jackson	2009	73622		Coal (short tons)
AL	Jefferson	2009	97067		Coal (short tons)
AL	Marion	2009	167286		Coal (short tons)
AL	Shelby	2009	60657		Coal (short tons)
AL	Tuscaloosa	2009	73533		Coal (short tons)
AL	Walker	2009	162904		Coal (short tons)
AL	Winston	2009	171627		Coal (short tons)
AL	Bibb	2010	127564		Coal (short tons)
AL	Blount	2010	148994		Coal (short tons)
AL	Cullman	2010	69035		Coal (short tons)
AL	Fayette	2010	3037170		Coal (short tons)
AL	Franklin	2010	70229		Coal (short tons)
AL	Jackson	2010	33623		Coal (short tons)
AL	Jefferson	2010	94209		Coal (short tons)
AL	Marion	2010	79174		Coal (short tons)
AL	Shelby	2010	12819		Coal (short tons)
AL	Tuscaloosa	2010	205130		Coal (short tons)
AL	Walker	2010	75064		Coal (short tons)
AL	Winston	2010	227336		Coal (short tons)
AL	Bibb	2011	168399		Coal (short tons)
AL	Blount	2011	5835		Coal (short tons)
AL	Fayette	2011	2707383		Coal (short tons)
AL	Franklin	2011	116900		Coal (short tons)
AL	Jackson	2011	9829		Coal (short tons)
AL	Jefferson	2011	44804		Coal (short tons)
AL	Marion	2011	119240		Coal (short tons)
AL	Shelby	2011	66264		Coal (short tons)
AL	Tuscaloosa	2011	204381		Coal (short tons)
AL	Walker	2011	112044		Coal (short tons)
AL	Winston	2011	248368		Coal (short tons)
AL	Bibb	2012	116534		Coal (short tons)
AL	Blount	2012	215214		Coal (short tons)
AL	Fayette	2012	2249233		Coal (short tons)
AL	Franklin	2012	8179		Coal (short tons)
AL	Jackson	2012	83634		Coal (short tons)
AL	Jefferson	2012	117128		Coal (short tons)
AL	Marion	2012	104852		Coal (short tons)
AL	Shelby	2012	20294		Coal (short tons)
AL	Tuscaloosa	2012	360949		Coal (short tons)
AL	Walker	2012	53404		Coal (short tons)
AL	Winston	2012	254088		Coal (short tons)
AL	Bibb	2013	56004		Coal (short tons)
AL	Blount	2013	28807		Coal (short tons)
AL	Fayette	2013	1440115		Coal (short tons)
AL	Franklin	2013	147499		Coal (short tons)
AL	Jackson	2013	69339		Coal (short tons)
AL	Jefferson	2013	145924		Coal (short tons)
AL	Shelby	2013	59664		Coal (short tons)
AL	Tuscaloosa	2013	137511		Coal (short tons)
AL	Walker	2013	25054		Coal (short tons)
AL	Winston	2013	284563		Coal (short tons)
