Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	AL	Baldwin	01003	Gas	Processed (Residue) Gas (mcf)	Royalties	32021.1
2004	AL	Baldwin	01003	NGL	Gas Plant Products (gal)	Royalties	1.53
2004	AL	Baldwin	01003	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	654.57
2004	AL	Baldwin	01003	Sulfur	Sulfur (lton)	Royalties	63.95
2004	AL	Bibb	01007	Clay	Clay (ton)	Royalties	36709
2004	AL	Covington	01039	Oil	Oil (bbl)	Royalties	229228.1
2004	AL	Escambia	01053	Oil	Oil (bbl)	Royalties	22690.33
2004	AL	Fayette	01057	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3313.66
2004	AL	Jefferson	01073	Coal	Coal (ton)	Royalties	829
2004	AL	Lamar	01075	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	5982
2004	AL	Lamar	01075	Oil	Oil (bbl)	Royalties	1677.08
2004	AL	Mobile	01097	Gas	Fuel Gas (mcf)	Royalties	-0.01
2004	AL	Mobile	01097	Gas	Processed (Residue) Gas (mcf)	Royalties	79540.88
2004	AL	Mobile	01097	NGL	Gas Plant Products (gal)	Royalties	3.81
2004	AL	Mobile	01097	Oil	Oil (bbl)	Royalties	5389.24
2004	AL	Mobile	01097	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	1704.36
2004	AL	Mobile	01097	Sulfur	Sulfur (lton)	Royalties	158.85
2004	AL	Mobile/Water	01297	Gas	Processed (Residue) Gas (mcf)	Royalties	2702.08
2004	AL	Mobile/Water	01297	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	0.01
2004	AL	Mobile/Water	01297	NGL	Gas Plant Products (gal)	Royalties	0.58
2004	AL	Mobile/Water	01297	Oil	Condensate (bbl)	Royalties	0.46
2004	AL	Mobile/Water	01297	Sulfur	Sulfur (lton)	Royalties	1.07
2004	AL	Tuscaloosa	01125	Gas	Coal Bed Methane (mcf)	Royalties	124495.76
2004	AL	Tuscaloosa	01125	Gas	Processed (Residue) Gas (mcf)	Royalties	73142.2
2004	AL	Tuscaloosa	01125	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	735891.13
2005	AL	Baldwin	01003	Gas	Processed (Residue) Gas (mcf)	Royalties	14612.42
2005	AL	Baldwin	01003	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	298.06
2005	AL	Baldwin	01003	Sulfur	Sulfur (lton)	Royalties	30.99
2005	AL	Bibb	01007	Clay	Clay (ton)	Royalties	45640
2005	AL	Covington	01039	Oil	Oil (bbl)	Royalties	167340.48
2005	AL	Escambia	01053	Oil	Oil (bbl)	Royalties	21726.64
2005	AL	Fayette	01057	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	7257.37
2005	AL	Lamar	01075	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6893.14
2005	AL	Lamar	01075	Oil	Oil (bbl)	Royalties	1481.39
2005	AL	Mobile	01097	Gas	Processed (Residue) Gas (mcf)	Royalties	123066.08
2005	AL	Mobile	01097	Oil	Oil (bbl)	Royalties	4563.48
2005	AL	Mobile	01097	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	891.53
2005	AL	Mobile	01097	Sulfur	Sulfur (lton)	Royalties	319.32
2005	AL	Mobile/Water	01297	Gas	Processed (Residue) Gas (mcf)	Royalties	2223.32
2005	AL	Mobile/Water	01297	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1438
2005	AL	Mobile/Water	01297	NGL	Gas Plant Products (gal)	Royalties	39.98
2005	AL	Mobile/Water	01297	Oil	Condensate (bbl)	Royalties	0.68
2005	AL	Mobile/Water	01297	Sulfur	Sulfur (lton)	Royalties	0.84
2005	AL	Tuscaloosa	01125	Gas	Coal Bed Methane (mcf)	Royalties	105563.43
2005	AL	Tuscaloosa	01125	Gas	Fuel Gas (mcf)	Royalties	24.68
2005	AL	Tuscaloosa	01125	Gas	Processed (Residue) Gas (mcf)	Royalties	64939.67
2005	AL	Tuscaloosa	01125	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	562622.97
2006	AL	Baldwin	01003	Gas	Processed (Residue) Gas (mcf)	Royalties	6146.19
2006	AL	Baldwin	01003	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	5.53
2006	AL	Baldwin	01003	Sulfur	Sulfur (lton)	Royalties	12.74
2006	AL	Bibb	01007	Clay	Clay (ton)	Royalties	66074
2006	AL	Covington	01039	Oil	Oil (bbl)	Royalties	56734.28
2006	AL	Escambia	01053	Oil	Oil (bbl)	Royalties	16437.46
2006	AL	Fayette	01057	Coal	Coal (ton)	Royalties	880
2006	AL	Fayette	01057	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	9992.26
2006	AL	Lamar	01075	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2910.89
2006	AL	Lamar	01075	Oil	Condensate (bbl)	Royalties	36.59
2006	AL	Lamar	01075	Oil	Oil (bbl)	Royalties	1350.37
2006	AL	Mobile	01097	Gas	Processed (Residue) Gas (mcf)	Royalties	120626.08
2006	AL	Mobile	01097	Oil	Oil (bbl)	Royalties	2840.17
2006	AL	Mobile	01097	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	12.89
2006	AL	Mobile	01097	Sulfur	Sulfur (lton)	Royalties	301.64
2006	AL	Mobile/Water	01297	Gas	Processed (Residue) Gas (mcf)	Royalties	2205.13
2006	AL	Mobile/Water	01297	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1432
2006	AL	Mobile/Water	01297	NGL	Gas Plant Products (gal)	Royalties	649.4
2006	AL	Mobile/Water	01297	Oil	Condensate (bbl)	Royalties	0.73
2006	AL	Mobile/Water	01297	Sulfur	Sulfur (lton)	Royalties	0.72
2006	AL	Tuscaloosa	01125	Gas	Coal Bed Methane (mcf)	Royalties	142304.32
2006	AL	Tuscaloosa	01125	Gas	Fuel Gas (mcf)	Royalties	3437.07
2006	AL	Tuscaloosa	01125	Gas	Processed (Residue) Gas (mcf)	Royalties	70832.16
2006	AL	Tuscaloosa	01125	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	486543.19
2007	AL	Baldwin	01003	Gas	Processed (Residue) Gas (mcf)	Royalties	7492.41
2007	AL	Baldwin	01003	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	6.81
2007	AL	Baldwin	01003	Sulfur	Sulfur (lton)	Royalties	16.49
2007	AL	Bibb	01007	Clay	Clay (ton)	Royalties	38065
2007	AL	Covington	01039	Oil	Oil (bbl)	Royalties	43712.18
2007	AL	Escambia	01053	Oil	Oil (bbl)	Royalties	16357.05
2007	AL	Fayette	01057	Coal	Coal (ton)	Royalties	19652
2007	AL	Fayette	01057	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	9893
2007	AL	Lamar	01075	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1588.88
2007	AL	Lamar	01075	Oil	Oil (bbl)	Royalties	1110.73
2007	AL	Mobile	01097	Gas	Processed (Residue) Gas (mcf)	Royalties	147097.08
2007	AL	Mobile	01097	Oil	Oil (bbl)	Royalties	2065.43
2007	AL	Mobile	01097	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	15.65
2007	AL	Mobile	01097	Sulfur	Sulfur (lton)	Royalties	326.48
2007	AL	Mobile/Water	01297	Gas	Processed (Residue) Gas (mcf)	Royalties	1671.4
2007	AL	Mobile/Water	01297	NGL	Gas Plant Products (gal)	Royalties	3714.36
2007	AL	Mobile/Water	01297	Oil	Condensate (bbl)	Royalties	0.68
2007	AL	Mobile/Water	01297	Sulfur	Sulfur (lton)	Royalties	0.49
2007	AL	Tuscaloosa	01125	Gas	Coal Bed Methane (mcf)	Royalties	135603.58
2007	AL	Tuscaloosa	01125	Gas	Fuel Gas (mcf)	Royalties	5907.59
2007	AL	Tuscaloosa	01125	Gas	Processed (Residue) Gas (mcf)	Royalties	68188.88
2007	AL	Tuscaloosa	01125	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	511816.56
2008	AL	Baldwin	01003	Gas	Processed (Residue) Gas (mcf)	Royalties	7719.37
2008	AL	Baldwin	01003	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	8.74
2008	AL	Baldwin	01003	Sulfur	Sulfur (lton)	Royalties	15.85
2008	AL	Covington	01039	Oil	Oil (bbl)	Royalties	33886.12
2008	AL	Escambia	01053	Oil	Oil (bbl)	Royalties	14961.79
2008	AL	Fayette	01057	Coal	Coal (ton)	Royalties	572861
2008	AL	Fayette	01057	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	9144.62
2008	AL	Jefferson	01073	Coal	Coal (ton)	Royalties	69566
2008	AL	Lamar	01075	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1200.23
2008	AL	Lamar	01075	Oil	Oil (bbl)	Royalties	1085.15
2008	AL	Mobile	01097	Gas	Processed (Residue) Gas (mcf)	Royalties	151560.22
2008	AL	Mobile	01097	Oil	Oil (bbl)	Royalties	2118.05
2008	AL	Mobile	01097	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	20.55
2008	AL	Mobile	01097	Sulfur	Sulfur (lton)	Royalties	314.43
2008	AL	Mobile/Water	01297	Gas	Processed (Residue) Gas (mcf)	Royalties	1640.96
2008	AL	Mobile/Water	01297	NGL	Gas Plant Products (gal)	Royalties	3747.66
2008	AL	Mobile/Water	01297	Oil	Condensate (bbl)	Royalties	0.68
2008	AL	Mobile/Water	01297	Sulfur	Sulfur (lton)	Royalties	0.49
2008	AL	Tuscaloosa	01125	Gas	Coal Bed Methane (mcf)	Royalties	153055.03
2008	AL	Tuscaloosa	01125	Gas	Fuel Gas (mcf)	Royalties	5201.48
2008	AL	Tuscaloosa	01125	Gas	Processed (Residue) Gas (mcf)	Royalties	59582.08
2008	AL	Tuscaloosa	01125	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	418116.88
2009	AL	Baldwin	01003	Gas	Processed (Residue) Gas (mcf)	Royalties	7013.78
2009	AL	Baldwin	01003	Oil	Other Liquid Hydrocarbons (bbl)	Royalties	6.24
2009	AL	Baldwin	01003	Sulfur	Sulfur (lton)	Royalties	2.66
2009	AL	Covington	01039	Oil	Oil (bbl)	Royalties	22626.96
2009	AL	Escambia	01053	Oil	Oil (bbl)	Royalties	9473.31
2009	AL	Fayette	01057	Coal	Coal (ton)	Royalties	1556081
