Year	State	County	FIPS	Volume
2006	AL	Choctaw County	01023	1
2009	AL	Baldwin County	01003	2
2009	AL	Mobile County	01097	2
2007	AL	Baldwin County	01003	2
2007	AL	Mobile County	01097	2
2006	AL	Baldwin County	01003	2
2007	AL	Choctaw County	01023	1
2008	AL	Baldwin County	01003	2
2008	AL	Mobile County	01097	2
2011	AL	Baldwin County	01003	2
2014	AL	Baldwin County	01003	2
2005	AL	Baldwin County	01003	2
2012	AL	Baldwin County	01003	2
2013	AL	Baldwin County	01003	2
2010	AL	Baldwin County	01003	2
2005	AL	Choctaw County	01023	1
2014	AL	Lamar County	01075	2
2006	AL	Mobile County	01097	2
2011	AL	Lamar County	01075	2
2013	AL	Lamar County	01075	2
2012	AL	Lamar County	01075	2
2010	AL	Lamar County	01075	2
2009	AL	Lamar County	01075	2
2011	AL	Escambia County	01053	2
2013	AL	Conecuh County	01035	1
2008	AL	Lamar County	01075	2
2007	AL	Lamar County	01075	2
2006	AL	Lamar County	01075	2
2005	AL	Lamar County	01075	2
2012	AL	Fayette County	01057	2
2010	AL	Escambia County	01053	2
2009	AL	Escambia County	01053	2
2008	AL	Escambia County	01053	2
2007	AL	Escambia County	01053	2
2006	AL	Escambia County	01053	2
2014	AL	Conecuh County	01035	1
2005	AL	Escambia County	01053	2
2005	AL	Mobile County	01097	2
2010	AL	Fayette County	01057	1
2011	AL	Fayette County	01057	1
2009	AL	Fayette County	01057	1
2005	AL	Fayette County	01057	1
2006	AL	Fayette County	01057	1
2008	AL	Fayette County	01057	1
2010	AL	Mobile County	01097	2
2007	AL	Fayette County	01057	1
2013	AL	Mobile County	01097	2
2014	AL	Mobile County	01097	2
2011	AL	Mobile County	01097	2
2012	AL	Mobile County	01097	2
2014	AL	Covington County	01039	1
2014	AL	Escambia County	01053	1
2013	AL	Escambia County	01053	1
2012	AL	Escambia County	01053	1
2013	AL	Covington County	01039	1
2012	AL	Covington County	01039	1
2011	AL	Covington County	01039	1
2010	AL	Covington County	01039	1
2009	AL	Covington County	01039	1
2008	AL	Covington County	01039	1
2007	AL	Covington County	01039	1
2006	AL	Covington County	01039	1
2005	AL	Covington County	01039	1
2014	AL	Tuscaloosa County	01125	1
2013	AL	Tuscaloosa County	01125	1
2012	AL	Tuscaloosa County	01125	1
2011	AL	Tuscaloosa County	01125	1
2010	AL	Tuscaloosa County	01125	1
2009	AL	Tuscaloosa County	01125	1
2008	AL	Tuscaloosa County	01125	1
2005	AL	Tuscaloosa County	01125	1
2006	AL	Tuscaloosa County	01125	1
2007	AL	Tuscaloosa County	01125	1
