Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	AR	Columbia	05027	Gas	Processed (Residue) Gas	Royalties	4933.74
2004	AR	Columbia	05027	Oil	Oil	Royalties	243.1
2004	AR	Conway	05029	Oil & Gas		Bonus	2751
2004	AR	Conway	05029	Oil & Gas		Rents	9933
2004	AR	Crawford	05033	Oil & Gas		Bonus	12544
2004	AR	Crawford	05033	Oil & Gas		Other Revenues	-4376.08
2004	AR	Crawford	05033	Oil & Gas		Rents	5531.5
2004	AR	Crawford	05033	Gas	Unprocessed (Wet) Gas	Royalties	104551.96
2004	AR	Faulkner	05045	Oil & Gas		Rents	240
2004	AR	Franklin	05047	Oil & Gas		Bonus	14457
2004	AR	Franklin	05047	Oil & Gas		Other Revenues	343.45
2004	AR	Franklin	05047	Oil & Gas		Rents	14621.55
2004	AR	Franklin	05047	Gas	Unprocessed (Wet) Gas	Royalties	178220.9
2004	AR	Garland	05051	Hardrock		Other Revenues	480
2004	AR	Garland	05051	Hardrock		Rents	-240
2004	AR	Johnson	05071	Oil & Gas		Bonus	138487.21
2004	AR	Johnson	05071	Oil & Gas		Other Revenues	1617.53
2004	AR	Johnson	05071	Oil & Gas		Rents	159663.77
2004	AR	Johnson	05071	Gas	Processed (Residue) Gas	Royalties	292.98
2004	AR	Johnson	05071	Gas	Unprocessed (Wet) Gas	Royalties	618869.04
2004	AR	Logan	05083	Oil & Gas		Bonus	46800
2004	AR	Logan	05083	Oil & Gas		Other Revenues	39473.04
2004	AR	Logan	05083	Oil & Gas		Rents	107673.94
2004	AR	Logan	05083	Gas	Unprocessed (Wet) Gas	Royalties	237944.76
2004	AR	Montgomery	05097	Oil & Gas		Bonus	54851.28
2004	AR	Montgomery	05097	Hardrock		Other Revenues	1641.5
2004	AR	Montgomery	05097	Hardrock		Rents	-174.33
2004	AR	Montgomery	05097	Oil & Gas		Rents	122409.14
2004	AR	Montgomery	05097	Quartz		Rents	20
2004	AR	Montgomery	05097	Quartz Crystal	Quartz Crystal	Royalties	235.5
2004	AR	Ouachita	05103	Oil & Gas		Rents	10.5
2004	AR	Polk	05113	Oil & Gas		Rents	2633.97
2004	AR	Pope	05115	Oil & Gas		Bonus	65701.79
2004	AR	Pope	05115	Oil & Gas		Other Revenues	400
2004	AR	Pope	05115	Oil & Gas		Rents	206597.73
2004	AR	Pope	05115	Gas	Unprocessed (Wet) Gas	Royalties	9514.1
2004	AR	Prairie	05117	Oil & Gas		Rents	280
2004	AR	Scott	05127	Oil & Gas		Bonus	50023.72
2004	AR	Scott	05127	Oil & Gas		Rents	430820.12
2004	AR	Sebastian	05131	Oil & Gas		Bonus	21296
2004	AR	Sebastian	05131	Oil & Gas		Other Revenues	-26866.28
2004	AR	Sebastian	05131	Oil & Gas		Rents	38983.77
2004	AR	Sebastian	05131	Gas	Coal Bed Methane	Royalties	4097.62
2004	AR	Sebastian	05131	Gas	Unprocessed (Wet) Gas	Royalties	1989207.39
2004	AR	Van Buren	05141	Oil & Gas		Rents	43089.45
2004	AR	Washington	05143	Oil & Gas		Other Revenues	160
2004	AR	Yell	05149	Oil & Gas		Bonus	211268
2004	AR	Yell	05149	Oil & Gas		Other Revenues	88590.12
2004	AR	Yell	05149	Oil & Gas		Rents	99199.06
2004	AR	Yell	05149	Gas	Unprocessed (Wet) Gas	Royalties	737072.99
2005	AR	Columbia	05027	Gas	Processed (Residue) Gas	Royalties	5801.98
2005	AR	Columbia	05027	Oil	Oil	Royalties	251.75
2005	AR	Conway	05029	Oil & Gas		Rents	9933
2005	AR	Conway	05029	Gas	Unprocessed (Wet) Gas	Royalties	28699.33
2005	AR	Crawford	05033	Oil & Gas		Bonus	405902.18
2005	AR	Crawford	05033	Oil & Gas		Other Revenues	1001.06
2005	AR	Crawford	05033	Oil & Gas		Rents	24138.26
2005	AR	Crawford	05033	Gas	Unprocessed (Wet) Gas	Royalties	134695.24
2005	AR	Cross	05037	Oil & Gas		Bonus	59175
2005	AR	Cross	05037	Oil & Gas		Rents	1183.5
2005	AR	Faulkner	05045	Oil & Gas		Rents	240
2005	AR	Franklin	05047	Oil & Gas		Bonus	3690213.82
2005	AR	Franklin	05047	Oil & Gas		Other Revenues	8384.3
2005	AR	Franklin	05047	Oil & Gas		Rents	53264.68
2005	AR	Franklin	05047	Gas	Unprocessed (Wet) Gas	Royalties	190344.37
2005	AR	Garland	05051	Hardrock		Rents	240
2005	AR	Johnson	05071	Oil & Gas		Bonus	6059565
2005	AR	Johnson	05071	Oil & Gas		Rents	156435.72
2005	AR	Johnson	05071	Gas	Processed (Residue) Gas	Royalties	368.37
2005	AR	Johnson	05071	Gas	Unprocessed (Wet) Gas	Royalties	746763.87
2005	AR	Logan	05083	Oil & Gas		Bonus	17334
2005	AR	Logan	05083	Oil & Gas		Other Revenues	45223.48
2005	AR	Logan	05083	Oil & Gas		Rents	96084.69
2005	AR	Logan	05083	Gas	Unprocessed (Wet) Gas	Royalties	889549.41
2005	AR	Madison	05087	Oil & Gas		Bonus	800
2005	AR	Madison	05087	Oil & Gas		Rents	600
2005	AR	Montgomery	05097	Oil & Gas		Bonus	6075
2005	AR	Montgomery	05097	Hardrock		Other Revenues	866.4
2005	AR	Montgomery	05097	Hardrock		Rents	-0.25
2005	AR	Montgomery	05097	Oil & Gas		Rents	124459.64
2005	AR	Montgomery	05097	Quartz Crystal	Quartz Crystal	Royalties	345.85
2005	AR	Ouachita	05103	Oil & Gas		Rents	10.5
2005	AR	Polk	05113	Oil & Gas		Bonus	400
2005	AR	Polk	05113	Oil & Gas		Rents	66746.97
2005	AR	Pope	05115	Oil & Gas		Bonus	284400
2005	AR	Pope	05115	Oil & Gas		Other Revenues	29
2005	AR	Pope	05115	Oil & Gas		Rents	158269.39
2005	AR	Pope	05115	Gas	Unprocessed (Wet) Gas	Royalties	11828.45
2005	AR	Prairie	05117	Oil & Gas		Rents	280
2005	AR	Scott	05127	Oil & Gas		Bonus	1668172
2005	AR	Scott	05127	Oil & Gas		Rents	266125.12
2005	AR	Sebastian	05131	Oil & Gas		Other Revenues	8517.03
2005	AR	Sebastian	05131	Oil & Gas		Rents	37260.77
2005	AR	Sebastian	05131	Gas	Coal Bed Methane	Royalties	4594.4
2005	AR	Sebastian	05131	Gas	Unprocessed (Wet) Gas	Royalties	3627838.98
2005	AR	Van Buren	05141	Oil & Gas		Rents	43089.45
2005	AR	Washington	05143	Oil & Gas		Other Revenues	160
2005	AR	Yell	05149	Oil & Gas		Bonus	23424
2005	AR	Yell	05149	Oil & Gas		Other Revenues	51089
2005	AR	Yell	05149	Oil & Gas		Rents	129301.31
2005	AR	Yell	05149	Gas	Unprocessed (Wet) Gas	Royalties	1956420.95
2006	AR	Columbia	05027	Gas	Processed (Residue) Gas	Royalties	4569.36
2006	AR	Columbia	05027	Oil	Oil	Royalties	243.75
2006	AR	Conway	05029	Oil & Gas		Rents	7027.5
2006	AR	Conway	05029	Gas	Unprocessed (Wet) Gas	Royalties	17249.24
2006	AR	Crawford	05033	Oil & Gas		Bonus	14212
2006	AR	Crawford	05033	Oil & Gas		Other Revenues	3937.37
2006	AR	Crawford	05033	Oil & Gas		Rents	64761.76
2006	AR	Crawford	05033	Gas	Unprocessed (Wet) Gas	Royalties	124562.72
2006	AR	Cross	05037	Oil & Gas		Rents	1183.5
2006	AR	Faulkner	05045	Oil & Gas		Rents	1200
2006	AR	Franklin	05047	Oil & Gas		Bonus	163186
2006	AR	Franklin	05047	Oil & Gas		Other Revenues	8439.65
2006	AR	Franklin	05047	Oil & Gas		Rents	147287.68
