Year	Commodity	Volume	County	State	Product
2004		294172		CA	Natural Gas (MMcf)
2005		297956		CA	Natural Gas (MMcf)
2006		308730		CA	Natural Gas (MMcf)
2007		293873		CA	Natural Gas (MMcf)
2008		288117		CA	Natural Gas (MMcf)
2009		265034		CA	Natural Gas (MMcf)
2010		278691		CA	Natural Gas (MMcf)
2011		242551		CA	Natural Gas (MMcf)
2012		219560		CA	Natural Gas (MMcf)
2013		224856		CA	Natural Gas (MMcf)
2004		240138000		CA	Crude Oil (bbl)
2005		230230000		CA	Crude Oil (bbl)
2006		223015000		CA	Crude Oil (bbl)
2007		218518000		CA	Crude Oil (bbl)
2008		214533000		CA	Crude Oil (bbl)
2009		207262000		CA	Crude Oil (bbl)
2010		200050000		CA	Crude Oil (bbl)
2011		193996000		CA	Crude Oil (bbl)
2012		197211000		CA	Crude Oil (bbl)
2013		198928000		CA	Crude Oil (bbl)
2004		34141		CA	Conventional Hydroelectric (Kwh)
2005		39632		CA	Conventional Hydroelectric (Kwh)
2006		48047		CA	Conventional Hydroelectric (Kwh)
2007		27328		CA	Conventional Hydroelectric (Kwh)
2008		24128		CA	Conventional Hydroelectric (Kwh)
2009		27888		CA	Conventional Hydroelectric (Kwh)
2010		33431		CA	Conventional Hydroelectric (Kwh)
2011		42557		CA	Conventional Hydroelectric (Kwh)
2012		26837		CA	Conventional Hydroelectric (Kwh)
2013		23755		CA	Conventional Hydroelectric (Kwh)
2004		23971		CA	All Other Renewables (Kwh)
2005		23654		CA	All Other Renewables (Kwh)
2006		23915		CA	All Other Renewables (Kwh)
2007		24845		CA	All Other Renewables (Kwh)
2008		24784		CA	All Other Renewables (Kwh)
2009		25540		CA	All Other Renewables (Kwh)
2010		25450		CA	All Other Renewables (Kwh)
2011		27222		CA	All Other Renewables (Kwh)
2012		29967		CA	All Other Renewables (Kwh)
2013		35578		CA	All Other Renewables (Kwh)
2004		4306		CA	Wind (Kwh)
2005		4262		CA	Wind (Kwh)
2006		4883		CA	Wind (Kwh)
2007		5585		CA	Wind (Kwh)
2008		5385		CA	Wind (Kwh)
2009		5840		CA	Wind (Kwh)
2010		6079		CA	Wind (Kwh)
2011		7752		CA	Wind (Kwh)
2012		9754		CA	Wind (Kwh)
2013		12822		CA	Wind (Kwh)
2004		571		CA	Solar (Kwh)
2005		537		CA	Solar (Kwh)
2006		495		CA	Solar (Kwh)
2007		557		CA	Solar (Kwh)
2008		670		CA	Solar (Kwh)
2009		647		CA	Solar (Kwh)
2010		769		CA	Solar (Kwh)
2011		889		CA	Solar (Kwh)
2012		1382		CA	Solar (Kwh)
2013		3814		CA	Solar (Kwh)
2004		13105		CA	Geothermal (Kwh)
2005		13023		CA	Geothermal (Kwh)
2006		12821		CA	Geothermal (Kwh)
2007		12991		CA	Geothermal (Kwh)
2008		12883		CA	Geothermal (Kwh)
2009		12853		CA	Geothermal (Kwh)
2010		12600		CA	Geothermal (Kwh)
2011		12552		CA	Geothermal (Kwh)
2012		12519		CA	Geothermal (Kwh)
2013		12307		CA	Geothermal (Kwh)
2004		5989		CA	Biomass (total) (Kwh)
2005		5833		CA	Biomass (total) (Kwh)
2006		5717		CA	Biomass (total) (Kwh)
2007		5713		CA	Biomass (total) (Kwh)
2008		5846		CA	Biomass (total) (Kwh)
2009		6200		CA	Biomass (total) (Kwh)
2010		6002		CA	Biomass (total) (Kwh)
2011		6029		CA	Biomass (total) (Kwh)
2012		6311		CA	Biomass (total) (Kwh)
2013		6635		CA	Biomass (total) (Kwh)
2004		3827		CA	Wood and wood-derived fuels (Kwh)
2005		3609		CA	Wood and wood-derived fuels (Kwh)
2006		3422		CA	Wood and wood-derived fuels (Kwh)
2007		3407		CA	Wood and wood-derived fuels (Kwh)
2008		3484		CA	Wood and wood-derived fuels (Kwh)
2009		3732		CA	Wood and wood-derived fuels (Kwh)
2010		3551		CA	Wood and wood-derived fuels (Kwh)
2011		3445		CA	Wood and wood-derived fuels (Kwh)
2012		3798		CA	Wood and wood-derived fuels (Kwh)
2013		3792		CA	Wood and wood-derived fuels (Kwh)
2004		2162		CA	Other biomass (Kwh)
2005		2224		CA	Other biomass (Kwh)
2006		2294		CA	Other biomass (Kwh)
2007		2305		CA	Other biomass (Kwh)
2008		2362		CA	Other biomass (Kwh)
2009		2468		CA	Other biomass (Kwh)
2010		2451		CA	Other biomass (Kwh)
2011		2585		CA	Other biomass (Kwh)
2012		2514		CA	Other biomass (Kwh)
2013		2843		CA	Other biomass (Kwh)
2004		88072		CA	All Renewables (Kwh)
2005		92774		CA	All Renewables (Kwh)
2006		101594		CA	All Renewables (Kwh)
2007		82731		CA	All Renewables (Kwh)
2008		79542		CA	All Renewables (Kwh)
2009		85168		CA	All Renewables (Kwh)
2010		90333		CA	All Renewables (Kwh)
2011		103031		CA	All Renewables (Kwh)
2012		93082		CA	All Renewables (Kwh)
2013		101546		CA	All Renewables (Kwh)
