Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	CA	Contra Costa	06013	Gas	Processed (Residue) Gas (mcf)	Royalties	4020
2004	CA	Contra Costa	06013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6361.93
2004	CA	Contra Costa	06013	Oil	Condensate (bbl)	Royalties	7.67
2004	CA	Fresno	06019	Gas	Processed (Residue) Gas (mcf)	Royalties	84812.64
2004	CA	Fresno	06019	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	444314.3
2004	CA	Fresno	06019	NGL	Gas Plant Products (gal)	Royalties	120040.2
2004	CA	Fresno	06019	Oil	Oil (bbl)	Royalties	40131.01
2004	CA	Glenn	06021	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	8283.08
2004	CA	Imperial	06025	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	389985151.7
2004	CA	Imperial	06025	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	Royalties	212770.98
2004	CA	Inyo	06027	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	556536252.6
2004	CA	Kern	06029	Gas	Gas Lost - Flared or Vented (mcf)	Royalties	20076
2004	CA	Kern	06029	Gas	Processed (Residue) Gas (mcf)	Royalties	1069003.56
2004	CA	Kern	06029	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	227626.87
2004	CA	Kern	06029	NGL	Gas Plant Products (gal)	Royalties	689651.2
2004	CA	Kern	06029	Oil	Condensate (bbl)	Royalties	5173.6
2004	CA	Kern	06029	Oil	Fuel Oil (bbl)	Royalties	82.15
2004	CA	Kern	06029	Oil	Oil (bbl)	Royalties	12753474.34
2004	CA	Kings	06031	Gas	Processed (Residue) Gas (mcf)	Royalties	113758.18
2004	CA	Kings	06031	NGL	Gas Plant Products (gal)	Royalties	159983.99
2004	CA	Kings	06031	Oil	Oil (bbl)	Royalties	32084.87
2004	CA	Lake	06033	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	Royalties	23664571.71
2004	CA	Lassen	06035	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	Royalties	165884.74
2004	CA	Los Angeles	06037	Gas	Gas Lost - Flared or Vented (mcf)	Royalties	7906
2004	CA	Los Angeles	06037	Gas	Processed (Residue) Gas (mcf)	Royalties	486.03
2004	CA	Los Angeles	06037	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	44390.52
2004	CA	Los Angeles	06037	Oil	Condensate (bbl)	Royalties	95910.69
2004	CA	Los Angeles	06037	Oil	Oil (bbl)	Royalties	518462.41
2004	CA	Mono	06051	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	96147731
2004	CA	Monterey	06053	Oil	Oil (bbl)	Royalties	4354.5
2004	CA	San Benito	06069	Oil	Oil (bbl)	Royalties	2826.53
2004	CA	San Bernardn	06071	Anhydrous Sodium Sulfate	Anhydrous Sodium Sulfate (ton)	Royalties	170391
2004	CA	San Bernardn	06071	Borax-Decahydrate	Borax-Decahydrate (ton)	Royalties	11424
2004	CA	San Bernardn	06071	Borax-Pentahydrate	Borax-Pentahydrate (ton)	Royalties	10528
2004	CA	San Bernardn	06071	Boric Acid	Boric Acid (ton)	Royalties	17904
