Year	Commodity	Volume	County	State	Product
2004		1089622		CO	Natural Gas (MMcf)
2005		1143985		CO	Natural Gas (MMcf)
2006		1214396		CO	Natural Gas (MMcf)
2007		1254529		CO	Natural Gas (MMcf)
2008		1402845		CO	Natural Gas (MMcf)
2009		1511654		CO	Natural Gas (MMcf)
2010		1589664		CO	Natural Gas (MMcf)
2011		1649306		CO	Natural Gas (MMcf)
2012		1709376		CO	Natural Gas (MMcf)
2013		1604860		CO	Natural Gas (MMcf)
2004		22532000		CO	Crude Oil (bbl)
2005		23227000		CO	Crude Oil (bbl)
2006		24494000		CO	Crude Oil (bbl)
2007		26172000		CO	Crude Oil (bbl)
2008		29928000		CO	Crude Oil (bbl)
2009		30350000		CO	Crude Oil (bbl)
2010		32976000		CO	Crude Oil (bbl)
2011		39430000		CO	Crude Oil (bbl)
2012		49435000		CO	Crude Oil (bbl)
2013		65257000		CO	Crude Oil (bbl)
2004		1195		CO	Conventional Hydroelectric (Kwh)
2005		1415		CO	Conventional Hydroelectric (Kwh)
2006		1791		CO	Conventional Hydroelectric (Kwh)
2007		1730		CO	Conventional Hydroelectric (Kwh)
2008		2039		CO	Conventional Hydroelectric (Kwh)
2009		1886		CO	Conventional Hydroelectric (Kwh)
2010		1578		CO	Conventional Hydroelectric (Kwh)
2011		2083		CO	Conventional Hydroelectric (Kwh)
2012		1497		CO	Conventional Hydroelectric (Kwh)
2013		1213		CO	Conventional Hydroelectric (Kwh)
2004		255		CO	All Other Renewables (Kwh)
2005		811		CO	All Other Renewables (Kwh)
2006		896		CO	All Other Renewables (Kwh)
2007		1325		CO	All Other Renewables (Kwh)
2008		3284		CO	All Other Renewables (Kwh)
2009		3246		CO	All Other Renewables (Kwh)
2010		3555		CO	All Other Renewables (Kwh)
2011		5367		CO	All Other Renewables (Kwh)
2012		6192		CO	All Other Renewables (Kwh)
2013		7536		CO	All Other Renewables (Kwh)
2004		220		CO	Wind (Kwh)
2005		776		CO	Wind (Kwh)
2006		866		CO	Wind (Kwh)
2007		1292		CO	Wind (Kwh)
2008		3221		CO	Wind (Kwh)
2009		3164		CO	Wind (Kwh)
2010		3452		CO	Wind (Kwh)
2011		5200		CO	Wind (Kwh)
2012		5969		CO	Wind (Kwh)
2013		7204		CO	Wind (Kwh)
2007		2		CO	Solar (Kwh)
2008		18		CO	Solar (Kwh)
2009		26		CO	Solar (Kwh)
2010		42		CO	Solar (Kwh)
2011		105		CO	Solar (Kwh)
2012		165		CO	Solar (Kwh)
2013		248		CO	Solar (Kwh)
2004		35		CO	Biomass (total) (Kwh)
2005		34		CO	Biomass (total) (Kwh)
2006		31		CO	Biomass (total) (Kwh)
2007		31		CO	Biomass (total) (Kwh)
2008		45		CO	Biomass (total) (Kwh)
2009		57		CO	Biomass (total) (Kwh)
2010		60		CO	Biomass (total) (Kwh)
2011		62		CO	Biomass (total) (Kwh)
2012		58		CO	Biomass (total) (Kwh)
2013		84		CO	Biomass (total) (Kwh)
2004		0		CO	Wood and wood-derived fuels (Kwh)
2005		0		CO	Wood and wood-derived fuels (Kwh)
2006		0		CO	Wood and wood-derived fuels (Kwh)
2007		0		CO	Wood and wood-derived fuels (Kwh)
2008		0		CO	Wood and wood-derived fuels (Kwh)
2009		0		CO	Wood and wood-derived fuels (Kwh)
2010		2		CO	Wood and wood-derived fuels (Kwh)
2011		0		CO	Wood and wood-derived fuels (Kwh)
2012		0		CO	Wood and wood-derived fuels (Kwh)
2013		3		CO	Wood and wood-derived fuels (Kwh)
2004		35		CO	Other biomass (Kwh)
2005		34		CO	Other biomass (Kwh)
2006		31		CO	Other biomass (Kwh)
2007		31		CO	Other biomass (Kwh)
2008		45		CO	Other biomass (Kwh)
2009		56		CO	Other biomass (Kwh)
2010		58		CO	Other biomass (Kwh)
2011		62		CO	Other biomass (Kwh)
2012		58		CO	Other biomass (Kwh)
2013		81		CO	Other biomass (Kwh)
2004		1740		CO	All Renewables (Kwh)
2005		3070		CO	All Renewables (Kwh)
2006		3615		CO	All Renewables (Kwh)
2007		4411		CO	All Renewables (Kwh)
2008		8652		CO	All Renewables (Kwh)
2009		8435		CO	All Renewables (Kwh)
2010		8747		CO	All Renewables (Kwh)
2011		12879		CO	All Renewables (Kwh)
2012		13939		CO	All Renewables (Kwh)
2013		16369		CO	All Renewables (Kwh)
2004		599990	Delta County	CO	Coal (short tons)
2004		300761	Garfield County	CO	Coal (short tons)
2004		6551034	Gunnison County	CO	Coal (short tons)
2004		458605	La Plata County	CO	Coal (short tons)
2004		1070654	Moffat County	CO	Coal (short tons)
2004		413333	Montrose County	CO	Coal (short tons)
2004		2550883	Rio Blanco County	CO	Coal (short tons)
2004		8557741	Routt County	CO	Coal (short tons)
2005		2219082	Delta County	CO	Coal (short tons)
2005		260891	Garfield County	CO	Coal (short tons)
2005		6545485	Gunnison County	CO	Coal (short tons)
2005		465877	La Plata County	CO	Coal (short tons)
2005		931873	Moffat County	CO	Coal (short tons)
2005		420730	Montrose County	CO	Coal (short tons)
2005		2149481	Rio Blanco County	CO	Coal (short tons)
2005		9369969	Routt County	CO	Coal (short tons)
2006		4420073	Delta County	CO	Coal (short tons)
2006		262634	Garfield County	CO	Coal (short tons)
2006		5128389	Gunnison County	CO	Coal (short tons)
2006		488327	La Plata County	CO	Coal (short tons)
2006		897481	Moffat County	CO	Coal (short tons)
2006		405640	Montrose County	CO	Coal (short tons)
2006		1712553	Rio Blanco County	CO	Coal (short tons)
2006		8635561	Routt County	CO	Coal (short tons)
2007		5480569	Delta County	CO	Coal (short tons)
2007		247120	Garfield County	CO	Coal (short tons)
2007		4823662	Gunnison County	CO	Coal (short tons)
