Year	State	County	FIPS	Commodity	Product	Volume
2008	CO	Broomfield County	08014		Oil (bbl)	0.21
2007	CO	Broomfield County	08014		Oil (bbl)	0.23
2005	CO	Broomfield County	08014		Oil (bbl)	0.33
2009	CO	Broomfield County	08014		Oil (bbl)	0.34
2006	CO	Broomfield County	08014		Oil (bbl)	0.39
2010	CO	Gunnison County	08051		Oil (bbl)	2.5
2014	CO	Kit Carson County	08063		Gas (mcf)	3.46
2007	CO	Gunnison County	08051		Oil (bbl)	3.74
2008	CO	Broomfield County	08014		Gas (mcf)	4.6
2007	CO	Broomfield County	08014		Gas (mcf)	4.69
2009	CO	Broomfield County	08014		Gas (mcf)	4.79
2011	CO	Arapahoe County	08005		Gas (mcf)	5.08
2013	CO	Kit Carson County	08063		Gas (mcf)	5.51
2006	CO	Bent County	08011		Oil (bbl)	5.62
2005	CO	Broomfield County	08014		Gas (mcf)	6.58
2006	CO	Fremont County	08043		Oil (bbl)	6.62
2010	CO	Broomfield County	08014		Oil (bbl)	7.09
2014	CO	Arapahoe County	08005		Oil (bbl)	8.01
2006	CO	Broomfield County	08014		Gas (mcf)	8.68
2013	CO	Delta County	08029		Oil (bbl)	8.93
2012	CO	Kit Carson County	08063		Oil (bbl)	9
2013	CO	Kit Carson County	08063		Oil (bbl)	10.52
2011	CO	Kit Carson County	08063		Oil (bbl)	10.59
2014	CO	Kit Carson County	08063		Oil (bbl)	11
2005	CO	Bent County	08011		Oil (bbl)	11.16
2009	CO	Arapahoe County	08005		Gas (mcf)	11.66
2009	CO	Bent County	08011		Oil (bbl)	12.25
2007	CO	Bent County	08011		Oil (bbl)	12.64
2012	CO	Arapahoe County	08005		Gas (mcf)	13.1
2008	CO	Arapahoe County	08005		Gas (mcf)	13.59
2006	CO	Kit Carson County	08063		Oil (bbl)	13.89
2009	CO	Kit Carson County	08063		Oil (bbl)	14.5
2013	CO	Arapahoe County	08005		Oil (bbl)	14.81
2010	CO	Kit Carson County	08063		Oil (bbl)	15.15
2008	CO	Bent County	08011		Oil (bbl)	15.84
2008	CO	Kit Carson County	08063		Oil (bbl)	15.96
2010	CO	Arapahoe County	08005		Gas (mcf)	16.14
2012	CO	Kit Carson County	08063		Gas (mcf)	17.03
2006	CO	Kit Carson County	08063		Gas (mcf)	17.25
2011	CO	Kit Carson County	08063		Gas (mcf)	18.07
2007	CO	Kit Carson County	08063		Oil (bbl)	18.29
2011	CO	Arapahoe County	08005		Oil (bbl)	18.36
2005	CO	Kit Carson County	08063		Oil (bbl)	19.96
2009	CO	Delta County	08029		Oil (bbl)	20.83
2006	CO	Gunnison County	08051		Oil (bbl)	21.46
2009	CO	Kit Carson County	08063		Gas (mcf)	22.39
2012	CO	Delta County	08029		Oil (bbl)	22.87
2005	CO	Kit Carson County	08063		Gas (mcf)	23.68
2007	CO	Kit Carson County	08063		Gas (mcf)	24.88
2010	CO	Kit Carson County	08063		Gas (mcf)	28.41
2005	CO	Mesa County	08077		Oil (bbl)	28.5
2010	CO	Delta County	08029		Oil (bbl)	28.83
2008	CO	Kit Carson County	08063		Gas (mcf)	29.85
2009	CO	San Miguel County	08113		Oil (bbl)	32
2009	CO	La Plata County	08067		Oil (bbl)	33.17
2007	CO	Fremont County	08043		Gas (mcf)	34.22
2010	CO	Delta County	08029		Oil (bbl)	35
2010	CO	Broomfield County	08014		Gas (mcf)	37.07
2013	CO	La Plata County	08067		Oil (bbl)	38
2011	CO	Gunnison County	08051		Oil (bbl)	39.95
2010	CO	La Plata County	08067		Oil (bbl)	40.16
2012	CO	Bent County	08011		Oil (bbl)	40.39
2014	CO	La Plata County	08067		Oil (bbl)	40.55
2014	CO	Delta County	08029		Oil (bbl)	41.55
2012	CO	Arapahoe County	08005		Oil (bbl)	41.71
2008	CO	Arapahoe County	08005		Oil (bbl)	42.47
2007	CO	Arapahoe County	08005		Gas (mcf)	44.18
2014	CO	Broomfield County	08014		Oil (bbl)	44.64
2012	CO	Fremont County	08043		Oil (bbl)	45.98
2006	CO	La Plata County	08067		Oil (bbl)	47.63
2011	CO	La Plata County	08067		Oil (bbl)	47.87
2010	CO	Arapahoe County	08005		Oil (bbl)	48.84
2007	CO	Arapahoe County	08005		Oil (bbl)	48.95
2014	CO	San Miguel County	08113		Oil (bbl)	49
2007	CO	La Plata County	08067		Oil (bbl)	49.23
2009	CO	Arapahoe County	08005		Oil (bbl)	50.13
2011	CO	Delta County	08029		Oil (bbl)	51.61
2008	CO	Delta County	08029		Oil (bbl)	52.92
2006	CO	Arapahoe County	08005		Gas (mcf)	53.32
2006	CO	Arapahoe County	08005		Oil (bbl)	53.32
2012	CO	Gunnison County	08051		Oil (bbl)	53.5
2014	CO	Fremont County	08043		Oil (bbl)	53.68
2009	CO	Mesa County	08077		Oil (bbl)	54.67
2011	CO	Fremont County	08043		Oil (bbl)	57.63
2006	CO	Gunnison County	08051		Oil (bbl)	64
2010	CO	Fremont County	08043		Oil (bbl)	65.43
