Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	CO	Adams	08001	Oil & Gas		Rents	240
2004	CO	Alamosa	08003	Oil & Gas		Rents	742
2004	CO	Arapahoe	08005	Oil & Gas		Other Revenues	160
2004	CO	Arapahoe	08005	Oil	Condensate	Royalties	87.87
2004	CO	Arapahoe	08005	Oil	Oil	Royalties	435.7
2004	CO	Archuleta	08007	Oil & Gas		Other Revenues	325.99
2004	CO	Archuleta	08007	Oil & Gas		Rents	21332.64
2004	CO	Archuleta	08007	Gas	Coal Bed Methane	Royalties	9826.87
2004	CO	Archuleta	08007	Gas	Unprocessed (Wet) Gas	Royalties	135238.58
2004	CO	Baca	08009	Oil & Gas		Bonus	395
2004	CO	Baca	08009	Oil & Gas		Other Revenues	14868.53
2004	CO	Baca	08009	Oil & Gas		Rents	8174.5
2004	CO	Baca	08009	Gas	Unprocessed (Wet) Gas	Royalties	31746.27
2004	CO	Baca	08009	Oil	Oil	Royalties	158792.62
2004	CO	Bent	08011	Oil & Gas		Bonus	2648
2004	CO	Bent	08011	Oil & Gas		Rents	3972
2004	CO	Bent	08011	Gas	Unprocessed (Wet) Gas	Royalties	22794.16
2004	CO	Bent	08011	Oil	Condensate	Royalties	29.4
2004	CO	Bent	08011	Oil	Oil	Royalties	10.73
2004	CO	Broomfield	08014	Gas	Unprocessed (Wet) Gas	Royalties	230.11
2004	CO	Broomfield	08014	Oil	Oil	Royalties	121.04
2004	CO	Cheyenne	08017	Oil & Gas		Bonus	474
2004	CO	Cheyenne	08017	Oil & Gas		Other Revenues	76.5
2004	CO	Cheyenne	08017	Oil & Gas		Rents	1328
2004	CO	Cheyenne	08017	NGL	Gas Plant Products	Royalties	10292.06
2004	CO	Cheyenne	08017	Oil	Oil	Royalties	66462.6
2004	CO	Delta	08029	Coal		Bonus	3787839.92
2004	CO	Delta	08029	Oil & Gas		Bonus	303713.77
2004	CO	Delta	08029	Oil & Gas		Other Revenues	2280
2004	CO	Delta	08029	Coal		Rents	59857.32
2004	CO	Delta	08029	Oil & Gas		Rents	149633.72
2004	CO	Delta	08029	Coal	Coal	Royalties	3860270.72
2004	CO	Delta	08029	Gas	Unprocessed (Wet) Gas	Royalties	9430.23
2004	CO	Delta	08029	Oil	Condensate	Royalties	12.77
2004	CO	Dolores	08033	Oil & Gas		Bonus	-1.36
2004	CO	Dolores	08033	Oil & Gas		Other Revenues	72731.31
2004	CO	Dolores	08033	Oil & Gas		Rents	60733.61
2004	CO	Dolores	08033	Gas	Processed (Residue) Gas	Royalties	77469.12
2004	CO	Dolores	08033	Gas	Unprocessed (Wet) Gas	Royalties	118746.55
2004	CO	Dolores	08033	NGL	Gas Plant Products	Royalties	16624.77
2004	CO	Dolores	08033	Oil	Condensate	Royalties	2127.66
2004	CO	Dolores	08033	Oil	Oil	Royalties	231163.35
2004	CO	Dolores	08033	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2)	Royalties	952516.85
2004	CO	Eagle	08037	Oil & Gas		Rents	30244.5
2004	CO	El Paso	08041	Oil & Gas		Rents	738
2004	CO	Garfield	08045	Coal		Bonus	413000
2004	CO	Garfield	08045	Oil & Gas		Bonus	5698844.52
2004	CO	Garfield	08045	Oil & Gas		Other Revenues	2217824.8
2004	CO	Garfield	08045	Coal		Rents	49479
2004	CO	Garfield	08045	Oil & Gas		Rents	566021.02
2004	CO	Garfield	08045	Coal	Coal	Royalties	1171269.69
2004	CO	Garfield	08045	Coal	Coal-Bituminous-Raw	Royalties	3102.81
2004	CO	Garfield	08045	Gas	Coal Bed Methane	Royalties	225303.75
2004	CO	Garfield	08045	Gas	Processed (Residue) Gas	Royalties	110343.45
2004	CO	Garfield	08045	Gas	Unprocessed (Wet) Gas	Royalties	34398559.39
2004	CO	Garfield	08045	NGL	Gas Plant Products	Royalties	2694.15
2004	CO	Garfield	08045	Oil	Condensate	Royalties	957037.27
2004	CO	Garfield	08045	Oil	Oil	Royalties	44134.91
2004	CO	Gunnison	08051	Coal		Bonus	1811744.66
2004	CO	Gunnison	08051	Oil & Gas		Bonus	397591.23
2004	CO	Gunnison	08051	Oil & Gas		Other Revenues	11215.97
2004	CO	Gunnison	08051	Coal		Rents	44967.68
2004	CO	Gunnison	08051	Oil & Gas		Rents	87605.06
2004	CO	Gunnison	08051	Coal	Coal	Royalties	13738709.2
2004	CO	Gunnison	08051	Coal	Coal-Bituminous-Raw	Royalties	-2173166.12
2004	CO	Gunnison	08051	Gas	Processed (Residue) Gas	Royalties	3344.36
2004	CO	Gunnison	08051	Gas	Unprocessed (Wet) Gas	Royalties	35366.08
2004	CO	Gunnison	08051	Oil	Condensate	Royalties	696.78
2004	CO	Huerfano	08055	Oil & Gas		Bonus	1394
2004	CO	Huerfano	08055	Oil & Gas		Other Revenues	160
2004	CO	Huerfano	08055	Oil & Gas		Rents	40074.24
2004	CO	Huerfano	08055	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2)	Royalties	516898.25
2004	CO	Jackson	08057	Oil & Gas		Bonus	69560
2004	CO	Jackson	08057	Oil & Gas		Other Revenues	450.67
2004	CO	Jackson	08057	Oil & Gas		Rents	159044.62
2004	CO	Jackson	08057	Oil	Oil	Royalties	245826.36
2004	CO	Jackson	08057	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2)	Royalties	31970.45
2004	CO	Kiowa	08061	Oil & Gas		Bonus	2686
2004	CO	Kiowa	08061	Oil & Gas		Other Revenues	-75
2004	CO	Kiowa	08061	Oil & Gas		Rents	2623
2004	CO	Kiowa	08061	Gas	Unprocessed (Wet) Gas	Royalties	16564.45
2004	CO	Kiowa	08061	Oil	Condensate	Royalties	173.4
2004	CO	Kiowa	08061	Oil	Oil	Royalties	25616.5
2004	CO	Kit Carson	08063	Oil & Gas		Rents	2145
2004	CO	La Plata	08067	Coal		Bonus	79344
2004	CO	La Plata	08067	Oil & Gas		Other Revenues	72154.47
2004	CO	La Plata	08067	Coal		Rents	7542
2004	CO	La Plata	08067	Oil & Gas		Rents	1707.36
2004	CO	La Plata	08067	Coal	Coal	Royalties	716095.26
2004	CO	La Plata	08067	Coal	Coal-Bituminous-Raw	Royalties	-9019.74
2004	CO	La Plata	08067	Gas	Coal Bed Methane	Royalties	3483203.51
2004	CO	La Plata	08067	Gas	Processed (Residue) Gas	Royalties	5875.84
2004	CO	La Plata	08067	Gas	Unprocessed (Wet) Gas	Royalties	2491195.09
2004	CO	La Plata	08067	NGL	Gas Plant Products	Royalties	1228.72
2004	CO	Larimer	08069	Oil	Oil	Royalties	6721.91
2004	CO	Las Animas	08071	Oil & Gas		Bonus	80
2004	CO	Las Animas	08071	Oil & Gas		Other Revenues	75193
2004	CO	Las Animas	08071	Oil & Gas		Rents	58294.76
2004	CO	Las Animas	08071	Gas	Coal Bed Methane	Royalties	59020.81
2004	CO	Las Animas	08071	Gas	Unprocessed (Wet) Gas	Royalties	1888209.11
2004	CO	Logan	08075	Oil & Gas		Rents	1081.5
2004	CO	Logan	08075	Oil	Oil	Royalties	9675.8
2004	CO	Mesa	08077	Oil & Gas		Bonus	998173.63
2004	CO	Mesa	08077	Oil & Gas		Other Revenues	356699.37
2004	CO	Mesa	08077	Oil & Gas		Rents	402953.25
2004	CO	Mesa	08077	Gas	Processed (Residue) Gas	Royalties	161671.56
2004	CO	Mesa	08077	Gas	Unprocessed (Wet) Gas	Royalties	1698839.13
2004	CO	Mesa	08077	NGL	Gas Plant Products	Royalties	6721.43
2004	CO	Mesa	08077	Oil	Condensate	Royalties	1512.33
2004	CO	Mesa	08077	Oil	Oil	Royalties	6965.67
2004	CO	Moffat	08081	Oil & Gas		Bonus	1559825
2004	CO	Moffat	08081	Oil & Gas		Other Revenues	348404.61
2004	CO	Moffat	08081	Coal		Rents	49050
2004	CO	Moffat	08081	Oil & Gas		Rents	1462413.63
2004	CO	Moffat	08081	Coal	Coal	Royalties	18445894.2
2004	CO	Moffat	08081	Coal	Coal-Subbituminous-Raw	Royalties	-2100588.06
2004	CO	Moffat	08081	Gas	Processed (Residue) Gas	Royalties	1829736.59
2004	CO	Moffat	08081	Gas	Unprocessed (Wet) Gas	Royalties	7732933.16
2004	CO	Moffat	08081	NGL	Gas Plant Products	Royalties	110962.86
2004	CO	Moffat	08081	Oil	Condensate	Royalties	167608.69
2004	CO	Moffat	08081	Oil	Oil	Royalties	747935.66
2004	CO	Montezuma	08083	Oil & Gas		Other Revenues	181061.24
2004	CO	Montezuma	08083	Oil & Gas		Rents	52685
2004	CO	Montezuma	08083	Gas	Processed (Residue) Gas	Royalties	585803.32
2004	CO	Montezuma	08083	Gas	Unprocessed (Wet) Gas	Royalties	16893.14
2004	CO	Montezuma	08083	NGL	Gas Plant Products	Royalties	222495.69
2004	CO	Montezuma	08083	Oil	Condensate	Royalties	5467.28
2004	CO	Montezuma	08083	Oil	Oil	Royalties	895429.91
2004	CO	Montezuma	08083	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2)	Royalties	11623220.43
2004	CO	Montrose	08085	Oil & Gas		Rents	426652.72
2004	CO	Morgan	08087	Oil & Gas		Other Revenues	354
2004	CO	Morgan	08087	Oil & Gas		Rents	2415
2004	CO	Morgan	08087	Oil	Oil	Royalties	1856.57
2004	CO	Park	08093	Oil & Gas		Bonus	130002
2004	CO	Park	08093	Oil & Gas		Rents	56355.5
2004	CO	Phillips	08095	Oil & Gas		Rents	7599
2004	CO	Pitkin	08097	Oil & Gas		Bonus	23475.85
2004	CO	Pitkin	08097	Oil & Gas		Other Revenues	26458.23
2004	CO	Pitkin	08097	Oil & Gas		Rents	37229.49
2004	CO	Prowers	08099	Oil & Gas		Bonus	800
2004	CO	Prowers	08099	Oil & Gas		Rents	1440
2004	CO	Prowers	08099	Gas	Unprocessed (Wet) Gas	Royalties	5027.51
2004	CO	Rio Blanco	08103	Coal		Bonus	16000
2004	CO	Rio Blanco	08103	Oil & Gas		Bonus	1551378
2004	CO	Rio Blanco	08103	Oil & Gas		Other Revenues	1015609.65
2004	CO	Rio Blanco	08103	Sodium		Other Revenues	93390.28
2004	CO	Rio Blanco	08103	Coal		Rents	5685
2004	CO	Rio Blanco	08103	Oil & Gas		Rents	1369815.21
2004	CO	Rio Blanco	08103	Sodium		Rents	1349.73
2004	CO	Rio Blanco	08103	Coal	Coal	Royalties	1115361.15
2004	CO	Rio Blanco	08103	Coal	Coal-Subbituminous-Processed	Royalties	59676.28
2004	CO	Rio Blanco	08103	Gas	Gas Lost - Flared or Vented	Royalties	431.38
2004	CO	Rio Blanco	08103	Gas	Processed (Residue) Gas	Royalties	11338060.41
2004	CO	Rio Blanco	08103	Gas	Unprocessed (Wet) Gas	Royalties	4830552.82
2004	CO	Rio Blanco	08103	NGL	Gas Plant Products	Royalties	1709743.98
2004	CO	Rio Blanco	08103	Oil	Condensate	Royalties	764515.29
2004	CO	Rio Blanco	08103	Oil	Oil	Royalties	12612198.05
2004	CO	Rio Blanco	08103	Carbon Dioxide	Carbon Dioxide	Royalties	241
2004	CO	Rio Blanco	08103	Soda Ash	Soda Ash	Royalties	559202.05
2004	CO	Rio Blanco	08103	Soda Ash-Granular	Soda Ash-Granular	Royalties	-127123.91
2004	CO	Rio Blanco	08103	Sodium Bi-Carbonate	Sodium Bi-Carbonate	Royalties	704432.51
2004	CO	Rio Blanco	08103	Sodium Bicarbonate Animal Feed	Sodium Bicarbonate Animal Feed	Royalties	-28843.19
2004	CO	Rio Grande	08105	Oil & Gas		Rents	21255.5
2004	CO	Routt	08107	Oil & Gas		Bonus	1440
2004	CO	Routt	08107	Oil & Gas		Other Revenues	800
2004	CO	Routt	08107	Coal		Rents	23611.41
2004	CO	Routt	08107	Oil & Gas		Rents	229663
2004	CO	Routt	08107	Coal	Coal	Royalties	1826197.26
2004	CO	Routt	08107	Coal	Coal-Subbituminous-Processed	Royalties	-527491.56
2004	CO	Routt	08107	Oil	Oil	Royalties	55682.26
2004	CO	San Miguel	08113	Oil & Gas		Bonus	16531.36
2004	CO	San Miguel	08113	Oil & Gas		Other Revenues	-280905.54
2004	CO	San Miguel	08113	Oil & Gas		Rents	423702.12
2004	CO	San Miguel	08113	Gas	Processed (Residue) Gas	Royalties	172691.54
2004	CO	San Miguel	08113	Gas	Unprocessed (Wet) Gas	Royalties	9951369.17
2004	CO	San Miguel	08113	NGL	Gas Plant Products	Royalties	30513.33
2004	CO	San Miguel	08113	Oil	Condensate	Royalties	91727.04
2004	CO	San Miguel	08113	Oil	Oil	Royalties	2010.22
2004	CO	Sedgwick	08115	Oil & Gas		Rents	60
2004	CO	Washington	08121	Oil & Gas		Rents	9890
2004	CO	Washington	08121	Gas	Processed (Residue) Gas	Royalties	1505.04
2004	CO	Washington	08121	Gas	Unprocessed (Wet) Gas	Royalties	33012.9
2004	CO	Washington	08121	Oil	Oil	Royalties	29725.66
2004	CO	Weld	08123	Oil & Gas		Bonus	10530
2004	CO	Weld	08123	Oil & Gas		Other Revenues	22784.2
2004	CO	Weld	08123	Oil & Gas		Rents	55503.5
2004	CO	Weld	08123	Gas	Processed (Residue) Gas	Royalties	572520.73
2004	CO	Weld	08123	Gas	Unprocessed (Wet) Gas	Royalties	460295.78
2004	CO	Weld	08123	NGL	Gas Plant Products	Royalties	92928.97
2004	CO	Weld	08123	Oil	Condensate	Royalties	32794.59
2004	CO	Weld	08123	Oil	Oil	Royalties	627909.47
2004	CO	Yuma	08125	Oil & Gas		Bonus	29876
2004	CO	Yuma	08125	Oil & Gas		Other Revenues	-5074
2004	CO	Yuma	08125	Oil & Gas		Rents	43276
2004	CO	Yuma	08125	Gas	Unprocessed (Wet) Gas	Royalties	475142.64
2005	CO	Adams	08001	Oil & Gas		Rents	240
2005	CO	Alamosa	08003	Oil & Gas		Rents	742
2005	CO	Arapahoe	08005	Oil	Condensate	Royalties	247.68
2005	CO	Arapahoe	08005	Oil	Oil	Royalties	652.79
2005	CO	Archuleta	08007	Oil & Gas		Other Revenues	10115.92
2005	CO	Archuleta	08007	Oil & Gas		Rents	5700.44
2005	CO	Archuleta	08007	Gas	Coal Bed Methane	Royalties	12416.21
2005	CO	Archuleta	08007	Gas	Unprocessed (Wet) Gas	Royalties	199819.62
2005	CO	Baca	08009	Oil & Gas		Bonus	3262
2005	CO	Baca	08009	Oil & Gas		Other Revenues	8086.38
2005	CO	Baca	08009	Oil & Gas		Rents	19877
2005	CO	Baca	08009	Gas	Unprocessed (Wet) Gas	Royalties	22332.66
2005	CO	Baca	08009	Oil	Oil	Royalties	269361.44
2005	CO	Bent	08011	Oil & Gas		Bonus	2158
2005	CO	Bent	08011	Oil & Gas		Rents	1618.5
2005	CO	Bent	08011	Gas	Unprocessed (Wet) Gas	Royalties	27461.26
2005	CO	Bent	08011	Oil	Oil	Royalties	8.36
2005	CO	Broomfield	08014	Gas	Unprocessed (Wet) Gas	Royalties	278.51
2005	CO	Broomfield	08014	Oil	Oil	Royalties	133.98
2005	CO	Cheyenne	08017	Oil & Gas		Bonus	294
2005	CO	Cheyenne	08017	Oil & Gas		Other Revenues	1951.5
2005	CO	Cheyenne	08017	Oil & Gas		Rents	1434.5
2005	CO	Cheyenne	08017	NGL	Gas Plant Products	Royalties	12773.74
2005	CO	Cheyenne	08017	Oil	Oil	Royalties	79775.24
2005	CO	Delta	08029	Coal		Bonus	866459.29
2005	CO	Delta	08029	Oil & Gas		Bonus	220772.22
2005	CO	Delta	08029	Oil & Gas		Other Revenues	-305.63
2005	CO	Delta	08029	Coal		Rents	94338.32
2005	CO	Delta	08029	Oil & Gas		Rents	156919.63
2005	CO	Delta	08029	Coal	Coal	Royalties	7611283.48
2005	CO	Delta	08029	Gas	Processed (Residue) Gas	Royalties	842.38
2005	CO	Delta	08029	Gas	Unprocessed (Wet) Gas	Royalties	890.69
2005	CO	Dolores	08033	Oil & Gas		Bonus	72704
2005	CO	Dolores	08033	Oil & Gas		Other Revenues	31320.62
2005	CO	Dolores	08033	Oil & Gas		Rents	58177.7
2005	CO	Dolores	08033	Gas	Processed (Residue) Gas	Royalties	221683.49
2005	CO	Dolores	08033	Gas	Unprocessed (Wet) Gas	Royalties	145682.11
2005	CO	Dolores	08033	NGL	Gas Plant Products	Royalties	106464.52
2005	CO	Dolores	08033	Oil	Condensate	Royalties	1371.75
2005	CO	Dolores	08033	Oil	Oil	Royalties	315473.92
2005	CO	Dolores	08033	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2)	Royalties	1374346.48
2005	CO	Eagle	08037	Oil & Gas		Rents	20128.5
2005	CO	Garfield	08045	Coal		Bonus	413000
2005	CO	Garfield	08045	Oil & Gas		Bonus	1636565
2005	CO	Garfield	08045	Oil & Gas		Other Revenues	912436.65
2005	CO	Garfield	08045	Coal		Rents	27021
2005	CO	Garfield	08045	Oil & Gas		Rents	514693.1
2005	CO	Garfield	08045	Coal	Coal	Royalties	455002.59
2005	CO	Garfield	08045	Gas	Coal Bed Methane	Royalties	181013.95
2005	CO	Garfield	08045	Gas	Processed (Residue) Gas	Royalties	862213.57
2005	CO	Garfield	08045	Gas	Unprocessed (Wet) Gas	Royalties	69837763.4
2005	CO	Garfield	08045	NGL	Gas Plant Products	Royalties	5957.9
2005	CO	Garfield	08045	Oil	Condensate	Royalties	1504432.3
