Year	Region	Commodity	Volume	Product
2004	CT		463	Conventional Hydroelectric (Kwh)
2005	CT		478	Conventional Hydroelectric (Kwh)
2006	CT		544	Conventional Hydroelectric (Kwh)
2007	CT		363	Conventional Hydroelectric (Kwh)
2008	CT		556	Conventional Hydroelectric (Kwh)
2009	CT		510	Conventional Hydroelectric (Kwh)
2010	CT		391	Conventional Hydroelectric (Kwh)
2011	CT		567	Conventional Hydroelectric (Kwh)
2012	CT		312	Conventional Hydroelectric (Kwh)
2013	CT		402	Conventional Hydroelectric (Kwh)
2004	CT		758	All Other Renewables (Kwh)
2005	CT		753	All Other Renewables (Kwh)
2006	CT		763	All Other Renewables (Kwh)
2007	CT		730	All Other Renewables (Kwh)
2008	CT		734	All Other Renewables (Kwh)
2009	CT		759	All Other Renewables (Kwh)
2010	CT		740	All Other Renewables (Kwh)
2011	CT		660	All Other Renewables (Kwh)
2012	CT		667	All Other Renewables (Kwh)
2013	CT		652	All Other Renewables (Kwh)
2013	CT		0	Solar (Kwh)
2004	CT		758	Biomass (total) (Kwh)
2005	CT		753	Biomass (total) (Kwh)
2006	CT		763	Biomass (total) (Kwh)
2007	CT		730	Biomass (total) (Kwh)
2008	CT		734	Biomass (total) (Kwh)
2009	CT		759	Biomass (total) (Kwh)
2010	CT		740	Biomass (total) (Kwh)
2011	CT		660	Biomass (total) (Kwh)
2012	CT		667	Biomass (total) (Kwh)
2013	CT		652	Biomass (total) (Kwh)
2004	CT		5	Wood and wood-derived fuels (Kwh)
2005	CT		7	Wood and wood-derived fuels (Kwh)
2006	CT		9	Wood and wood-derived fuels (Kwh)
2007	CT		2	Wood and wood-derived fuels (Kwh)
2008	CT		2	Wood and wood-derived fuels (Kwh)
2009	CT		1	Wood and wood-derived fuels (Kwh)
2010	CT		0	Wood and wood-derived fuels (Kwh)
2011	CT		1	Wood and wood-derived fuels (Kwh)
2012	CT		1	Wood and wood-derived fuels (Kwh)
2013	CT		4	Wood and wood-derived fuels (Kwh)
2004	CT		752	Other biomass (Kwh)
2005	CT		746	Other biomass (Kwh)
2006	CT		755	Other biomass (Kwh)
2007	CT		728	Other biomass (Kwh)
2008	CT		732	Other biomass (Kwh)
2009	CT		758	Other biomass (Kwh)
2010	CT		739	Other biomass (Kwh)
2011	CT		659	Other biomass (Kwh)
2012	CT		666	Other biomass (Kwh)
2013	CT		648	Other biomass (Kwh)
2004	CT		2736	All Renewables (Kwh)
2005	CT		2737	All Renewables (Kwh)
2006	CT		2834	All Renewables (Kwh)
2007	CT		2553	All Renewables (Kwh)
2008	CT		2758	All Renewables (Kwh)
2009	CT		2787	All Renewables (Kwh)
2010	CT		2610	All Renewables (Kwh)
2011	CT		2547	All Renewables (Kwh)
2012	CT		2313	All Renewables (Kwh)
2013	CT		2358	All Renewables (Kwh)
