Year	Commodity	Volume	County	State	Product
2004		94		HI	Conventional Hydroelectric (Kwh)
2005		96		HI	Conventional Hydroelectric (Kwh)
2006		120		HI	Conventional Hydroelectric (Kwh)
2007		92		HI	Conventional Hydroelectric (Kwh)
2008		84		HI	Conventional Hydroelectric (Kwh)
2009		113		HI	Conventional Hydroelectric (Kwh)
2010		70		HI	Conventional Hydroelectric (Kwh)
2011		93		HI	Conventional Hydroelectric (Kwh)
2012		115		HI	Conventional Hydroelectric (Kwh)
2013		78		HI	Conventional Hydroelectric (Kwh)
2004		550		HI	All Other Renewables (Kwh)
2005		538		HI	All Other Renewables (Kwh)
2006		618		HI	All Other Renewables (Kwh)
2007		753		HI	All Other Renewables (Kwh)
2008		777		HI	All Other Renewables (Kwh)
2009		705		HI	All Other Renewables (Kwh)
2010		747		HI	All Other Renewables (Kwh)
2011		881		HI	All Other Renewables (Kwh)
2012		925		HI	All Other Renewables (Kwh)
2013		1127		HI	All Other Renewables (Kwh)
2004		7		HI	Wind (Kwh)
2005		7		HI	Wind (Kwh)
2006		80		HI	Wind (Kwh)
2007		238		HI	Wind (Kwh)
2008		240		HI	Wind (Kwh)
2009		251		HI	Wind (Kwh)
2010		261		HI	Wind (Kwh)
2011		341		HI	Wind (Kwh)
2012		378		HI	Wind (Kwh)
2013		503		HI	Wind (Kwh)
2008		0		HI	Solar (Kwh)
2009		1		HI	Solar (Kwh)
2010		2		HI	Solar (Kwh)
2011		4		HI	Solar (Kwh)
2012		5		HI	Solar (Kwh)
2013		19		HI	Solar (Kwh)
2004		213		HI	Geothermal (Kwh)
2005		222		HI	Geothermal (Kwh)
2006		212		HI	Geothermal (Kwh)
2007		230		HI	Geothermal (Kwh)
2008		234		HI	Geothermal (Kwh)
2009		168		HI	Geothermal (Kwh)
2010		201		HI	Geothermal (Kwh)
2011		224		HI	Geothermal (Kwh)
2012		261		HI	Geothermal (Kwh)
2013		275		HI	Geothermal (Kwh)
2004		329		HI	Biomass (total) (Kwh)
2005		310		HI	Biomass (total) (Kwh)
2006		326		HI	Biomass (total) (Kwh)
2007		285		HI	Biomass (total) (Kwh)
2008		302		HI	Biomass (total) (Kwh)
2009		284		HI	Biomass (total) (Kwh)
2010		283		HI	Biomass (total) (Kwh)
2011		313		HI	Biomass (total) (Kwh)
2012		281		HI	Biomass (total) (Kwh)
2013		329		HI	Biomass (total) (Kwh)
2010		0		HI	Wood and wood-derived fuels (Kwh)
2011		0		HI	Wood and wood-derived fuels (Kwh)
2012		0		HI	Wood and wood-derived fuels (Kwh)
2013		0		HI	Wood and wood-derived fuels (Kwh)
2004		329		HI	Other biomass (Kwh)
2005		310		HI	Other biomass (Kwh)
2006		326		HI	Other biomass (Kwh)
2007		285		HI	Other biomass (Kwh)
2008		302		HI	Other biomass (Kwh)
2009		284		HI	Other biomass (Kwh)
2010		283		HI	Other biomass (Kwh)
2011		313		HI	Other biomass (Kwh)
2012		281		HI	Other biomass (Kwh)
2013		329		HI	Other biomass (Kwh)
2004		1522		HI	All Renewables (Kwh)
2005		1483		HI	All Renewables (Kwh)
2006		1682		HI	All Renewables (Kwh)
2007		1883		HI	All Renewables (Kwh)
2008		1939		HI	All Renewables (Kwh)
2009		1806		HI	All Renewables (Kwh)
2010		1847		HI	All Renewables (Kwh)
2011		2169		HI	All Renewables (Kwh)
2012		2246		HI	All Renewables (Kwh)
2013		2660		HI	All Renewables (Kwh)
