Year	Region	Commodity	Volume	Product
2004	IA		946	Conventional Hydroelectric (Kwh)
2005	IA		960	Conventional Hydroelectric (Kwh)
2006	IA		909	Conventional Hydroelectric (Kwh)
2007	IA		962	Conventional Hydroelectric (Kwh)
2008	IA		819	Conventional Hydroelectric (Kwh)
2009	IA		971	Conventional Hydroelectric (Kwh)
2010	IA		948	Conventional Hydroelectric (Kwh)
2011	IA		925	Conventional Hydroelectric (Kwh)
2012	IA		766	Conventional Hydroelectric (Kwh)
2013	IA		749	Conventional Hydroelectric (Kwh)
2004	IA		1156	All Other Renewables (Kwh)
2005	IA		1764	All Other Renewables (Kwh)
2006	IA		2455	All Other Renewables (Kwh)
2007	IA		2908	All Other Renewables (Kwh)
2008	IA		4251	All Other Renewables (Kwh)
2009	IA		7589	All Other Renewables (Kwh)
2010	IA		9360	All Other Renewables (Kwh)
2011	IA		10870	All Other Renewables (Kwh)
2012	IA		14183	All Other Renewables (Kwh)
2013	IA		15727	All Other Renewables (Kwh)
2004	IA		1050	Wind (Kwh)
2005	IA		1647	Wind (Kwh)
2006	IA		2318	Wind (Kwh)
2007	IA		2757	Wind (Kwh)
2008	IA		4084	Wind (Kwh)
2009	IA		7421	Wind (Kwh)
2010	IA		9170	Wind (Kwh)
2011	IA		10709	Wind (Kwh)
2012	IA		14032	Wind (Kwh)
2013	IA		15568	Wind (Kwh)
2004	IA		106	Biomass (total) (Kwh)
2005	IA		117	Biomass (total) (Kwh)
2006	IA		137	Biomass (total) (Kwh)
2007	IA		151	Biomass (total) (Kwh)
2008	IA		167	Biomass (total) (Kwh)
2009	IA		168	Biomass (total) (Kwh)
2010	IA		190	Biomass (total) (Kwh)
2011	IA		161	Biomass (total) (Kwh)
2012	IA		151	Biomass (total) (Kwh)
2013	IA		159	Biomass (total) (Kwh)
2007	IA		0	Wood and wood-derived fuels (Kwh)
2008	IA		0	Wood and wood-derived fuels (Kwh)
2009	IA		0	Wood and wood-derived fuels (Kwh)
2013	IA		0	Wood and wood-derived fuels (Kwh)
2004	IA		106	Other biomass (Kwh)
2005	IA		117	Other biomass (Kwh)
2006	IA		137	Other biomass (Kwh)
2007	IA		151	Other biomass (Kwh)
2008	IA		167	Other biomass (Kwh)
2009	IA		168	Other biomass (Kwh)
2010	IA		190	Other biomass (Kwh)
2011	IA		161	Other biomass (Kwh)
2012	IA		151	Other biomass (Kwh)
2013	IA		159	Other biomass (Kwh)
2004	IA		3364	All Renewables (Kwh)
2005	IA		4605	All Renewables (Kwh)
2006	IA		5956	All Renewables (Kwh)
2007	IA		6929	All Renewables (Kwh)
2008	IA		9488	All Renewables (Kwh)
2009	IA		16317	All Renewables (Kwh)
2010	IA		19858	All Renewables (Kwh)
2011	IA		22826	All Renewables (Kwh)
2012	IA		29283	All Renewables (Kwh)
2013	IA		32362	All Renewables (Kwh)
