Year	Region	Commodity	Volume	Product
2004	ID		8462	Conventional Hydroelectric (Kwh)
2005	ID		8542	Conventional Hydroelectric (Kwh)
2006	ID		11242	Conventional Hydroelectric (Kwh)
2007	ID		9022	Conventional Hydroelectric (Kwh)
2008	ID		9363	Conventional Hydroelectric (Kwh)
2009	ID		10434	Conventional Hydroelectric (Kwh)
2010	ID		9154	Conventional Hydroelectric (Kwh)
2011	ID		13405	Conventional Hydroelectric (Kwh)
2012	ID		10940	Conventional Hydroelectric (Kwh)
2013	ID		8473	Conventional Hydroelectric (Kwh)
2004	ID		560	All Other Renewables (Kwh)
2005	ID		560	All Other Renewables (Kwh)
2006	ID		690	All Other Renewables (Kwh)
2007	ID		653	All Other Renewables (Kwh)
2008	ID		748	All Other Renewables (Kwh)
2009	ID		867	All Other Renewables (Kwh)
2010	ID		1014	All Other Renewables (Kwh)
2011	ID		1892	All Other Renewables (Kwh)
2012	ID		2515	All Other Renewables (Kwh)
2013	ID		3152	All Other Renewables (Kwh)
2006	ID		170	Wind (Kwh)
2007	ID		172	Wind (Kwh)
2008	ID		207	Wind (Kwh)
2009	ID		313	Wind (Kwh)
2010	ID		441	Wind (Kwh)
2011	ID		1307	Wind (Kwh)
2012	ID		1891	Wind (Kwh)
2013	ID		2460	Wind (Kwh)
2008	ID		86	Geothermal (Kwh)
2009	ID		76	Geothermal (Kwh)
2010	ID		72	Geothermal (Kwh)
2011	ID		63	Geothermal (Kwh)
2012	ID		75	Geothermal (Kwh)
2013	ID		40	Geothermal (Kwh)
2004	ID		560	Biomass (total) (Kwh)
2005	ID		560	Biomass (total) (Kwh)
2006	ID		520	Biomass (total) (Kwh)
2007	ID		481	Biomass (total) (Kwh)
2008	ID		455	Biomass (total) (Kwh)
2009	ID		478	Biomass (total) (Kwh)
2010	ID		501	Biomass (total) (Kwh)
2011	ID		522	Biomass (total) (Kwh)
2012	ID		549	Biomass (total) (Kwh)
2013	ID		652	Biomass (total) (Kwh)
2004	ID		560	Wood and wood-derived fuels (Kwh)
2005	ID		560	Wood and wood-derived fuels (Kwh)
2006	ID		520	Wood and wood-derived fuels (Kwh)
2007	ID		481	Wood and wood-derived fuels (Kwh)
2008	ID		455	Wood and wood-derived fuels (Kwh)
2009	ID		478	Wood and wood-derived fuels (Kwh)
2010	ID		478	Wood and wood-derived fuels (Kwh)
2011	ID		474	Wood and wood-derived fuels (Kwh)
2012	ID		460	Wood and wood-derived fuels (Kwh)
2013	ID		454	Wood and wood-derived fuels (Kwh)
2009	ID		0	Other biomass (Kwh)
2010	ID		24	Other biomass (Kwh)
2011	ID		48	Other biomass (Kwh)
2012	ID		90	Other biomass (Kwh)
2013	ID		198	Other biomass (Kwh)
2004	ID		10142	All Renewables (Kwh)
2005	ID		10222	All Renewables (Kwh)
2006	ID		13142	All Renewables (Kwh)
2007	ID		10809	All Renewables (Kwh)
2008	ID		11314	All Renewables (Kwh)
2009	ID		12646	All Renewables (Kwh)
2010	ID		11684	All Renewables (Kwh)
2011	ID		17711	All Renewables (Kwh)
2012	ID		16520	All Renewables (Kwh)
2013	ID		15429	All Renewables (Kwh)
