Year	State	County	FIPS	Resource	Revenue
2004	ID	Bannock	16005	minerals	240.00
2004	ID	Bear Lake	16007	oilgas	7605.50
2004	ID	Bingham	16011	minerals	7249.66
2004	ID	Bingham	16011	renewables	133.64
2004	ID	Boise	16015	minerals	39.00
2004	ID	Bonneville	16019	renewables	160.36
2004	ID	Caribou	16029	minerals	670051.84
2004	ID	Caribou	16029	renewables	433.00
2004	ID	Caribou	16029	other	3451909.95
2004	ID	Clark	16033	minerals	2547.00
2004	ID	Clearwater	16035	minerals	42.00
2004	ID	Latah	16057	minerals	80.00
2004	ID	Washington	16087	renewables	1740.00
2005	ID	Bannock	16005	minerals	240.00
2005	ID	Bear Lake	16007	minerals	198.00
2005	ID	Bear Lake	16007	oilgas	1730.50
2005	ID	Bingham	16011	minerals	5474.36
2005	ID	Bingham	16011	renewables	133.64
2005	ID	Bonneville	16019	renewables	160.36
2005	ID	Caribou	16029	minerals	79918.64
2005	ID	Caribou	16029	renewables	433.00
2005	ID	Caribou	16029	other	2986698.10
2005	ID	Clark	16033	minerals	2547.00
2005	ID	Clearwater	16035	minerals	924.81
2005	ID	Latah	16057	minerals	239.00
2005	ID	Washington	16087	renewables	1740.00
2006	ID	Bannock	16005	minerals	240.00
2006	ID	Bear Lake	16007	oilgas	2712.50
2006	ID	Bear Lake	16007	minerals	264.00
2006	ID	Bingham	16011	minerals	9251.54
2006	ID	Caribou	16029	minerals	107249.46
2006	ID	Caribou	16029	other	2064495.78
2006	ID	Clark	16033	minerals	2547.00
2006	ID	Clearwater	16035	minerals	3484.85
2006	ID	Latah	16057	minerals	780.00
2007	ID	Bannock	16005	minerals	240.00
2007	ID	Bear Lake	16007	oilgas	23210.00
2007	ID	Bingham	16011	minerals	9167.54
2007	ID	Bingham	16011	renewables	267.28
2007	ID	Boise	16015	minerals	117.00
2007	ID	Bonneville	16019	oilgas	92028.00
2007	ID	Bonneville	16019	renewables	320.72
2007	ID	Caribou	16029	minerals	144900.46
2007	ID	Caribou	16029	renewables	866.00
2007	ID	Caribou	16029	other	2152071.29
2007	ID	Cassia	16031	renewables	4286578.00
2007	ID	Clark	16033	minerals	2547.00
2007	ID	Clearwater	16035	minerals	1507.40
2007	ID	Latah	16057	minerals	239.00
2007	ID	Washington	16087	renewables	1438980.00
2008	ID	Bannock	16005	minerals	240.00
2008	ID	Bear Lake	16007	oilgas	8423.00
2008	ID	Bear Lake	16007	minerals	-66.00
2008	ID	Bingham	16011	minerals	8331.54
2008	ID	Bingham	16011	renewables	133.64
2008	ID	Bonneville	16019	renewables	160.36
2008	ID	Bonneville	16019	oilgas	8496.00
2008	ID	Caribou	16029	minerals	114659.46
