Year	Commodity	Volume	County	State	Product
2004		170		IL	Natural Gas (MMcf)
2005		166		IL	Natural Gas (MMcf)
2006		170		IL	Natural Gas (MMcf)
2007		1394		IL	Natural Gas (MMcf)
2008		1193		IL	Natural Gas (MMcf)
2009		1443		IL	Natural Gas (MMcf)
2010		1702		IL	Natural Gas (MMcf)
2011		2121		IL	Natural Gas (MMcf)
2012		2125		IL	Natural Gas (MMcf)
2013		2887		IL	Natural Gas (MMcf)
2004		10984000		IL	Crude Oil (bbl)
2005		10207000		IL	Crude Oil (bbl)
2006		10325000		IL	Crude Oil (bbl)
2007		9608000		IL	Crude Oil (bbl)
2008		9448000		IL	Crude Oil (bbl)
2009		9097000		IL	Crude Oil (bbl)
2010		9067000		IL	Crude Oil (bbl)
2011		9158000		IL	Crude Oil (bbl)
2012		8908000		IL	Crude Oil (bbl)
2013		9539000		IL	Crude Oil (bbl)
2004		154		IL	Conventional Hydroelectric (Kwh)
2005		129		IL	Conventional Hydroelectric (Kwh)
2006		173		IL	Conventional Hydroelectric (Kwh)
2007		154		IL	Conventional Hydroelectric (Kwh)
2008		139		IL	Conventional Hydroelectric (Kwh)
2009		136		IL	Conventional Hydroelectric (Kwh)
2010		119		IL	Conventional Hydroelectric (Kwh)
2011		140		IL	Conventional Hydroelectric (Kwh)
2012		111		IL	Conventional Hydroelectric (Kwh)
2013		120		IL	Conventional Hydroelectric (Kwh)
2004		822		IL	All Other Renewables (Kwh)
2005		783		IL	All Other Renewables (Kwh)
2006		849		IL	All Other Renewables (Kwh)
2007		1285		IL	All Other Renewables (Kwh)
2008		3035		IL	All Other Renewables (Kwh)
2009		3530		IL	All Other Renewables (Kwh)
2010		5138		IL	All Other Renewables (Kwh)
2011		6865		IL	All Other Renewables (Kwh)
2012		8373		IL	All Other Renewables (Kwh)
2013		10285		IL	All Other Renewables (Kwh)
2004		78		IL	Wind (Kwh)
2005		141		IL	Wind (Kwh)
2006		255		IL	Wind (Kwh)
2007		664		IL	Wind (Kwh)
2008		2337		IL	Wind (Kwh)
2009		2820		IL	Wind (Kwh)
2010		4454		IL	Wind (Kwh)
2011		6213		IL	Wind (Kwh)
2012		7727		IL	Wind (Kwh)
2013		9625		IL	Wind (Kwh)
2009		0		IL	Solar (Kwh)
2010		14		IL	Solar (Kwh)
2011		14		IL	Solar (Kwh)
2012		31		IL	Solar (Kwh)
2013		52		IL	Solar (Kwh)
2004		744		IL	Biomass (total) (Kwh)
2005		642		IL	Biomass (total) (Kwh)
2006		594		IL	Biomass (total) (Kwh)
2007		620		IL	Biomass (total) (Kwh)
2008		698		IL	Biomass (total) (Kwh)
2009		710		IL	Biomass (total) (Kwh)
2010		670		IL	Biomass (total) (Kwh)
2011		638		IL	Biomass (total) (Kwh)
2012		615		IL	Biomass (total) (Kwh)
2013		608		IL	Biomass (total) (Kwh)
2008		1		IL	Wood and wood-derived fuels (Kwh)
2009		0		IL	Wood and wood-derived fuels (Kwh)
2010		0		IL	Wood and wood-derived fuels (Kwh)
2011		1		IL	Wood and wood-derived fuels (Kwh)
2012		0		IL	Wood and wood-derived fuels (Kwh)
2013		0		IL	Wood and wood-derived fuels (Kwh)
2004		744		IL	Other biomass (Kwh)
2005		642		IL	Other biomass (Kwh)
2006		594		IL	Other biomass (Kwh)
2007		620		IL	Other biomass (Kwh)
2008		697		IL	Other biomass (Kwh)
2009		710		IL	Other biomass (Kwh)
2010		670		IL	Other biomass (Kwh)
2011		638		IL	Other biomass (Kwh)
2012		615		IL	Other biomass (Kwh)
2013		608		IL	Other biomass (Kwh)
2004		2542		IL	All Renewables (Kwh)
