Year	State	County	FIPS	Commodity	Product	Volume
2008	IL	Clinton County	17027		Gas (mcf)	180
2005	IL	Clinton County	17027		Gas (mcf)	420
2006	IL	Clinton County	17027		Gas (mcf)	720
2007	IL	Clinton County	17027		Gas (mcf)	720
2008	IL	Franklin County	17055		Gas (mcf)	6785
2007	IL	Franklin County	17055		Gas (mcf)	7359
2005	IL	Franklin County	17055		Gas (mcf)	7416
2006	IL	Franklin County	17055		Gas (mcf)	7491
2014	IL	Franklin County	17055		Oil (bbl)	7828.99
2013	IL	Franklin County	17055		Oil (bbl)	8719.28
2012	IL	Franklin County	17055		Oil (bbl)	9483.84
2011	IL	Franklin County	17055		Oil (bbl)	10098.34
2014	IL	Clinton County	17027		Oil (bbl)	11250
2010	IL	Franklin County	17055		Oil (bbl)	11526.34
2009	IL	Franklin County	17055		Gas (mcf)	12212.72
2005	IL	Franklin County	17055		Oil (bbl)	12528.89
2009	IL	Franklin County	17055		Oil (bbl)	13109.75
2010	IL	Franklin County	17055		Gas (mcf)	14073.74
2011	IL	Franklin County	17055		Gas (mcf)	14335.74
2013	IL	Franklin County	17055		Gas (mcf)	14384.77
2012	IL	Franklin County	17055		Gas (mcf)	14460.96
2008	IL	Franklin County	17055		Oil (bbl)	14941.51
2006	IL	Franklin County	17055		Oil (bbl)	15732.04
2011	IL	Clinton County	17027		Oil (bbl)	17044
2013	IL	Clinton County	17027		Oil (bbl)	17557
2012	IL	Clinton County	17027		Oil (bbl)	18387
2007	IL	Franklin County	17055		Oil (bbl)	18548.55
2008	IL	Clinton County	17027		Oil (bbl)	19444
2007	IL	Clinton County	17027		Oil (bbl)	20243
2010	IL	Clinton County	17027		Oil (bbl)	20469
2009	IL	Clinton County	17027		Oil (bbl)	21132
2006	IL	Clinton County	17027		Oil (bbl)	21324
2005	IL	Clinton County	17027		Oil (bbl)	22377
2014	IL	Franklin County	17055		Gas (mcf)	26222.65
