Year	State	County	FIPS	Volume
2008	IL	Clinton County	17027	2
2005	IL	Clinton County	17027	2
2006	IL	Clinton County	17027	2
2007	IL	Clinton County	17027	2
2008	IL	Franklin County	17055	2
2007	IL	Franklin County	17055	2
2005	IL	Franklin County	17055	2
2006	IL	Franklin County	17055	2
2014	IL	Franklin County	17055	2
2013	IL	Franklin County	17055	2
2012	IL	Franklin County	17055	2
2011	IL	Franklin County	17055	2
2014	IL	Clinton County	17027	1
2010	IL	Franklin County	17055	2
2009	IL	Franklin County	17055	2
2011	IL	Clinton County	17027	1
2013	IL	Clinton County	17027	1
2012	IL	Clinton County	17027	1
2010	IL	Clinton County	17027	1
2009	IL	Clinton County	17027	1
