Year	State	County	FIPS	Resource	Revenue
2004	IL	Clinton	17027	oilgas	118871.61
2004	IL	Fayette	17051	oilgas	44.00
2004	IL	Franklin	17055	oilgas	55872.96
2004	IL	Hardin	17069	minerals	-366.00
2005	IL	Clinton	17027	oilgas	125072.68
2005	IL	Fayette	17051	oilgas	175.00
2005	IL	Franklin	17055	oilgas	63535.01
2005	IL	Hardin	17069	minerals	-1147.00
2006	IL	Clinton	17027	oilgas	169751.55
2006	IL	Fayette	17051	oilgas	1046.28
2006	IL	Franklin	17055	oilgas	101222.07
2007	IL	Clinton	17027	oilgas	139747.76
2007	IL	Fayette	17051	oilgas	1392.98
2007	IL	Franklin	17055	oilgas	118287.07
2008	IL	Clinton	17027	oilgas	233600.46
2008	IL	Fayette	17051	oilgas	583.17
2008	IL	Franklin	17055	oilgas	181222.65
2008	IL	Hardin	17069	minerals	1147.00
2008	IL	Union	17181	minerals	120.00
2009	IL	Clinton	17027	oilgas	129044.46
2009	IL	Franklin	17055	oilgas	78396.33
2010	IL	Clinton	17027	oilgas	170492.88
2010	IL	Fayette	17051	oilgas	470.07
2010	IL	Franklin	17055	oilgas	176718.75
2010	IL	Union	17181	minerals	-60.00
2011	IL	Clinton	17027	oilgas	178685.75
2011	IL	Franklin	17055	oilgas	114743.31
2011	IL	Union	17181	minerals	-60.00
2012	IL	Clinton	17027	oilgas	200859.37
2012	IL	Franklin	17055	oilgas	111641.75
2013	IL	Clinton	17027	oilgas	197690.01
2013	IL	Fayette	17051	oilgas	792.97
2013	IL	Franklin	17055	oilgas	103941.66
