Year	Commodity	Volume	County	State	Product
2004		3401		IN	Natural Gas (MMcf)
2005		3135		IN	Natural Gas (MMcf)
2006		2921		IN	Natural Gas (MMcf)
2007		3606		IN	Natural Gas (MMcf)
2008		4701		IN	Natural Gas (MMcf)
2009		4927		IN	Natural Gas (MMcf)
2010		6802		IN	Natural Gas (MMcf)
2011		9075		IN	Natural Gas (MMcf)
2012		8814		IN	Natural Gas (MMcf)
2013		7938		IN	Natural Gas (MMcf)
2004		1755000		IN	Crude Oil (bbl)
2005		1727000		IN	Crude Oil (bbl)
2006		1773000		IN	Crude Oil (bbl)
2007		1727000		IN	Crude Oil (bbl)
2008		1859000		IN	Crude Oil (bbl)
2009		1803000		IN	Crude Oil (bbl)
2010		1835000		IN	Crude Oil (bbl)
2011		1987000		IN	Crude Oil (bbl)
2012		2350000		IN	Crude Oil (bbl)
2013		2399000		IN	Crude Oil (bbl)
2004		444000		IN	Conventional Hydroelectric (Mwh)
2005		438000		IN	Conventional Hydroelectric (Mwh)
2006		490000		IN	Conventional Hydroelectric (Mwh)
2007		450000		IN	Conventional Hydroelectric (Mwh)
2008		437000		IN	Conventional Hydroelectric (Mwh)
2009		503000		IN	Conventional Hydroelectric (Mwh)
2010		454000		IN	Conventional Hydroelectric (Mwh)
2011		409000		IN	Conventional Hydroelectric (Mwh)
2012		434000		IN	Conventional Hydroelectric (Mwh)
2013		387000		IN	Conventional Hydroelectric (Mwh)
2004		137000		IN	Other Renewables (Mwh)
2005		68000		IN	Other Renewables (Mwh)
2006		220000		IN	Other Renewables (Mwh)
2007		231000		IN	Other Renewables (Mwh)
2008		511000		IN	Other Renewables (Mwh)
2009		1706000		IN	Other Renewables (Mwh)
2010		3246000		IN	Other Renewables (Mwh)
2011		3621000		IN	Other Renewables (Mwh)
2012		3546000		IN	Other Renewables (Mwh)
2013		3888000		IN	Other Renewables (Mwh)
2008		238000		IN	Wind (Mwh)
2009		1403000		IN	Wind (Mwh)
2010		2934000		IN	Wind (Mwh)
2011		3285000		IN	Wind (Mwh)
2012		3210000		IN	Wind (Mwh)
2013		3481000		IN	Wind (Mwh)
2012		NaN		IN	Solar (Mwh)
2013		31000		IN	Solar (Mwh)
2004		137000		IN	Total Biomass (Mwh)
2005		68000		IN	Total Biomass (Mwh)
2006		220000		IN	Total Biomass (Mwh)
2007		231000		IN	Total Biomass (Mwh)
2008		273000		IN	Total Biomass (Mwh)
2009		303000		IN	Total Biomass (Mwh)
2010		312000		IN	Total Biomass (Mwh)
2011		336000		IN	Total Biomass (Mwh)
2012		336000		IN	Total Biomass (Mwh)
2013		376000		IN	Total Biomass (Mwh)
2013		0		IN	Wood and wood-derived fuels (Mwh)
2004		137000		IN	Other Biomass (Mwh)
2005		68000		IN	Other Biomass (Mwh)
2006		220000		IN	Other Biomass (Mwh)
2007		231000		IN	Other Biomass (Mwh)
2008		273000		IN	Other Biomass (Mwh)
2009		303000		IN	Other Biomass (Mwh)
2010		312000		IN	Other Biomass (Mwh)
2011		336000		IN	Other Biomass (Mwh)
2012		336000		IN	Other Biomass (Mwh)
2013		376000		IN	Other Biomass (Mwh)
2004		855000		IN	All Renewables (Mwh)
2005		642000		IN	All Renewables (Mwh)
2006		1150000		IN	All Renewables (Mwh)
2007		1143000		IN	All Renewables (Mwh)
2008		1732000		IN	All Renewables (Mwh)
2009		4218000		IN	All Renewables (Mwh)
2010		7258000		IN	All Renewables (Mwh)
2011		7987000		IN	All Renewables (Mwh)
2012		NaN		IN	All Renewables (Mwh)
2013		8539000		IN	All Renewables (Mwh)
2004		61808	Clay County	IN	Coal (short tons)
2004		1460473	Daviess County	IN	Coal (short tons)
2004		53228	Jackson County	IN	Coal (short tons)
2004		462323	Knox County	IN	Coal (short tons)
2004		311157	Spencer County	IN	Coal (short tons)
2004		43306	Warrick County	IN	Coal (short tons)
2005		26564	Clay County	IN	Coal (short tons)
