Year	State	County	FIPS	Commodity	Product	Volume
2006	KS	Comanche County	20033		Oil (bbl)	0.44
2013	KS	Comanche County	20033		Oil (bbl)	0.44
2005	KS	Comanche County	20033		Oil (bbl)	1.12
2007	KS	Comanche County	20033		Oil (bbl)	1.18
2008	KS	Comanche County	20033		Oil (bbl)	1.18
2010	KS	Comanche County	20033		Oil (bbl)	1.24
2012	KS	Comanche County	20033		Oil (bbl)	1.24
2007	KS	Stevens County	20189		Oil (bbl)	1.25
2006	KS	Meade County	20119		Oil (bbl)	1.26
2009	KS	Comanche County	20033		Oil (bbl)	1.43
2011	KS	Comanche County	20033		Oil (bbl)	1.87
2009	KS	Meade County	20119		Oil (bbl)	2.52
2010	KS	Stevens County	20189		Oil (bbl)	4.5
2008	KS	Meade County	20119		Oil (bbl)	10.97
2007	KS	Meade County	20119		Oil (bbl)	39.1
2008	KS	Stevens County	20189		Oil (bbl)	41
2014	KS	Seward County	20175		Oil (bbl)	237.92
2006	KS	Seward County	20175		Oil (bbl)	240.21
2009	KS	Seward County	20175		Oil (bbl)	249.17
2005	KS	Seward County	20175		Oil (bbl)	341.78
2008	KS	Seward County	20175		Oil (bbl)	363.11
2013	KS	Seward County	20175		Oil (bbl)	390.63
2010	KS	Seward County	20175		Oil (bbl)	429.57
2012	KS	Seward County	20175		Oil (bbl)	485.11
2011	KS	Seward County	20175		Oil (bbl)	516.95
2007	KS	Seward County	20175		Oil (bbl)	523.1
2014	KS	Gove County	20063		Oil (bbl)	1150.72
2013	KS	Gove County	20063		Oil (bbl)	1176.87
2010	KS	Gove County	20063		Oil (bbl)	1453.45
2009	KS	Gove County	20063		Oil (bbl)	1507.91
2014	KS	Stevens County	20189		Oil (bbl)	1570.5
2012	KS	Gove County	20063		Oil (bbl)	1582.19
2007	KS	Gove County	20063		Oil (bbl)	1623.81
2011	KS	Gove County	20063		Oil (bbl)	1643.11
2010	KS	Trego County	20195		Oil (bbl)	1667.45
2006	KS	Gove County	20063		Oil (bbl)	1735.83
2008	KS	Gove County	20063		Oil (bbl)	1763.77
2005	KS	Gove County	20063		Oil (bbl)	1777.7
2009	KS	Trego County	20195		Oil (bbl)	1928.8
2014	KS	Trego County	20195		Oil (bbl)	1981.03
2012	KS	Stevens County	20189		Oil (bbl)	2004
2013	KS	Trego County	20195		Oil (bbl)	2022.06
2011	KS	Trego County	20195		Oil (bbl)	2023.25
2012	KS	Trego County	20195		Oil (bbl)	2051.95
2008	KS	Trego County	20195		Oil (bbl)	2128.45
2006	KS	Trego County	20195		Oil (bbl)	2160.15
2007	KS	Trego County	20195		Oil (bbl)	2160.18
2005	KS	Trego County	20195		Oil (bbl)	2309.6
2011	KS	Stevens County	20189		Oil (bbl)	2474.5
2013	KS	Stevens County	20189		Oil (bbl)	2508.5
2014	KS	Lane County	20101		Oil (bbl)	3382
2013	KS	Lane County	20101		Oil (bbl)	3491
2012	KS	Lane County	20101		Oil (bbl)	3499
2010	KS	Lane County	20101		Oil (bbl)	3757
2011	KS	Lane County	20101		Oil (bbl)	3758
2013	KS	Comanche County	20033		Gas (mcf)	4136.83
2014	KS	Comanche County	20033		Gas (mcf)	4305.55
2009	KS	Lane County	20101		Oil (bbl)	4562
2012	KS	Comanche County	20033		Gas (mcf)	4788.81
2008	KS	Lane County	20101		Oil (bbl)	4999
2007	KS	Lane County	20101		Oil (bbl)	5052
2011	KS	Comanche County	20033		Gas (mcf)	5053.75
2006	KS	Lane County	20101		Oil (bbl)	5140
2010	KS	Comanche County	20033		Gas (mcf)	5562.16
2014	KS	Meade County	20119		Gas (mcf)	5674.39
2005	KS	Lane County	20101		Oil (bbl)	5840
2013	KS	Meade County	20119		Gas (mcf)	6105.6
2012	KS	Meade County	20119		Gas (mcf)	6407.96
2009	KS	Comanche County	20033		Gas (mcf)	6570.25
2011	KS	Meade County	20119		Gas (mcf)	6767.45
2010	KS	Meade County	20119		Gas (mcf)	6858.29
2008	KS	Comanche County	20033		Gas (mcf)	7057.19
2007	KS	Comanche County	20033		Gas (mcf)	7255.35
2006	KS	Meade County	20119		Gas (mcf)	7445.84
2007	KS	Meade County	20119		Gas (mcf)	7526.89
2006	KS	Comanche County	20033		Gas (mcf)	7852.94
2009	KS	Meade County	20119		Gas (mcf)	8246.43
2005	KS	Comanche County	20033		Gas (mcf)	8405.59
2012	KS	Ellsworth County	20053		Gas (mcf)	8808.99
2008	KS	Meade County	20119		Gas (mcf)	9854.38
2013	KS	Ellsworth County	20053		Gas (mcf)	10042.03
2005	KS	Meade County	20119		Gas (mcf)	11039.55
2006	KS	Ellsworth County	20053		Gas (mcf)	12636.94
2014	KS	Ellsworth County	20053		Gas (mcf)	13364.84
2011	KS	Ellsworth County	20053		Gas (mcf)	14009.03
2010	KS	Ellsworth County	20053		Gas (mcf)	14057.12
2008	KS	Ellsworth County	20053		Gas (mcf)	14573.95
2009	KS	Ellsworth County	20053		Gas (mcf)	17289.21
2007	KS	Kearny County	20093		Oil (bbl)	18752.92
2005	KS	Ellsworth County	20053		Gas (mcf)	19136.29
2009	KS	Kearny County	20093		Oil (bbl)	19511.15
2007	KS	Finney County	20055		Oil (bbl)	19822.24
2008	KS	Kearny County	20093		Oil (bbl)	20029.7
2006	KS	Kearny County	20093		Oil (bbl)	20524.36
2014	KS	Kearny County	20093		Oil (bbl)	20635.57
2005	KS	Kearny County	20093		Oil (bbl)	20641.74
2009	KS	Finney County	20055		Oil (bbl)	20644.5
2014	KS	Finney County	20055		Oil (bbl)	21225.13
2008	KS	Finney County	20055		Oil (bbl)	21480.48
2009	KS	Haskell County	20081		Oil (bbl)	21681.3
2014	KS	Hamilton County	20075		Gas (mcf)	21929.64
2007	KS	Haskell County	20081		Oil (bbl)	22181.8
2006	KS	Finney County	20055		Oil (bbl)	22583.08
2005	KS	Finney County	20055		Oil (bbl)	22870.71
2012	KS	Kearny County	20093		Oil (bbl)	23122.09
2014	KS	Haskell County	20081		Oil (bbl)	23124.08
2008	KS	Haskell County	20081		Oil (bbl)	23175.31
2013	KS	Kearny County	20093		Oil (bbl)	23717.58
2012	KS	Finney County	20055		Oil (bbl)	24156.18
2006	KS	Haskell County	20081		Oil (bbl)	24395.69
2013	KS	Finney County	20055		Oil (bbl)	24569.36
2011	KS	Kearny County	20093		Oil (bbl)	25742.94
2013	KS	Hamilton County	20075		Gas (mcf)	26048.88
2005	KS	Haskell County	20081		Oil (bbl)	26166.2
2010	KS	Kearny County	20093		Oil (bbl)	26218.18
2014	KS	Stanton County	20187		Gas (mcf)	26641.8
2011	KS	Finney County	20055		Oil (bbl)	26792.44
2013	KS	Haskell County	20081		Oil (bbl)	26948.19
2010	KS	Finney County	20055		Oil (bbl)	27295.07
2012	KS	Haskell County	20081		Oil (bbl)	28653.11
2013	KS	Stanton County	20187		Gas (mcf)	28736.93
2010	KS	Haskell County	20081		Oil (bbl)	30198.09
2012	KS	Stanton County	20187		Gas (mcf)	31437.94
2011	KS	Stanton County	20187		Gas (mcf)	34130.31
2010	KS	Stanton County	20187		Gas (mcf)	34924.05
2009	KS	Stanton County	20187		Gas (mcf)	35047.5
2008	KS	Stanton County	20187		Gas (mcf)	39230.79
2007	KS	Stanton County	20187		Gas (mcf)	40141.49
2012	KS	Hamilton County	20075		Gas (mcf)	40871.72
2011	KS	Hamilton County	20075		Gas (mcf)	44621.71
2006	KS	Stanton County	20187		Gas (mcf)	44734.67
2011	KS	Haskell County	20081		Oil (bbl)	47606.4
2005	KS	Stanton County	20187		Gas (mcf)	48882.95
2010	KS	Hamilton County	20075		Gas (mcf)	50060.2
2009	KS	Hamilton County	20075		Gas (mcf)	54262.04
2006	KS	Hamilton County	20075		Gas (mcf)	57600.6
2008	KS	Hamilton County	20075		Gas (mcf)	59847.28
2007	KS	Hamilton County	20075		Gas (mcf)	59875.13
2005	KS	Hamilton County	20075		Gas (mcf)	62436.53
2014	KS	Grant County	20067		Gas (mcf)	79003.11
2014	KS	Seward County	20175		Gas (mcf)	79225.4
2013	KS	Grant County	20067		Gas (mcf)	85602.99
2014	KS	Morton County	20129		Oil (bbl)	96507.01
2012	KS	Grant County	20067		Gas (mcf)	98054.44
2013	KS	Seward County	20175		Gas (mcf)	103060.98
2011	KS	Grant County	20067		Gas (mcf)	103633.21
2010	KS	Grant County	20067		Gas (mcf)	111862.33
2012	KS	Seward County	20175		Gas (mcf)	114746.09
2013	KS	Morton County	20129		Oil (bbl)	114815.17
2009	KS	Grant County	20067		Gas (mcf)	119331.07
2011	KS	Seward County	20175		Gas (mcf)	121375.66
2010	KS	Morton County	20129		Oil (bbl)	129037.39
2008	KS	Grant County	20067		Gas (mcf)	129547.83
2011	KS	Morton County	20129		Oil (bbl)	130559.66
2007	KS	Grant County	20067		Gas (mcf)	135483.08
2010	KS	Seward County	20175		Gas (mcf)	138070.59
2012	KS	Morton County	20129		Oil (bbl)	140034.09
2006	KS	Grant County	20067		Gas (mcf)	152744.32
2009	KS	Seward County	20175		Gas (mcf)	158987.16
2009	KS	Morton County	20129		Oil (bbl)	160170.28
2005	KS	Grant County	20067		Gas (mcf)	171781.07
2008	KS	Seward County	20175		Gas (mcf)	189313.51
2005	KS	Morton County	20129		Oil (bbl)	190815.73
2006	KS	Seward County	20175		Gas (mcf)	190890.14
2005	KS	Seward County	20175		Gas (mcf)	192420.05
2014	KS	Stevens County	20189		Gas (mcf)	201657.18
2008	KS	Morton County	20129		Oil (bbl)	205473.92
2013	KS	Stevens County	20189		Gas (mcf)	225287.82
2014	KS	Haskell County	20081		Gas (mcf)	236909.06
2012	KS	Stevens County	20189		Gas (mcf)	240259.67
2007	KS	Morton County	20129		Oil (bbl)	240921.71
2007	KS	Seward County	20175		Gas (mcf)	250445.64
2013	KS	Haskell County	20081		Gas (mcf)	257381.08
2011	KS	Stevens County	20189		Gas (mcf)	263222.87
2010	KS	Stevens County	20189		Gas (mcf)	277482.75
2012	KS	Haskell County	20081		Gas (mcf)	288655.82
2009	KS	Stevens County	20189		Gas (mcf)	301997.57
2011	KS	Haskell County	20081		Gas (mcf)	316786.31
2010	KS	Haskell County	20081		Gas (mcf)	335980.65
2008	KS	Stevens County	20189		Gas (mcf)	336919.72
