Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	63419.24
2004	KY	Floyd	21071	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	14251.84
2004	KY	Henderson	21101	Oil	Oil (bbl)	Royalties	11362.03
2004	KY	Lawrence	21127	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4916.96
2004	KY	Leslie	21131	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	55416.18
2004	KY	Leslie	21131	Oil	Oil (bbl)	Royalties	286.04
2004	KY	Letcher	21133	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2571.28
2004	KY	Letcher	21133	Oil	Oil (bbl)	Royalties	8.8
2004	KY	Mccreary	21147	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	877.52
2004	KY	Meade	21163	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	0.06
2004	KY	Owsley	21189	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1086.72
2004	KY	Pike	21195	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	78303.11
2004	KY	Whitley	21235	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	43191.55
2005	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	65501.24
2005	KY	Floyd	21071	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	14031.68
2005	KY	Henderson	21101	Oil	Oil (bbl)	Royalties	12699.39
2005	KY	Lawrence	21127	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3027.39
2005	KY	Leslie	21131	Coal	Coal (ton)	Royalties	41640
2005	KY	Leslie	21131	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	74642.33
2005	KY	Leslie	21131	Oil	Oil (bbl)	Royalties	299.38
2005	KY	Letcher	21133	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2171.4
2005	KY	Letcher	21133	Oil	Oil (bbl)	Royalties	40.2
2005	KY	Mccreary	21147	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	937.53
2005	KY	Meade	21163	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2049.14
2005	KY	Owsley	21189	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	954.54
2005	KY	Pike	21195	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	75448.16
2005	KY	Whitley	21235	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	14388.89
2006	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	92677.98
2006	KY	Floyd	21071	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	12732.8
2006	KY	Henderson	21101	Oil	Oil (bbl)	Royalties	10683.51
2006	KY	Lawrence	21127	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1788.15
2006	KY	Leslie	21131	Coal	Coal (ton)	Royalties	471832
2006	KY	Leslie	21131	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	66247.3
2006	KY	Leslie	21131	Oil	Oil (bbl)	Royalties	338.63
2006	KY	Letcher	21133	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1890.68
2006	KY	Mccreary	21147	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	930.51
2006	KY	Meade	21163	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2602.47
2006	KY	Owsley	21189	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	805.97
2006	KY	Pike	21195	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	81231.49
2006	KY	Whitley	21235	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	16767.44
2007	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	121976.25
2007	KY	Clay	21051	Oil	Oil (bbl)	Royalties	186.41
2007	KY	Floyd	21071	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	12035.52
2007	KY	Henderson	21101	Oil	Oil (bbl)	Royalties	12366.49
2007	KY	Lawrence	21127	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2240.28
2007	KY	Leslie	21131	Coal	Coal (ton)	Royalties	716170
2007	KY	Leslie	21131	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	67752.38
2007	KY	Leslie	21131	Oil	Oil (bbl)	Royalties	570.82
2007	KY	Letcher	21133	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1783.2
2007	KY	Letcher	21133	Oil	Oil (bbl)	Royalties	2.88
2007	KY	Mccreary	21147	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	724.21
2007	KY	Meade	21163	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2988.59
2007	KY	Owsley	21189	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	885.39
2007	KY	Pike	21195	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	77729.55
2007	KY	Whitley	21235	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	13874.36
2008	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	117553.5
2008	KY	Clay	21051	Oil	Oil (bbl)	Royalties	964.22
2008	KY	Floyd	21071	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	14350.93
2008	KY	Henderson	21101	Oil	Oil (bbl)	Royalties	11031.91
2008	KY	Lawrence	21127	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1309.84
2008	KY	Leslie	21131	Coal	Coal (ton)	Royalties	304046
2008	KY	Leslie	21131	Gas	Processed (Residue) Gas (mcf)	Royalties	589.16
2008	KY	Leslie	21131	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	71082.43
2008	KY	Leslie	21131	Oil	Oil (bbl)	Royalties	1290.97
2008	KY	Letcher	21133	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1847.6
2008	KY	Mccreary	21147	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	653.85
2008	KY	Meade	21163	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2099.77
2008	KY	Owsley	21189	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	851.12
2008	KY	Pike	21195	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	63399.52
2008	KY	Pike	21195	Oil	Oil (bbl)	Royalties	9.6
2008	KY	Whitley	21235	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	15813.14
2009	KY	Clay	21051	Gas	Processed (Residue) Gas (mcf)	Royalties	453.4
2009	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	134810.25
2009	KY	Clay	21051	NGL	Gas Plant Products (gal)	Royalties	907.96
2009	KY	Clay	21051	Oil	Oil (bbl)	Royalties	1069.35
2009	KY	Floyd	21071	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	9717.62
2009	KY	Floyd	21071	NGL	Gas Plant Products (gal)	Royalties	120.56
2009	KY	Henderson	21101	Oil	Oil (bbl)	Royalties	10604.67
2009	KY	Lawrence	21127	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3087.45
2009	KY	Leslie	21131	Coal	Coal (ton)	Royalties	190911
2009	KY	Leslie	21131	Gas	Processed (Residue) Gas (mcf)	Royalties	12302.21
2009	KY	Leslie	21131	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	54253.19
2009	KY	Leslie	21131	NGL	Gas Plant Products (gal)	Royalties	42416.8
2009	KY	Leslie	21131	Oil	Oil (bbl)	Royalties	1444.46
2009	KY	Letcher	21133	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1473.64
2009	KY	Mccreary	21147	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	671.23
2009	KY	Meade	21163	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1620.31
2009	KY	Owsley	21189	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	976.91
2009	KY	Owsley	21189	NGL	Gas Plant Products (gal)	Royalties	486.81
2009	KY	Pike	21195	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	30087.95
2009	KY	Whitley	21235	Gas	Processed (Residue) Gas (mcf)	Royalties	0.01
2009	KY	Whitley	21235	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	15503.08
2010	KY	Clay	21051	Gas	Processed (Residue) Gas (mcf)	Royalties	1034.83
2010	KY	Clay	21051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	93163.73
2010	KY	Clay	21051	NGL	Gas Plant Products (gal)	Royalties	945.44
2010	KY	Clay	21051	Oil	Oil (bbl)	Royalties	1082.9
