Year	State	County	FIPS	Volume
2010	KY	Lawrence County	21127	1
2011	KY	Morgan County	21175	1
2010	KY	Morgan County	21175	1
2012	KY	Morgan County	21175	1
2014	KY	Morgan County	21175	1
2013	KY	Morgan County	21175	1
2007	KY	Lawrence County	21127	1
2008	KY	Lawrence County	21127	1
2010	KY	Johnson County	21115	1
2007	KY	Clay County	21051	2
2009	KY	Lawrence County	21127	1
2010	KY	Letcher County	21133	1
2011	KY	Johnson County	21115	1
2013	KY	Lawrence County	21127	1
2009	KY	Letcher County	21133	1
2008	KY	Letcher County	21133	1
2006	KY	Lawrence County	21127	1
2013	KY	Johnson County	21115	1
2012	KY	Johnson County	21115	1
2014	KY	Johnson County	21115	1
2006	KY	Leslie County	21131	2
2007	KY	Letcher County	21133	1
2006	KY	Letcher County	21133	1
2005	KY	Letcher County	21133	1
2005	KY	Leslie County	21131	2
2007	KY	Leslie County	21131	2
2013	KY	McCreary County	21147	1
2011	KY	Letcher County	21133	1
2014	KY	McCreary County	21147	1
2008	KY	McCreary County	21147	1
2005	KY	Lawrence County	21127	1
2014	KY	Letcher County	21133	1
2009	KY	McCreary County	21147	1
2014	KY	Clay County	21051	2
2012	KY	McCreary County	21147	1
2008	KY	Clay County	21051	2
2010	KY	Clay County	21051	2
2012	KY	Clay County	21051	2
2007	KY	McCreary County	21147	1
2012	KY	Letcher County	21133	1
2013	KY	Letcher County	21133	1
2011	KY	Clay County	21051	2
2006	KY	McCreary County	21147	1
2005	KY	McCreary County	21147	1
2009	KY	Clay County	21051	2
2013	KY	Clay County	21051	2
2014	KY	Leslie County	21131	2
2012	KY	Leslie County	21131	2
2010	KY	Leslie County	21131	2
2008	KY	Leslie County	21131	2
2014	KY	Lawrence County	21127	1
2011	KY	Leslie County	21131	2
2010	KY	McCreary County	21147	1
2011	KY	McCreary County	21147	1
2013	KY	Leslie County	21131	2
2009	KY	Leslie County	21131	2
2014	KY	Henderson County	21101	1
2013	KY	Henderson County	21101	1
2012	KY	Henderson County	21101	1
2011	KY	Henderson County	21101	1
2013	KY	Floyd County	21071	1
2009	KY	Henderson County	21101	1
2006	KY	Henderson County	21101	1
2010	KY	Henderson County	21101	1
2008	KY	Henderson County	21101	1
2014	KY	Floyd County	21071	1
2009	KY	Floyd County	21071	1
2012	KY	Floyd County	21071	1
2007	KY	Henderson County	21101	1
2005	KY	Henderson County	21101	1
2011	KY	Floyd County	21071	1
2014	KY	Whitley County	21235	1
2013	KY	Whitley County	21235	1
2008	KY	Floyd County	21071	1
2005	KY	Floyd County	21071	1
2007	KY	Floyd County	21071	1
2005	KY	Whitley County	21235	1
2010	KY	Floyd County	21071	1
2012	KY	Whitley County	21235	1
2006	KY	Floyd County	21071	1
2010	KY	Whitley County	21235	1
2009	KY	Whitley County	21235	1
2007	KY	Whitley County	21235	1
2008	KY	Whitley County	21235	1
2006	KY	Whitley County	21235	1
2011	KY	Whitley County	21235	1
2014	KY	Pike County	21195	1
2013	KY	Pike County	21195	1
2012	KY	Pike County	21195	1
2005	KY	Pike County	21195	1
2011	KY	Pike County	21195	1
2006	KY	Pike County	21195	1
2009	KY	Pike County	21195	1
2007	KY	Pike County	21195	1
2010	KY	Pike County	21195	1
2005	KY	Clay County	21051	1
2008	KY	Pike County	21195	1
2006	KY	Clay County	21051	1
