Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	LA	Beauregard	22011	Gas	Processed (Residue) Gas (mcf)	Royalties	203.92
2004	LA	Beauregard	22011	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	16.94
2004	LA	Beauregard	22011	NGL	Gas Plant Products (gal)	Royalties	1186.08
2004	LA	Beauregard	22011	Oil	Oil (bbl)	Royalties	97.36
2004	LA	Bienville	22013	Gas	Processed (Residue) Gas (mcf)	Royalties	8734.24
2004	LA	Bienville	22013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	25508.72
2004	LA	Bienville	22013	Oil	Condensate (bbl)	Royalties	22
2004	LA	Bossier	22015	Gas	Processed (Residue) Gas (mcf)	Royalties	10822850.06
2004	LA	Bossier	22015	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4109069.94
2004	LA	Bossier	22015	NGL	Gas Plant Products (gal)	Royalties	3385210.39
2004	LA	Bossier	22015	Oil	Condensate (bbl)	Royalties	25283.43
2004	LA	Bossier	22015	Oil	Oil (bbl)	Royalties	38667.73
2004	LA	Caddo	22017	Gas	Processed (Residue) Gas (mcf)	Royalties	3370.3
2004	LA	Caddo	22017	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	86151.01
2004	LA	Caddo	22017	NGL	Gas Plant Products (gal)	Royalties	20.93
2004	LA	Caddo	22017	Oil	Condensate (bbl)	Royalties	-4.35
2004	LA	Caddo	22017	Oil	Oil (bbl)	Royalties	14826.21
2004	LA	Calcasieu	22019	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	163392.2
2004	LA	Calcasieu	22019	Oil	Condensate (bbl)	Royalties	509.38
2004	LA	Cameron	22023	Gas	Processed (Residue) Gas (mcf)	Royalties	5740.49
2004	LA	Cameron	22023	NGL	Gas Plant Products (gal)	Royalties	12788.79
2004	LA	Cameron	22023	Oil	Oil (bbl)	Royalties	163.94
2004	LA	Claiborne	22027	Gas	Processed (Residue) Gas (mcf)	Royalties	187722.93
2004	LA	Claiborne	22027	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	25658.2
2004	LA	Claiborne	22027	NGL	Gas Plant Products (gal)	Royalties	402759.04
2004	LA	Claiborne	22027	Oil	Condensate (bbl)	Royalties	17236.59
2004	LA	Claiborne	22027	Oil	Drip or Scrubber Condensate (bbl)	Royalties	173.79
2004	LA	Claiborne	22027	Oil	Oil (bbl)	Royalties	12323.36
2004	LA	De Soto	22031	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	35095.04
2004	LA	E Btn Rouge	22033	Gas	Processed (Residue) Gas (mcf)	Royalties	86686.17
2004	LA	E Btn Rouge	22033	Oil	Condensate (bbl)	Royalties	8726.8
2004	LA	Jackson	22049	Gas	Processed (Residue) Gas (mcf)	Royalties	2493.1
2004	LA	Jefferson	22051	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	92.48
2004	LA	Jefferson	22051	Oil	Oil (bbl)	Royalties	10187.57
2004	LA	La Salle	22059	Oil	Oil (bbl)	Royalties	630
2004	LA	Lafourche	22057	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	637.15
2004	LA	Lafourche	22057	Oil	Oil (bbl)	Royalties	1446.91
2004	LA	Lincoln	22061	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	724.35
2004	LA	Lincoln	22061	NGL	Gas Plant Products (gal)	Royalties	1643.35
2004	LA	Lincoln	22061	Oil	Oil (bbl)	Royalties	31.9
2004	LA	Morehouse	22067	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1479
2004	LA	Natchitoches	22069	Gas	Processed (Residue) Gas (mcf)	Royalties	7273.36
2004	LA	Natchitoches	22069	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2775.95
2004	LA	Natchitoches	22069	NGL	Gas Plant Products (gal)	Royalties	434.8
2004	LA	Natchitoches	22069	Oil	Condensate (bbl)	Royalties	386.64
2004	LA	Natchitoches	22069	Oil	Oil (bbl)	Royalties	70.3
2004	LA	Ouachita	22073	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	767
2004	LA	Plaquemines	22075	Gas	Processed (Residue) Gas (mcf)	Royalties	411302.84
2004	LA	Plaquemines	22075	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1177337.58
2004	LA	Plaquemines	22075	NGL	Gas Plant Products (gal)	Royalties	1033114.71
2004	LA	Plaquemines	22075	Oil	Condensate (bbl)	Royalties	70223.55
2004	LA	Plaquemines	22075	Oil	Drip or Scrubber Condensate (bbl)	Royalties	157.76
2004	LA	Plaquemines	22075	Oil	Oil (bbl)	Royalties	206353.73
2004	LA	Rapides	22079	Gas	Processed (Residue) Gas (mcf)	Royalties	36829.94
2004	LA	Rapides	22079	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	10843.03
2004	LA	Rapides	22079	NGL	Gas Plant Products (gal)	Royalties	86172.58
2004	LA	Rapides	22079	Oil	Oil (bbl)	Royalties	39647.75
2004	LA	South Pass	22721	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2863.36
2004	LA	South Pass	22721	NGL	Gas Plant Products (gal)	Royalties	2789.89
2004	LA	South Pass	22721	Oil	Condensate (bbl)	Royalties	165.84
2004	LA	South Pass	22721	Oil	Drip or Scrubber Condensate (bbl)	Royalties	0.16
2004	LA	St Martin	22099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	41626.68
2004	LA	St Martin	22099	Oil	Condensate (bbl)	Royalties	12.97
2004	LA	St Martin	22099	Oil	Oil (bbl)	Royalties	8945.44
2004	LA	Terrebonne	22109	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2515.3
2004	LA	Terrebonne	22109	Oil	Condensate (bbl)	Royalties	5.68
2004	LA	Union	22111	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	5399
2004	LA	Vermilion	22113	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	140105
2004	LA	Vermilion	22113	Oil	Condensate (bbl)	Royalties	2
2004	LA	Vermilion	22113	Oil	Oil (bbl)	Royalties	7531.07
2004	LA	Vernon	22115	Gas	Processed (Residue) Gas (mcf)	Royalties	37940.46
2004	LA	Vernon	22115	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	19069.01
2004	LA	Vernon	22115	NGL	Gas Plant Products (gal)	Royalties	164709.44
2004	LA	Vernon	22115	Oil	Condensate (bbl)	Royalties	13.68
2004	LA	Vernon	22115	Oil	Oil (bbl)	Royalties	28161.46
2004	LA	Webster	22119	Gas	Processed (Residue) Gas (mcf)	Royalties	43265.28
2004	LA	Webster	22119	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	20673.96
2004	LA	Webster	22119	NGL	Gas Plant Products (gal)	Royalties	93621.84
2004	LA	Webster	22119	Oil	Condensate (bbl)	Royalties	365.96
2004	LA	Webster	22119	Oil	Oil (bbl)	Royalties	4934.16
2004	LA	West Delta	22719	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	46.27
2004	LA	West Delta	22719	NGL	Gas Plant Products (gal)	Royalties	38.27
2004	LA	West Delta	22719	Oil	Condensate (bbl)	Royalties	1.52
2004	LA	West Delta	22719	Oil	Drip or Scrubber Condensate (bbl)	Royalties	0.06
2004	LA	Winn	22127	Gas	Processed (Residue) Gas (mcf)	Royalties	99603
2004	LA	Winn	22127	Oil	Condensate (bbl)	Royalties	3134.38
