Year	Commodity	Volume	County	State	Product
2004		998		MA	Conventional Hydroelectric (Kwh)
2005		1042		MA	Conventional Hydroelectric (Kwh)
2006		1513		MA	Conventional Hydroelectric (Kwh)
2007		797		MA	Conventional Hydroelectric (Kwh)
2008		1156		MA	Conventional Hydroelectric (Kwh)
2009		1201		MA	Conventional Hydroelectric (Kwh)
2010		996		MA	Conventional Hydroelectric (Kwh)
2011		1149		MA	Conventional Hydroelectric (Kwh)
2012		912		MA	Conventional Hydroelectric (Kwh)
2013		992		MA	Conventional Hydroelectric (Kwh)
2004		1230		MA	All Other Renewables (Kwh)
2005		1258		MA	All Other Renewables (Kwh)
2006		1279		MA	All Other Renewables (Kwh)
2007		1240		MA	All Other Renewables (Kwh)
2008		1255		MA	All Other Renewables (Kwh)
2009		1229		MA	All Other Renewables (Kwh)
2010		1274		MA	All Other Renewables (Kwh)
2011		1207		MA	All Other Renewables (Kwh)
2012		1843		MA	All Other Renewables (Kwh)
2013		1448		MA	All Other Renewables (Kwh)
2008		4		MA	Wind (Kwh)
2009		6		MA	Wind (Kwh)
2010		22		MA	Wind (Kwh)
2011		61		MA	Wind (Kwh)
2012		90		MA	Wind (Kwh)
2013		205		MA	Wind (Kwh)
2008		0		MA	Solar (Kwh)
2009		0		MA	Solar (Kwh)
2010		1		MA	Solar (Kwh)
2011		5		MA	Solar (Kwh)
2012		30		MA	Solar (Kwh)
2013		106		MA	Solar (Kwh)
2004		1230		MA	Biomass (total) (Kwh)
2005		1258		MA	Biomass (total) (Kwh)
2006		1279		MA	Biomass (total) (Kwh)
2007		1240		MA	Biomass (total) (Kwh)
2008		1252		MA	Biomass (total) (Kwh)
2009		1223		MA	Biomass (total) (Kwh)
2010		1251		MA	Biomass (total) (Kwh)
2011		1140		MA	Biomass (total) (Kwh)
2012		1724		MA	Biomass (total) (Kwh)
2013		1137		MA	Biomass (total) (Kwh)
2004		114		MA	Wood and wood-derived fuels (Kwh)
2005		120		MA	Wood and wood-derived fuels (Kwh)
2006		125		MA	Wood and wood-derived fuels (Kwh)
2007		119		MA	Wood and wood-derived fuels (Kwh)
2008		123		MA	Wood and wood-derived fuels (Kwh)
2009		115		MA	Wood and wood-derived fuels (Kwh)
2010		125		MA	Wood and wood-derived fuels (Kwh)
2011		101		MA	Wood and wood-derived fuels (Kwh)
2012		659		MA	Wood and wood-derived fuels (Kwh)
2013		77		MA	Wood and wood-derived fuels (Kwh)
2004		1116		MA	Other biomass (Kwh)
2005		1138		MA	Other biomass (Kwh)
2006		1154		MA	Other biomass (Kwh)
2007		1121		MA	Other biomass (Kwh)
2008		1129		MA	Other biomass (Kwh)
2009		1108		MA	Other biomass (Kwh)
2010		1125		MA	Other biomass (Kwh)
2011		1039		MA	Other biomass (Kwh)
2012		1065		MA	Other biomass (Kwh)
2013		1061		MA	Other biomass (Kwh)
2004		4688		MA	All Renewables (Kwh)
2005		4816		MA	All Renewables (Kwh)
2006		5350		MA	All Renewables (Kwh)
2007		4517		MA	All Renewables (Kwh)
2008		4919		MA	All Renewables (Kwh)
2009		4882		MA	All Renewables (Kwh)
2010		4794		MA	All Renewables (Kwh)
2011		4702		MA	All Renewables (Kwh)
2012		6323		MA	All Renewables (Kwh)
2013		5026		MA	All Renewables (Kwh)
