Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	MI	Alcona	26001	Gas	Processed (Residue) Gas (mcf)	Royalties	94398.18
2004	MI	Allegan	26005	Oil	Oil (bbl)	Royalties	1404.65
2004	MI	Antrim	26009	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2175.99
2004	MI	Clare	26035	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	98973.96
2004	MI	Clare	26035	Oil	Condensate (bbl)	Royalties	69.26
2004	MI	Clare	26035	Oil	Oil (bbl)	Royalties	1585.18
2004	MI	Crawford	26039	Gas	Processed (Residue) Gas (mcf)	Royalties	160791.5
2004	MI	Crawford	26039	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	40376.39
2004	MI	Grand Trvse	26055	Gas	Processed (Residue) Gas (mcf)	Royalties	18380.88
2004	MI	Kalkaska	26079	Gas	Processed (Residue) Gas (mcf)	Royalties	25211.64
2004	MI	Kalkaska	26079	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2137.57
2004	MI	Kalkaska	26079	NGL	Gas Plant Products (gal)	Royalties	63613.12
2004	MI	Kalkaska	26079	Oil	Oil (bbl)	Royalties	3483.42
2004	MI	Lake	26085	Gas	Processed (Residue) Gas (mcf)	Royalties	179020.76
2004	MI	Lake	26085	NGL	Gas Plant Products (gal)	Royalties	2496.28
2004	MI	Lake	26085	Oil	Oil (bbl)	Royalties	619.88
2004	MI	Montmorency	26119	Gas	Processed (Residue) Gas (mcf)	Royalties	89866.22
2004	MI	Montmorency	26119	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2206217.82
2004	MI	Ogemaw	26129	Gas	Processed (Residue) Gas (mcf)	Royalties	40834.82
2004	MI	Ogemaw	26129	NGL	Gas Plant Products (gal)	Royalties	24462.94
2004	MI	Ogemaw	26129	Oil	Oil (bbl)	Royalties	265.77
2004	MI	Oscoda	26135	Gas	Processed (Residue) Gas (mcf)	Royalties	1124783.13
2004	MI	Oscoda	26135	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	21307.26
2004	MI	Oscoda	26135	NGL	Gas Plant Products (gal)	Royalties	648878.68
2004	MI	Oscoda	26135	Oil	Oil (bbl)	Royalties	9621.96
2004	MI	Otsego	26137	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	14711.11
2004	MI	Roscommon	26143	Gas	Processed (Residue) Gas (mcf)	Royalties	14213
2004	MI	Roscommon	26143	Oil	Oil (bbl)	Royalties	6936.49
2005	MI	Alcona	26001	Gas	Processed (Residue) Gas (mcf)	Royalties	89593.69
2005	MI	Allegan	26005	Oil	Oil (bbl)	Royalties	913.22
2005	MI	Antrim	26009	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	7870.64
2005	MI	Clare	26035	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	168930.89
2005	MI	Clare	26035	Oil	Condensate (bbl)	Royalties	96.11
2005	MI	Clare	26035	Oil	Oil (bbl)	Royalties	1583.91
2005	MI	Crawford	26039	Gas	Processed (Residue) Gas (mcf)	Royalties	147546
2005	MI	Crawford	26039	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	35521.94
2005	MI	Grand Trvse	26055	Gas	Processed (Residue) Gas (mcf)	Royalties	15827.84
2005	MI	Grand Trvse	26055	NGL	Gas Plant Products (gal)	Royalties	54953.56
2005	MI	Kalkaska	26079	Gas	Processed (Residue) Gas (mcf)	Royalties	21643.29
2005	MI	Kalkaska	26079	NGL	Gas Plant Products (gal)	Royalties	99501.3
2005	MI	Kalkaska	26079	Oil	Oil (bbl)	Royalties	4183.2
2005	MI	Lake	26085	Gas	Processed (Residue) Gas (mcf)	Royalties	186625.48
2005	MI	Lake	26085	NGL	Gas Plant Products (gal)	Royalties	3644.36
2005	MI	Lake	26085	Oil	Oil (bbl)	Royalties	632.87
2005	MI	Montmorency	26119	Gas	Processed (Residue) Gas (mcf)	Royalties	82516.89
2005	MI	Montmorency	26119	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1994829.65
2005	MI	Ogemaw	26129	Gas	Processed (Residue) Gas (mcf)	Royalties	37165.28
2005	MI	Ogemaw	26129	NGL	Gas Plant Products (gal)	Royalties	21532.33
2005	MI	Ogemaw	26129	Oil	Oil (bbl)	Royalties	262.23
2005	MI	Oscoda	26135	Gas	Processed (Residue) Gas (mcf)	Royalties	1264905.9
2005	MI	Oscoda	26135	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	18622.59
2005	MI	Oscoda	26135	NGL	Gas Plant Products (gal)	Royalties	630246.04
2005	MI	Oscoda	26135	Oil	Oil (bbl)	Royalties	10042.92
2005	MI	Otsego	26137	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	13899.51
2005	MI	Roscommon	26143	Gas	Processed (Residue) Gas (mcf)	Royalties	19189.45
2005	MI	Roscommon	26143	Oil	Oil (bbl)	Royalties	6631.94
2006	MI	Alcona	26001	Gas	Processed (Residue) Gas (mcf)	Royalties	93394.3
2006	MI	Allegan	26005	Oil	Oil (bbl)	Royalties	770.22
2006	MI	Antrim	26009	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6409.87
2006	MI	Clare	26035	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	110272.12
2006	MI	Clare	26035	Oil	Oil (bbl)	Royalties	1601.63
2006	MI	Crawford	26039	Gas	Processed (Residue) Gas (mcf)	Royalties	116479
2006	MI	Crawford	26039	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	31850.32
2006	MI	Grand Trvse	26055	NGL	Gas Plant Products (gal)	Royalties	145773.02
2006	MI	Kalkaska	26079	Gas	Processed (Residue) Gas (mcf)	Royalties	21288.28
2006	MI	Kalkaska	26079	NGL	Gas Plant Products (gal)	Royalties	116148.5
2006	MI	Kalkaska	26079	Oil	Oil (bbl)	Royalties	7700.17
2006	MI	Lake	26085	Gas	Processed (Residue) Gas (mcf)	Royalties	150115.27
2006	MI	Lake	26085	NGL	Gas Plant Products (gal)	Royalties	69072.43
2006	MI	Lake	26085	Oil	Oil (bbl)	Royalties	291.89
2006	MI	Montmorency	26119	Gas	Processed (Residue) Gas (mcf)	Royalties	73208.74
2006	MI	Montmorency	26119	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1835636.57
2006	MI	Ogemaw	26129	Gas	Processed (Residue) Gas (mcf)	Royalties	46204.15
2006	MI	Ogemaw	26129	NGL	Gas Plant Products (gal)	Royalties	27481.22
2006	MI	Ogemaw	26129	Oil	Oil (bbl)	Royalties	567.11
2006	MI	Oscoda	26135	Gas	Processed (Residue) Gas (mcf)	Royalties	1541552.76
2006	MI	Oscoda	26135	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	18143.92
2006	MI	Oscoda	26135	NGL	Gas Plant Products (gal)	Royalties	792439.09
2006	MI	Oscoda	26135	Oil	Oil (bbl)	Royalties	13066.87
2006	MI	Otsego	26137	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	13920.7
