Year	State	County	FIPS	Volume
2010	MI	Grand Traverse County	26055	2
2011	MI	Grand Traverse County	26055	2
2009	MI	Grand Traverse County	26055	2
2014	MI	Grand Traverse County	26055	2
2012	MI	Grand Traverse County	26055	2
2013	MI	Grand Traverse County	26055	2
2010	MI	Lake County	26085	2
2009	MI	Lake County	26085	2
2014	MI	Allegan County	26005	1
2013	MI	Allegan County	26005	1
2008	MI	Lake County	26085	2
2010	MI	Allegan County	26005	1
2008	MI	Allegan County	26005	1
2012	MI	Allegan County	26005	1
2009	MI	Allegan County	26005	1
2006	MI	Allegan County	26005	1
2011	MI	Allegan County	26005	1
2007	MI	Lake County	26085	2
2007	MI	Allegan County	26005	1
2005	MI	Allegan County	26005	1
2007	MI	Calhoun County	26025	1
2014	MI	Newaygo County	26123	1
2006	MI	Lake County	26085	2
2005	MI	Lake County	26085	2
2008	MI	Grand Traverse County	26055	2
2010	MI	Clare County	26035	2
2014	MI	Clare County	26035	2
2013	MI	Clare County	26035	2
2011	MI	Clare County	26035	2
2009	MI	Clare County	26035	2
2012	MI	Clare County	26035	2
2006	MI	Clare County	26035	2
2005	MI	Clare County	26035	2
2008	MI	Clare County	26035	2
2007	MI	Clare County	26035	2
2009	MI	Kalkaska County	26079	2
2007	MI	Kalkaska County	26079	2
2013	MI	Calhoun County	26025	2
2014	MI	Kalkaska County	26079	2
2014	MI	Roscommon County	26143	2
2014	MI	Alcona County	26001	1
2014	MI	Calhoun County	26025	2
2010	MI	Alcona County	26001	1
2013	MI	Alcona County	26001	1
2013	MI	Roscommon County	26143	2
2013	MI	Kalkaska County	26079	2
2009	MI	Calhoun County	26025	2
2011	MI	Alcona County	26001	1
2010	MI	Calhoun County	26025	2
2012	MI	Alcona County	26001	1
2008	MI	Kalkaska County	26079	2
2012	MI	Roscommon County	26143	2
2011	MI	Kalkaska County	26079	2
2012	MI	Kalkaska County	26079	2
2011	MI	Roscommon County	26143	2
2012	MI	Calhoun County	26025	2
2010	MI	Jackson County	26075	2
2010	MI	Roscommon County	26143	2
2009	MI	Alcona County	26001	1
2011	MI	Calhoun County	26025	2
2005	MI	Kalkaska County	26079	2
2009	MI	Roscommon County	26143	2
2008	MI	Alcona County	26001	1
2010	MI	Kalkaska County	26079	2
2008	MI	Calhoun County	26025	2
2008	MI	Roscommon County	26143	2
2007	MI	Roscommon County	26143	2
2006	MI	Roscommon County	26143	2
2007	MI	Alcona County	26001	1
2005	MI	Roscommon County	26143	2
2005	MI	Alcona County	26001	1
2006	MI	Alcona County	26001	1
2011	MI	Jackson County	26075	2
2014	MI	Oscoda County	26135	2
2006	MI	Kalkaska County	26079	2
2013	MI	Oscoda County	26135	2
2014	MI	Otsego County	26137	1
2012	MI	Oscoda County	26135	2
2013	MI	Otsego County	26137	1
2007	MI	Grand Traverse County	26055	1
2012	MI	Otsego County	26137	1
2005	MI	Oscoda County	26135	2
2011	MI	Oscoda County	26135	2
2011	MI	Otsego County	26137	1
2010	MI	Otsego County	26137	1
2010	MI	Oscoda County	26135	2
2006	MI	Grand Traverse County	26055	1
2009	MI	Otsego County	26137	1
2012	MI	Jackson County	26075	2
2005	MI	Grand Traverse County	26055	1
2008	MI	Otsego County	26137	1
2014	MI	Jackson County	26075	2
2009	MI	Oscoda County	26135	2
2013	MI	Jackson County	26075	2
2007	MI	Otsego County	26137	1
2005	MI	Otsego County	26137	1
2006	MI	Otsego County	26137	1
2006	MI	Oscoda County	26135	2
2007	MI	Oscoda County	26135	2
2008	MI	Oscoda County	26135	2
2014	MI	Crawford County	26039	1
2013	MI	Crawford County	26039	1
2012	MI	Crawford County	26039	1
2007	MI	Crawford County	26039	1
2011	MI	Crawford County	26039	1
2010	MI	Crawford County	26039	1
2008	MI	Crawford County	26039	1
2009	MI	Crawford County	26039	1
2006	MI	Crawford County	26039	1
2005	MI	Crawford County	26039	1
2014	MI	Montmorency County	26119	1
2013	MI	Montmorency County	26119	1
2012	MI	Montmorency County	26119	1
2011	MI	Montmorency County	26119	1
2010	MI	Montmorency County	26119	1
2009	MI	Montmorency County	26119	1
2008	MI	Montmorency County	26119	1
2007	MI	Montmorency County	26119	1
2006	MI	Montmorency County	26119	1
2005	MI	Montmorency County	26119	1
