Year	Commodity	Volume	County	State	Product
2004		738		MN	Conventional Hydroelectric (Kwh)
2005		775		MN	Conventional Hydroelectric (Kwh)
2006		572		MN	Conventional Hydroelectric (Kwh)
2007		654		MN	Conventional Hydroelectric (Kwh)
2008		727		MN	Conventional Hydroelectric (Kwh)
2009		809		MN	Conventional Hydroelectric (Kwh)
2010		840		MN	Conventional Hydroelectric (Kwh)
2011		746		MN	Conventional Hydroelectric (Kwh)
2012		561		MN	Conventional Hydroelectric (Kwh)
2013		511		MN	Conventional Hydroelectric (Kwh)
2004		1797		MN	All Other Renewables (Kwh)
2005		2652		MN	All Other Renewables (Kwh)
2006		3059		MN	All Other Renewables (Kwh)
2007		3933		MN	All Other Renewables (Kwh)
2008		5851		MN	All Other Renewables (Kwh)
2009		6737		MN	All Other Renewables (Kwh)
2010		6640		MN	All Other Renewables (Kwh)
2011		8406		MN	All Other Renewables (Kwh)
2012		9454		MN	All Other Renewables (Kwh)
2013		9871		MN	All Other Renewables (Kwh)
2004		812		MN	Wind (Kwh)
2005		1582		MN	Wind (Kwh)
2006		2055		MN	Wind (Kwh)
2007		2639		MN	Wind (Kwh)
2008		4355		MN	Wind (Kwh)
2009		5053		MN	Wind (Kwh)
2010		4792		MN	Wind (Kwh)
2011		6726		MN	Wind (Kwh)
2012		7615		MN	Wind (Kwh)
2013		8259		MN	Wind (Kwh)
2012		0		MN	Solar (Kwh)
2013		3		MN	Solar (Kwh)
2004		985		MN	Biomass (total) (Kwh)
2005		1070		MN	Biomass (total) (Kwh)
2006		1004		MN	Biomass (total) (Kwh)
2007		1294		MN	Biomass (total) (Kwh)
2008		1496		MN	Biomass (total) (Kwh)
2009		1684		MN	Biomass (total) (Kwh)
2010		1848		MN	Biomass (total) (Kwh)
2011		1680		MN	Biomass (total) (Kwh)
2012		1838		MN	Biomass (total) (Kwh)
2013		1610		MN	Biomass (total) (Kwh)
2004		652		MN	Wood and wood-derived fuels (Kwh)
2005		656		MN	Wood and wood-derived fuels (Kwh)
2006		590		MN	Wood and wood-derived fuels (Kwh)
2007		727		MN	Wood and wood-derived fuels (Kwh)
2008		725		MN	Wood and wood-derived fuels (Kwh)
2009		796		MN	Wood and wood-derived fuels (Kwh)
2010		933		MN	Wood and wood-derived fuels (Kwh)
2011		748		MN	Wood and wood-derived fuels (Kwh)
2012		839		MN	Wood and wood-derived fuels (Kwh)
2013		1036		MN	Wood and wood-derived fuels (Kwh)
2004		332		MN	Other biomass (Kwh)
2005		413		MN	Other biomass (Kwh)
2006		414		MN	Other biomass (Kwh)
2007		566		MN	Other biomass (Kwh)
2008		771		MN	Other biomass (Kwh)
2009		887		MN	Other biomass (Kwh)
2010		915		MN	Other biomass (Kwh)
2011		932		MN	Other biomass (Kwh)
2012		999		MN	Other biomass (Kwh)
2013		574		MN	Other biomass (Kwh)
2004		5316		MN	All Renewables (Kwh)
2005		7148		MN	All Renewables (Kwh)
2006		7694		MN	All Renewables (Kwh)
2007		9813		MN	All Renewables (Kwh)
2008		13925		MN	All Renewables (Kwh)
2009		15966		MN	All Renewables (Kwh)
2010		15968		MN	All Renewables (Kwh)
2011		19238		MN	All Renewables (Kwh)
2012		21306		MN	All Renewables (Kwh)
2013		21864		MN	All Renewables (Kwh)
