Year	State	County	FIPS	Resource	Revenue
2004	MN	Lake	27075	minerals	36782.43
2004	MN	St Louis	27137	minerals	1147.57
2005	MN	Lake	27075	minerals	36462.90
2005	MN	St Louis	27137	minerals	1238.60
2006	MN	Lake	27075	minerals	57990.34
2006	MN	St Louis	27137	minerals	-2199.34
2007	MN	Lake	27075	minerals	47047.85
2007	MN	St Louis	27137	minerals	455.15
2008	MN	Blue Earth	27013	minerals	200.00
2008	MN	Lake	27075	minerals	49754.35
2008	MN	St Louis	27137	minerals	455.15
2009	MN	Lake	27075	minerals	48727.35
2009	MN	St Louis	27137	minerals	455.15
2010	MN	Lake	27075	minerals	49321.35
2010	MN	St Louis	27137	minerals	455.15
2011	MN	Lake	27075	minerals	44369.85
2011	MN	St Louis	27137	minerals	455.15
2012	MN	Lake	27075	minerals	58079.85
2012	MN	Le Sueur	27079	minerals	56.00
2012	MN	St Louis	27137	minerals	455.15
2013	MN	Lake	27075	minerals	64816.36
2013	MN	Le Sueur	27079	minerals	34.00
2013	MN	St Louis	27137	minerals	769.64
