Year	State	County	FIPS	Volume
2008	MO	Crawford County	29055	3
2008	MO	Washington County	29221	3
2010	MO	Crawford County	29055	3
2005	MO	Crawford County	29055	1
2010	MO	Washington County	29221	3
2005	MO	Washington County	29221	1
2011	MO	Crawford County	29055	3
2012	MO	Crawford County	29055	3
2011	MO	Washington County	29221	3
2012	MO	Washington County	29221	3
2013	MO	Crawford County	29055	1
2006	MO	Crawford County	29055	2
2013	MO	Washington County	29221	1
2006	MO	Washington County	29221	2
2013	MO	Dent County	29065	3
2014	MO	Dent County	29065	3
2010	MO	Dent County	29065	3
2009	MO	Dent County	29065	3
2011	MO	Dent County	29065	3
2008	MO	Dent County	29065	3
2007	MO	Dent County	29065	3
2011	MO	Iron County	29093	3
2009	MO	Reynolds County	29179	3
2005	MO	Reynolds County	29179	3
2008	MO	Reynolds County	29179	3
2007	MO	Reynolds County	29179	3
2012	MO	Dent County	29065	2
2010	MO	Iron County	29093	3
2010	MO	Reynolds County	29179	3
2014	MO	Iron County	29093	3
2011	MO	Reynolds County	29179	3
2012	MO	Iron County	29093	3
2006	MO	Dent County	29065	2
2009	MO	Iron County	29093	3
2005	MO	Dent County	29065	2
2008	MO	Iron County	29093	3
2013	MO	Iron County	29093	3
2007	MO	Iron County	29093	3
2006	MO	Reynolds County	29179	3
2006	MO	Iron County	29093	3
2005	MO	Iron County	29093	3
2013	MO	Reynolds County	29179	3
2014	MO	Reynolds County	29179	3
2012	MO	Reynolds County	29179	3
